Subject,Object
Acquaviva Cathedral,Roman Catholic Diocese of Altamura-Gravina-Acquaviva delle Fonti
Alexander Nevsky Cathedral,Sofia Eparchy
Alexander Nevsky Cathedral,Warsaw-Bielsko diocese
"Armenian Church, Gheorgheni",Ordinariate for Catholics of Armenian Rite in Romania
"Ascension Cathedral, Almaty",Category:Orthodox cathedral in Nur-Sultan
Atri Cathedral,Roman Catholic Diocese of Teramo-Atri
Basilica of Bom Jesus,Roman Catholic Archdiocese of Goa and Daman
Basilica of Our Lady of the Pillar,Roman Catholic Archdiocese of Zaragoza
Basilica of Saint Anthony of Padua,diocese of padova
Bourg-en-Bresse Cathedral,Roman Catholic Diocese of Belley-Ars
Cathedral of Corfinio,Roman Catholic Diocese of Sulmona-Valva
Cathedral of Saint Sava,Archeparchy of Belgrade and Karlovci
Church of Saint James the Greater,Roman Catholic Diocese of Brno
Church of Saint John the Baptist,Roman Catholic Diocese of Brno
Church of Saint Nicholas,Roman Catholic Diocese of Litoměřice
Church of Saint Wenceslaus,Roman Catholic Archdiocese of Prague
Church of Saints Peter and Paul,Roman Catholic Archdiocese of Prague
"Church of San Francisco Javier, Tepotzotlán",Roman Catholic Diocese of Izcalli
"Church of San Ildefonso, Toledo",Roman Catholic Archdiocese of Toledo
Church of St. Denis,Roman Catholic Diocese of Liège
Church of St. George,Ecumenical Patriarchate of Constantinople
Church of the Anunciation,Roman Catholic Archdiocese of Seville
Church of the Assumption of the Virgin Mary,Roman Catholic Archdiocese of Prague
Church of the Exaltation of the Holy Cross,Roman Catholic Diocese of Brno
Co-cathedral of San Pedro,Roman Catholic Diocese of Osma-Soria
"Collegiate church of San Luis, Villagarcía de Campos",Roman Catholic Archdiocese of Valladolid
"Collégiate church Saint-Martin, Picquigny",Roman Catholic Diocese of Amiens
Dormition Cathedral,Diocese of Vladimir and Suzdal
Dormition Cathedral,Moscow Eparchy
Episcopal Palace,Roman Catholic Diocese of Pécs
Fontainejean Abbey,archdiocese of sens
Gurk Cathedral,Roman Catholic Diocese of Gurk
Hoed,Diocese of Århus
I Gesuiti,Patriarchate of Venice
Iglesia de San Isidoro,Roman Catholic Archdiocese of Oviedo
"Jesuit Church, Lucerne",Roman Catholic Diocese of Basel
Jesuitenkirche,Roman Catholic Diocese of Trier
"Kazan Cathedral, St. Petersburg",Saint Petersburg-Ladoga Eparchy
Kirkstall Abbey,ancient archdiocese of york
Kościół św. Barbary w Krakowie,Roman Catholic Archdiocese of Kraków
Kragelund,Diocese of Århus
La Seo Cathedral,Roman Catholic Archdiocese of Zaragoza
Lower Town Church,Roman Catholic Diocese of Münster
Madrid,archdiocese of madrid
Madrid,archdiocese of toledo
Madrid,diocese of madrid-alcalá
Madrid,roman catholic archdiocese of madrid-alcalá
Metropolitan Cathedral of Athens,Archbishopric of Athens
Novocherkassk Cathedral,Diocese of Rostov and Novocherkassk
"Old Cathedral, Linz",Roman Catholic Diocese of Linz
Penne Cathedral,Roman Catholic Archdiocese of Pescara-Penne
Petrus Canisius church,Roman Catholic Archdiocese of Esztergom-Budapest
Saint George's Cathedral,Eparchy of Bačka
Saint Isaac's Cathedral,diocese of saint petersburg
"Saint Nicholas Church, Vasszilvágy",Roman Catholic Diocese of Szombathely
Saints Peter and Paul Church,Roman Catholic Archdiocese of Kraków
Sant'Andrea al Quirinale,diocese of rome
Sant'Andrea al Quirinale,Roman Catholic Diocese of Rome
Santi Simone e Giuda,Roman Catholic Diocese of Volterra
Skivholme parish,Diocese of Århus
St. Basil's Cathedral,Urban Diocese of Moscow
St. Benno's Church,Roman Catholic Archdiocese of Munich and Freising
St. Hedwig's Cathedral,Roman Catholic Archdiocese of Berlin
St. Michael's Cathedral,Izhevsk eparchy
"St. Michael's Church, Munich",Roman Catholic Archdiocese of Munich and Freising
"St. Paul's Church, Munich",Roman Catholic Archdiocese of Munich and Freising
"St. Peter's Church, Munich",Roman Catholic Archdiocese of Munich and Freising
St. Peter's Parish Church,Roman Catholic Archdiocese of Ljubljana
Virklund Parish,Diocese of Århus
Yelokhovo Cathedral,Moscow Eparchy
