Subject,Object
Afghanistan,Canada
Albania,'straya
Albania,affghanistan
Albania,america
Albania,austria
Albania,china
Albania,"china, republic of"
Albania,cro
Albania,danemark
Albania,democratic people's republic of korea
Albania,el
Albania,european georgia
Albania,federal republic of germany
Albania,federation of russia
Albania,former yugoslav republic of macedonia
Albania,france
Albania,g b
Albania,holland
Albania,hungary
Albania,hồi quốc
Albania,iapan
Albania,italia
Albania,kos
Albania,palestine
Albania,republic of serbia
Albania,republic of turkey
Albania,ukr.
Argentina,'straya
Argentina,al-maġrib
Argentina,america
Argentina,angola
Argentina,arab rep. egypt
Argentina,bangla desh
Argentina,belarus
Argentina,bolivia
Argentina,brasil
Argentina,can
Argentina,chair of peter
Argentina,chi
Argentina,china
Argentina,"china, republic of"
Argentina,confoederatio helvetica
Argentina,cro
Argentina,democratic people's republic of korea
Argentina,eastern republic of uruguay
Argentina,el
Argentina,european georgia
Argentina,european union
Argentina,federal republic of germany
Argentina,federation of russia
Argentina,france
Argentina,g b
Argentina,heart of south america
Argentina,hibernia
Argentina,hungary
Argentina,hồi quốc
Argentina,id
Argentina,il
Argentina,italia
Argentina,kingdom of spain
Argentina,kingdom of sweden
Argentina,mexican republic
Argentina,pe
Argentina,philippine islands
Argentina,por
Argentina,qa
Argentina,r.s.a.
Argentina,republic of serbia
Argentina,republic of turkey
Argentina,ukr.
Australia,+256
Australia,ae
Australia,affghanistan
Australia,al hind
Australia,al-maġrib
Australia,albania
Australia,america
Australia,angola
Australia,antigua & barbuda
Australia,aotearoa new zealand
Australia,arab rep. egypt
Australia,argentina
Australia,austria
Australia,ba
Australia,bahama islands
Australia,bal-bo
Australia,bangla desh
Australia,bar
Australia,belau
Australia,belgium
Australia,bn
Australia,bolivia
Australia,botswana
Australia,brasil
Australia,bulgaria
Australia,burma
Australia,cambodia
Australia,cameroon
Australia,can
Australia,ce
Australia,chair of peter
Australia,chi
Australia,china
Australia,"china, republic of"
Australia,choson
Australia,co-operative republic of guyana
Australia,colombia
Australia,commonwealth of jamaica
Australia,confoederatio helvetica
Australia,costa rica
Australia,cro
Australia,cyprus
Australia,czech republic
Australia,danemark
Australia,democratic people's republic of korea
Australia,democratic republic of timor-leste
Australia,dj
Australia,do
Australia,eastern republic of uruguay
Australia,ecuador
Australia,ee
Australia,el
Australia,el salvador
Australia,et
Australia,european georgia
Australia,european union
Australia,fed. sts. micronesia
Australia,federal republic of germany
Australia,federal republic of nigeria
Australia,federation of malaysia
Australia,federation of russia
Australia,fi
Australia,fij
Australia,former yugoslav republic of macedonia
Australia,fr-nc
Australia,france
Australia,french establishments in oceania
Australia,friendly islands
Australia,g b
Australia,garden city
Australia,gd
Australia,gh
Australia,giordania
Australia,gt
Australia,heart of south america
Australia,hibernia
Australia,hksar
Australia,hn
Australia,holland
Australia,hungary
Australia,hồi quốc
Australia,iapan
Australia,id
Australia,il
Australia,independent state of papua new guinea
Australia,independent state of samoa
Australia,iq
Australia,ir
Australia,italia
Australia,ke
Australia,kingdom of norway
Australia,kingdom of saudi arabia
Australia,kingdom of siam
Australia,kingdom of spain
Australia,kingdom of sweden
Australia,kos
Australia,kuwait
Australia,la
Australia,latveja
Australia,lb
Australia,lithuania
Australia,malawi
Australia,malta
Australia,maurice
Australia,mexican republic
Australia,mongol state
Australia,moz
Australia,na
Australia,naoero
Australia,nca
Australia,pa
Australia,pe
Australia,philippine islands
Australia,poland
Australia,por
Australia,qa
Australia,r.s.a.
Australia,republic of senegal
Australia,republic of serbia
Australia,republic of slovenia
Australia,republic of trinidad and tobago
Australia,republic of turkey
Australia,republic of vanuatu
Australia,republic of zambia
Australia,republic of zimbabwe
Australia,ro
Australia,sb
Australia,socialist republic of viet nam
Australia,tanzania
Australia,ukr.
Austria,'straya
Austria,al hind
Austria,albania
Austria,bangla desh
Austria,can
Austria,chi
Austria,china
Austria,"china, republic of"
Austria,choson
Austria,colombia
Austria,confoederatio helvetica
Austria,cro
Austria,danemark
Austria,democratic people's republic of korea
Austria,eastern republic of uruguay
Austria,el
Austria,european georgia
Austria,federal republic of germany
Austria,federation of russia
Austria,fl
Austria,former yugoslav republic of macedonia
Austria,france
Austria,hungary
Austria,hồi quốc
Austria,iapan
Austria,id
Austria,il
Austria,italia
Austria,ke
Austria,kingdom of saudi arabia
Austria,kos
Austria,lithuania
Austria,mexican republic
Austria,moldavia
Austria,poland
Austria,republic of serbia
Austria,republic of slovenia
Austria,republic of turkey
Austria,sk
Austria,socialist republic of viet nam
Austria,ukr.
Austria,yugoslavia
Bangladesh,'straya
Bangladesh,america
Bangladesh,belarus
Bangladesh,chair of peter
Bangladesh,federal republic of germany
Bangladesh,g b
Bangladesh,kingdom of saudi arabia
Bangladesh,kingdom of sweden
Bangladesh,ukr.
Italy,Colombia
Japan,Albania
Norway,Sudan
Thailand,Japan
Turkey,Algeria
Turkey,Germany
