Subject,Object
Bayerischer Rundfunk,katja wildermuth
Fraunhofer Institute for Laser Technology,Reinhart Poprawe
Fraunhofer Institute for Material Flow and Logistics,Michael Ten Hompel
Fraunhofer Institute for Production Technology,Christian Brecher
Fraunhofer Institute for Solar Energy Systems ISE,Eicke Weber
Illumination,Chris Meledandri
Imperial Trans-Antarctic Expedition,ernest shackleton
Institut national de l'audiovisuel,agnès chauveau
Institut national de l'audiovisuel,agnès saal
Institut national de l'audiovisuel,emmanuel hoog
Institut national de l'audiovisuel,fabrice lacroix
Institut national de l'audiovisuel,laurent vallet
Institut national de l'audiovisuel,mathieu gallet
KEDGE Business School,alexandre de navailles-labatut
New Line Cinema,Toby Emmerich
Pixar,Edwin Catmull
The Weinstein Company,Bob Weinstein
