Subject,Object
300: Rise of an Empire,Simon Duggan
Absolutely Anything,Peter Hannan
American Hustle,Linus Sandgren
Another Way,Tamás Andor
Avatar 2,Russell Carpenter
Batman,Sam Leavitt
Battle of Warsaw 1920,Sławomir Idziak
Bella Australia,Peter Döttling
Black Panther,Rachel Morrison
Blackhat,Stuart Dryburgh
Bloch: Der Fremde,Stefan Sommer
Bloch: Der Mann im Smoking,Jürgen Carle
Bloch: Ein krankes Herz,Frank Amann
Bloch: Fleck auf der Haut,Thomas Makosch
Bloch: Silbergraue Augen,Thomas Makosch
Bloch: Verfolgt,Jürgen Carle
Breaking Bad,John Toll
Captives,Francisco Gózon
Cars 3,Newton Thomas Sigel
Castle,Bill Roe
Child 44,Philippe Rousselot
Chuck,Robert Reed Altman
Fantastic Beasts and Where to Find Them,Philippe Rousselot
Flushed Away,brad blackbourn
Flushed Away,frank passingham
Gemini Man,Dion Beebe
Greyfriars Bobby,Paul Beeson
House of Cards,Eigil Bryld
How to Train Your Dragon 2,Roger Deakins
Ich heirate eine Familie,Atze Glanert
Ich heirate eine Familie,jürgen r. schoenemann
Ich heirate eine Familie,klaus kuckel
Ich heirate eine Familie,manfred ensinger
Ich heirate eine Familie,norbert stern
Incident on a Dark Street,Charles F. Wheeler
Joker,Lawrence Sher
Mad Max: Fury Road,John Seale
Miracle of the White Stallions,Günther Anders
Miracle of the White Stallions,peter pochlatko
Moana,Rob Dressel
Nebelwand,Wolfgang Aichholzer
Pan,John Mathieson
Patterns of Force,gerald finnerman
Pippi Longstocking,Kalle Bergholm
Pulp Fiction,Andrzej Sekuła
Saving Mr. Banks,john leonard schwartzman
Schindler's List,Janusz Kamiński
Smallville,barry donlevy
Smallville,glen winter
Son of Saul,Mátyás Erdély
Song of the South,gregg toland
Star Trek Beyond,Stephen F. Windon
Sunset,Mátyás Erdély
Tatort: Der wüste Gobi,Kristian Leschner
Tatort: Goldbach,Andreas Schäfauer
The 100,Philip Linzey
The City on the Edge of Forever,gerald finnerman
The Dark Valley,Thomas Kiennast
The Expanse,Jeremy Benning
The Galileo Seven,gerald finnerman
The Godfather,"gordon hugh willis, jr."
The Godfather Part II,"gordon hugh willis, jr."
The New Mutants,Peter Deming
The Original Kings of Comedy,malik hassan sayeed
The Shape of Water,Dan Laustsen
The Three Caballeros,ray rennahan
The Three Lives of Thomasina,Michael Reed
The Three Lives of Thomasina,Paul Beeson
The West Wing,Thomas Del Ruth
Thor,Haris Zambarloukos
Trolls,Yong Duk Jhun
Turn: Washington's Spies,Marvin V. Rush
Underdogs,Félix Monti
Unter Verdacht: Die falsche Frau,Bernd Fischer
War Horse,Janusz Kamiński
Wonder Woman 1984,Matthew Jensen
Zootopia,Nathan Warner
