Subject,Object
A Dangerous Game,Gustav Burmester
A Door Marked Exit,Tom Verica
A Man's Man,Oscar Apfel
A Monster Calls,J. A. Bayona
All the Pretty Sources,Cherie Nowlan
American Hustle,david o. russell
Angel Beats!,Seiji Kishi
Bastille Day,James Watkins
Bolek and Lolek,alfred ledwig
Bolek and Lolek,stanisław dulz
Cape Nostalgia,Izuru Narushima
Cause and Effect,Nicolas Falacci
Columbo Likes the Nightlife,Jeffrey Reiner
Day 8: 3:00 pm - 4:00 pm,Brad Turner
Eddie Murphy Raw,robert townsend
Eretz Nehederet,Ido Rosenblum
Family Feud,Paul Alter
Finale: Part Two!!,Douglas Aarniokoski
Flushed Away,david bowers
Flushed Away,sam fell
Ghostbusters,Paul Feig
Greyfriars Bobby,Don Chaffey
Hug Wolf,Larry Leichliter
Ich heirate eine Familie,peter weck
In the Days of Daniel Boone,William James Craft
Incident on a Dark Street,buzz kulik
Jobcenter,Leonhard Koppelmann
Jumanji: Welcome to the Jungle,Jake Kasdan
Keeping Up with the Joneses,Greg Mottola
Kevin Hart: Laugh at My Pain,tim story
Kidnap,Luis Prieto
Krampus,Michael Dougherty
Kuchibiru ni uta o,Takahiro Miki
Manchester by the Sea,Kenneth Lonergan
Miracle of the White Stallions,Arthur Hiller
Now You See Me 2,Jon M. Chu
Patterns of Force,eugene wesley roddenberry
Patterns of Force,vincent m. mceveety
Pretty Little Liars,arlene sanford
Pretty Little Liars,beth hillshaffer
Pretty Little Liars,dana gonzales
Pretty Little Liars,elodie keene
Pretty Little Liars,j. miller tobin
Pretty Little Liars,jamie babbit
Pretty Little Liars,joanna crussie devarona
Pretty Little Liars,joseph dougherty
Pretty Little Liars,joshua butler
Pretty Little Liars,kimberly anne mccullough
Pretty Little Liars,lesli linka glatter
Pretty Little Liars,liz friedlander
Pretty Little Liars,michael goi
Pretty Little Liars,michael grossman
Pretty Little Liars,norman buckley
Pretty Little Liars,paul lazarus
Pretty Little Liars,roger kumble
Pretty Little Liars,ron lagomarsino
Pretty Little Liars,tim hunter
Pretty Little Liars,wendey stanzler
Pulp Fiction,quentin tarantino
Rocky,danny mulroon
Sarah Silverman: Jesus Is Magic,liam lynch
Saturday Night Live,a. d. miles
Saturday Night Live,adam mckay
Saturday Night Live,akiva d. schaffer
Saturday Night Live,andrej varchol
Saturday Night Live,andrew ross breckman
Saturday Night Live,anthony lover
Saturday Night Live,arthur jack zander
Saturday Night Live,aviva slesin
Saturday Night Live,ben stiller
Saturday Night Live,Beth McCarthy-Miller
Saturday Night Live,bill d'elia
Saturday Night Live,bill paxton
Saturday Night Live,bill wegman
Saturday Night Live,bob smigel
Saturday Night Live,bruce ian mcculloch
Saturday Night Live,chel white
Saturday Night Live,christopher guest
Saturday Night Live,colin jost
Saturday Night Live,craig mckay
Saturday Night Live,dan perri
Saturday Night Live,dave mccary
Saturday Night Live,dave wilson
Saturday Night Live,don roy king
Saturday Night Live,eric idle
Saturday Night Live,gary weis
Saturday Night Live,gerald cotts
Saturday Night Live,greg scarnici
Saturday Night Live,j. j. sedelmaier
Saturday Night Live,jake szymanski
Saturday Night Live,james signorelli
Saturday Night Live,jason r. reitman
Saturday Night Live,jason woliner
Saturday Night Live,john coles
Saturday Night Live,john davies
Saturday Night Live,john randal kleiser
Saturday Night Live,jonathan demme
Saturday Night Live,jonathan krisel
Saturday Night Live,jorma christopher taccone
Saturday Night Live,judgemental films
Saturday Night Live,ken friedman
Saturday Night Live,león ichaso
Saturday Night Live,linda lee cadwell
Saturday Night Live,lyndall hobbs
Saturday Night Live,mark story
Saturday Night Live,martin brest
Saturday Night Live,mary pat kelly
Saturday Night Live,matt villines
Saturday Night Live,matthew meshekoff
Saturday Night Live,michael blessing
Saturday Night Live,mitchel kriegman
Saturday Night Live,mr. warburton
Saturday Night Live,noah bauman
Saturday Night Live,ono
Saturday Night Live,p. t. anderson
Saturday Night Live,paul d. miller
Saturday Night Live,paul miller
Saturday Night Live,rhys michael thomas
Saturday Night Live,robert altman
Saturday Night Live,robert leacock
Saturday Night Live,stefan nadelman
Saturday Night Live,t. sean shannon
Saturday Night Live,tim boxell
Saturday Night Live,tim robbins
Saturday Night Live,tom gianas
Saturday Night Live,tom schiller
Saturday Night Live,walter williams
Saturday Night Live,william dear
Saving Mr. Banks,john hancock
Son of Saul,laszlo nemes
Song of the South,harve foster
Song of the South,wilfred emmons jackson
Souls for Sables,James C. McKay
Star Wars: Episode I – The Phantom Menace,george lucas
Suicide Squad,David Ayer
The Adventures of Chip 'n' Dale,Bill Justice
The Boy That Time Forgot,Barnaby Edwards
The City on the Edge of Forever,eugene wesley roddenberry
The City on the Edge of Forever,joseph pevney
The Exorcist,billy friedkin
The Galileo Seven,eugene wesley roddenberry
The Galileo Seven,robert gist
The Godfather,francis coppola
The Godfather Part II,francis coppola
The Original Kings of Comedy,mars blackmon
The Original Latin Kings of Comedy,jeb brien
The Ravine of Goodbye,Tatsushi Ōmori
The Rose of Versailles,Kenji Kodama
The Squaw Man,Sam Wood
The Three Caballeros,bill roberts
The Three Caballeros,clito geronimi
The Three Caballeros,harold young
The Three Caballeros,jack kinney
The Three Caballeros,norm ferguson
The Three Lives of Thomasina,Don Chaffey
The Wave,Roar Uthaug
The Young Messiah,Cyrus Nowrasteh
Touch,Isshin Inudo
Truth,James Vanderbilt
Träume,Fritz Schröder-Jahn
War for the Planet of the Apes,Matt Reeves
What You Leave Behind,Allan Kroeker
Wood Job!,Shinobu Yaguchi
