Subject,Object
11th U-boat Flotilla,1945-01-01
1st Ukrainian Front,1945-06-10
26th U-boat Flotilla,1945-01-01
29th U-boat Flotilla,1944-09-01
2nd East Anglian Regiment,1964-09-01
2nd U-boat Flotilla,1944-01-01
2nd Ukrainian Front,1945-06-10
41st,1881-01-01
57th,1881-01-01
89th,1881-01-01
AEP Paphos F.C.,2014-07-29
Alliance for the Future,2011-01-01
APOP Kinyras FC,2012-01-01
Berditshev County,1923-03-06
Björneborgs regemente,1809-03-01
Bremen Infantry Regiment,1715-01-01
Bryansk Front,1943-10-10
Catalan Solidarity,1909-01-01
Center Front,2011-01-01
Centre Union,1974-01-01
Charles de Gaulle University of humanities arts and social sciences,2017-01-01
Chief Secretary's Office,1975-07-01
Committee on School Funding,2006-01-01
Convergence and Union,2015-06-18
Coonamble,1904-01-01
Corowa,1950-01-01
Corrimal,1988-01-01
Cowra,1904-01-01
Crown Law Department,1978-07-01
Croydon,1959-01-01
Cumberland,1927-01-01
Dalarna Regiment,2000-06-30
Democratic Alliance,1947-01-01
Department of the Public Actuary,1976-01-01
Dorpat Voivodeship,1621-01-01
Duchy of Saxe-Meiningen,1918-01-01
Fighter Wing 4,1945-05-08
Flik 41J,1918-01-01
Freistätter Moor,2018-11-02
Fürstenfeld Abbey,1803-01-01
Gellener Torfmöörte,2018-12-22
German Democratic Party,1930-01-01
Halland Regiment,2000-07-01
Hangquellmoor bei Weihe,2019-07-01
Hemelsmoor,2018-10-01
Hohenzollern-Sigmaringen,1850-03-01
Holzbergwiesen,2018-12-20
Home Ministry,1947-12-31
Hülstener Wacholderheide,2008-01-01
Initiative for Catalonia Greens-United and Alternative Left,2015-01-01
Iraqi National Movement,2012-12-01
Iwama,2006-03-19
Jagdgeschwader 72,2002-01-31
Kaiserwinkel,2019-02-28
Kiesteich Ruther Marsch,2001-10-01
Kingdom of Westphalia,1813-01-01
Konotop County,1923-03-07
Lapvesiskij County,1996-01-01
Lille University of Health and Law,2017-01-01
Maebaru,2010-01-01
Ministry of Railways,1943-01-01
Ministry of the Army,1945-01-01
Monastère Sainte Catherine de Sienne,1939-01-01
Mortemer Abbey,1791-01-01
National Front,1989-01-01
North Caucasian Front,1943-11-20
Osinsky Uyezd,1923-11-03
Paris-Sorbonne University - Paris IV,2017-12-31
Podolian Voivodeship,1793-01-01
Province of Bari,2014-12-31
Province of Bologna,2014-12-31
Province of Florence,2014-12-31
Province of Genoa,2014-12-31
Province of Medio Campidano,2016-02-04
province of Milan,2014-12-31
Province of Rome,2014-12-31
Public Accounts Committee - Third Assembly,2011-01-01
Republican Party,1997-06-24
Saxe-Weimar-Eisenach,1918-01-01
Schönau Abbey,1558-01-01
Science and Technology Agency,2001-01-06
Superannuation Department,1976-01-01
Transbaikal Front,1945-01-10
University of Nice Sophia-Antipolis,2019-12-31
University of Paris VI: Pierre-and-Marie-Curie University,2017-12-31
Uppland Regiment,1957-03-31
Virginia's 18th congressional district,1843-03-04
Virginia's 19th congressional district,1843-03-04
Virginia's 20th congressional district,1843-03-03
Virginia's 21st congressional district,1843-03-03
Virginia's 22nd congressional district,1833-03-03
Volkhov Front,1942-04-23
Waldeck,1918-01-01
Washington's at-large congressional district,1959-01-03
Wenden Voivodeship,1621-01-01
West Virginia's 5th congressional district,1973-01-03
West Virginia's 6th congressional district,1963-01-03
West Virginia's at-large congressional seat,1917-03-04
Wisconsin's 10th congressional district,1973-01-03
Wisconsin's 11th congressional district,1933-03-03
Ōmagari,2005-03-22
