Subject,Object
101 Piscium,379.133
101 Piscium,428.394
1SWASP J011732.10+525204.9,3401.3605
1SWASP J160202.07+121213.5,211.0239
1SWASP J222514.69+361643.0,2713.7042
20 Camelopardalis,269.702
20 Camelopardalis,356.7861
26 Canis Majoris,278.373
26 Canis Majoris,308.2424
28 Cancri,100.9683
2MASS J07323341+7241408,110.5522
2MASS J14382831+8229397,1860.119
2MASS J17532059+2516492,1780.6268
2MASS J20431402+1536021,1172.8829
39 Ceti,74.3345
6 Draconis,132.6999
6 Draconis,151.151
[GBN2014] 31,4.2
[GBN2014] 34,6.0
[GBN2014] 72,2.7
[SXY2015] 21,9.5
Alnilam,366.0
Alpha Caeli,20.3644
Alpha Caeli,20.3824
Alpha² Canum Venaticorum,37.6425
ASAS J091748+1544.1,1349.3456
BD+44 1302,1450.3263
BD+67 1030,1827.4854
BD-00 2299,943.5743
BD-04 3421,609.864
BD-16 248,443.892
Centaurus A,10000000.0
Centaurus A,3.66
Centaurus A,3.77
Centaurus A,3.8
Centaurus A,4.9
Centaurus A,5.07
Centaurus A,7.85
Circinus Galaxy,4.11
Circinus Galaxy,4.2
Circinus Galaxy,6.09
CL Cam,163.87
Cl* NGC 6811 SAN 255,900.9009
Cl* NGC 7654 CKK V16,1591.09
Delta Equulei,18.4
Delta Equulei,18.6608
DY Leo,44.0381
EC 01404-6752,2471.58
EC 04185-2212,799.552
EC 04386-5049,949.217
EC 04405-3211,1592.36
EC 21044-3149,1180.22
EC 21171-1658,1039.61
EC 21281-5010,1518.37
EC 21292-5934,1244.4
EC 21306-4911,1303.27
EC 21366-3514,1205.4
EC 21381-2841,274.891
EC 21521-5752,1076.89
EC 22212-5915,2592.69
EC 23317-7354,1042.86
Epsilon Coronae Australis,31.1636
Epsilon Coronae Australis,31.438
ESO 104-22,8.95
ESO 104-44,9.73
ESO 427-14,41.5
Gamma Capricorni,35.9746
Gamma Doradus,20.429
Gamma Doradus,20.4506
Gamma Leporis,8.8801
Gliese 208,11.24
Gliese 208,11.4368
Gumala,27.4789
HAT-P-7,320.0
HAT-P-7,333.433
HAT-P-7,344.459
HD 109749 b,59.03
HD 124237,476.758
HD 15239,683.247
HD 175950,338.5011
HD 192639,2597.4026
HD 194279,1712.622
HD 195592,1740.9471
HD 208313,20.3988
HD 23089,294.1176
HD 27894,138.1
HD 27894,42.37
HD 27894,43.6895
HD 27894,43.877
HD 285497,1432.87
HD 352059,1592.864
HD 89744,38.6792
HD 96064,26.2381
HD 96248,2044.0
Kapteyn's Star,12.78
Kapteyn's Star,3.91
Kapteyn's Star,3.9335
Kapteyn's Star,3.9339
KIC 7900418,3050.6406
LEDA 87205,122.5
LP 415-345,48.9299
Messier 32,0.79
Messier 82,3.61
Moon,356565.0
Moon,385000.5
Moon,406464.0
NGC 160,82.79
NGC 1875,122.53
NGC 2232,325.0
NGC 2266,9800.0
NGC 2276,36.96
NGC 2293,17.06
NGC 2547,457.0
NGC 2633,27.42
NGC 3256,40.1
NGC 3263,40.83
NGC 455,70.42
NGC 5238,4.51
NGC 524,23.3
NGC 524,23.99
NGC 524,32.45
NGC 541,66.37
NGC 541,72.73
NGC 541,76.0
NGC 59,4.9
NGC 59,5.57
NGC 6281,494.0
NGC 6793,1100.0
NGC 6819,2403.0
NGC 7213,22.0
NGC 7213,25.0
NGC 7213,25.8
NGC 7214,100.8
NGC 7320,18.11
NGC 7654 1010,1601.28
NGC 7654 1042,1752.23
NGC 7654 835,1602.82
NGC 7654 929,1813.24
NSV 1095,468.4938
QW Puppis,20.8582
QW Puppis,21.3206
R Cassiopeiae,174.146
R Cassiopeiae,187.206
Rho Geminorum,18.1862
Rigel,860.0
Saiph,245.0
Sigma Draconis,5.7638
Sigma Draconis,5.767
Sigma Draconis,5.7723
TYC 1284-1056-1,44.1487
TYC 1398-1797-1,1636.9291
TYC 1601-1491-1,721.709
TYC 1609-1518-1,56.6646
TYC 3002-501-1,1371.9303
TYC 4479-446-1,664.8494
TYC 4687-2279-1,802.1819
TYC 5127-2055-1,739.6997
TYC 5518-774-1,317.6923
TYC 694-1183-1,44.1567
U Orionis,216.3004
U Orionis,286.336
UCAC2 45858420,3143.6655
UCAC4 437-017603,41.3548
UGC 2994,48.31
UW Canis Majoris,530.0
V* AN CrB,30.6503
V* EU Dra,278.6291
V* EW Dra,10.7645
V* GR Dra,137.9767
V* V709 Cyg,288.6503
V897 Her,234.9569
Vega,7.67
Whirlpool Galaxy,23000000.0
Whirlpool Galaxy,6.2
Whirlpool Galaxy,6.77
Whirlpool Galaxy,7.53
Whirlpool Galaxy,7.6
Whirlpool Galaxy,7.62
Whirlpool Galaxy,7.7
Whirlpool Galaxy,8.0
