Subject,Object
60 Minutes,cbs media ventures
60 Minutes,cbs news radio
American Hustle,intercom
American Hustle,netflix
Apple Maps,app store (ios)
Black Widow,Walt Disney Studios Motion Pictures
Cars 3,netflix
Eddie Murphy Raw,fandango at home
Eddie Murphy Raw,hulu
Eddie Murphy Raw,netflix
Flushed Away,paramount filmed entertainment
Freeciv,android app store
Freeciv,canonical ubuntu
Freeciv,sf
Frozen Bubble,android app store
GeoGebra,app store (ios)
GNU Emacs,flathub
Godzilla vs. Kong,Warner Bros.
Greyfriars Bobby,Walt Disney Studios Motion Pictures
How to Train Your Dragon 2,20th century fox
How to Train Your Dragon 2,intercom
How to Train Your Dragon 2,netflix
I2P,android app store
Karlsruhe,android app store
Karlsruhe,app store (ios)
Kevin Hart: Laugh at My Pain,netflix
Klondike Gold Rush National Historical Park,android app store
KWrite,flathub
Leave It to Beaver,NBCUniversal Television Distribution
Leisure Suit Larry: Reloaded,android app store
Leisure Suit Larry: Reloaded,app store (ios)
Leisure Suit Larry: Reloaded,gog limited
Leisure Suit Larry: Reloaded,steam
Long Gone Days,itch
Long Gone Days,steam
Malcolm in the Middle,20th Television
Meet the Press,hulu
Miracle of the White Stallions,netflix
Miracle of the White Stallions,Walt Disney Studios Motion Pictures
Monsuno,fremantle
Morbius,Sony Pictures Releasing
NBC News,app store (ios)
Night Court,Warner Bros. Television
OpenTTD,gog limited
OpenTTD,steam
Patterns of Force,netflix
Pretty Little Liars,netflix
Pulp Fiction,microsoft store
Raging Bull,netflix
Rise of the Triad,app store (ios)
Rise of the Triad,formgen
Rise of the Triad,gog limited
Rise of the Triad,steam
Rocky,netflix
Smallville,hulu
Son of Saul,netflix
Son of Saul,sony classics
Star Wars: Episode I – The Phantom Menace,20th century fox
Star Wars: Episode I – The Phantom Menace,fandango at home
Star Wars: Episode I – The Phantom Menace,intercom
Star Wars: Episode I – The Phantom Menace,netflix
Texas Hold'em King,android app store
The Binding of Isaac: Rebirth,app store (ios)
The Binding of Isaac: Rebirth,eshop
The Binding of Isaac: Rebirth,gog limited
The Binding of Isaac: Rebirth,microsoft store
The Binding of Isaac: Rebirth,sony group
The Binding of Isaac: Rebirth,steam
The City on the Edge of Forever,netflix
The Exorcist,netflix
The Galileo Seven,fandango at home
The Galileo Seven,netflix
The Godfather Part II,netflix
The Larry Sanders Show,Columbia TriStar Television
The Larry Sanders Show,hbo max
The Larry Sanders Show,hulu
The Original Kings of Comedy,hulu
The Original Kings of Comedy,netflix
The Original Kings of Comedy,paramount filmed entertainment
The Original Latin Kings of Comedy,hulu
The Original Latin Kings of Comedy,paramount filmed entertainment
The Three Lives of Thomasina,Walt Disney Studios Motion Pictures
V.I.P. Casino: Blackjack,eshop
Warzone 2100,flathub
Warzone 2100,itch
Warzone 2100,microsoft store
Wonder Woman 1984,hbo max
Wonder Woman 1984,warner bros. entertainment
WWE Raw,hulu
Zootopia,microsoft store
