Subject,Object
101 Piscium,10471
101 Piscium,10831
24 Ophiuchi,10000
26 Canis Majoris,16157
26 Draconis,5925
2MASS J05353270-0630181,3371
2MASS J19002573+4537087,4801
2MASS J19141637+4232025,4880
2MASS J19264357+4807193,5236
2MASS J19283666+4056278,4778
2MASS J19371884+4346391,4878
2MASS J19395696+4334456,4865
2MASS J19453187+4724345,4867
2MASS J19503280+4010153,4800
37 Pegasi,7080
39 Draconis,8630
40 Eridani A,5568
6 Draconis,4210
[MLF2014] 105432,8128
[MLF2014] 121380,8128
[MLF2014] 138261,7362
[MLF2014] 335837,7912
[MLF2014] 6365,8762
[RHS2000] 1-1106,3185
Alpha Caeli,6972
Alpha Caeli,6991
BD+08 102,22113
BD+67 1030,4398
BD-00 2299,4405
BD-00 4470,4796
BD-04 3421,4676
BD-16 248,4720
Cl* NGC 5139 BPB 81157,8678
Delta Equulei,6238
Delta Equulei,6299
Delta Geminorum,6966
Delta Tauri3,8851
Epsilon Coronae Australis,6647
Epsilon Coronae Australis,6776
Epsilon Coronae Borealis,4436
ESO-HA 1293,3339
ESO-HA 1497,3248
G 115-42,3200
G 130-68,3278
G 169-29,3277
G 210-2,3278
G 253-6,3400
G 29-69,3205
G 68-5,3482
G 75-30,2954
Gamma Doradus,7060
Gamma Doradus,7164
Gamma Doradus,7180
Gliese 174,4393
Gliese 208,3750
Gliese 208,3895
Gliese 208,3966
Gliese 208,3998
Gliese 208,4073
Gliese 208,4075
HAT-P-7,6151
HAT-P-7,6219
HAT-P-7,6233
HAT-P-7,6234
HAT-P-7,6259
HAT-P-7,6264
HAT-P-7,6282
HAT-P-7,6350
HAT-P-7,6384
HAT-P-7,6423.767
HAT-P-7,6441
HAT-P-7,6448
HAT-P-7,6525
HAT-P-7,6563
HAT-P-7,6566
HAT-P-7,6577
HAT-P-7,6707
HD 113889,7691
HD 125040,6296
HD 125040,6357
HD 125040,6407
HD 159870,5159
HD 201433,11885
HD 209339,23081
HD 21427,9078
HD 223991,9550
HD 23089,4750
HD 27894,4801
HD 27894,4829.94
HD 27894,4832
HD 27894,4833
HD 27894,4875
HD 27894,4920
HD 27894,4923
HD 27894,4950
HD 27894,4952
HD 27894,4991
HD 285497,4313
HD 352059,4439
HD 42954,8019
HD 45572,10495
HD 73574,7662
HD 82989,6693
Iota Apodis,10423
Kapteyn's Star,3524
Kapteyn's Star,3550
Kapteyn's Star,3570
Kapteyn's Star,3571
Kapteyn's Star,3626
Kapteyn's Star,3671
Kapteyn's Star,3695
Kapteyn's Star,3698
Kapteyn's Star,3722
Kapteyn's Star,4976
KIC 6445601,6819
KIC 7819024,7237
L 1159-16,3268
LP 229-30,2709
LP 275-68,3288
LP 377-100,3188
LP 415-345,3337
LP 625-34,3282
LP 98-79,2906
QW Puppis,6846
QW Puppis,6907
QW Puppis,6929
QW Puppis,6934
QW Puppis,6941
Ross 776,3099
Sigma Draconis,5120
Sigma Draconis,5124
Sigma Draconis,5140
Sigma Draconis,5143
Sigma Draconis,5170
Sigma Draconis,5196
Sigma Draconis,5204
Sigma Draconis,5209
Sigma Draconis,5210
Sigma Draconis,5215
Sigma Draconis,5218
Sigma Draconis,5222
Sigma Draconis,5227
Sigma Draconis,5229
Sigma Draconis,5236
Sigma Draconis,5242
Sigma Draconis,5243
Sigma Draconis,5246
Sigma Draconis,5255
Sigma Draconis,5260
Sigma Draconis,5265
Sigma Draconis,5271
Sigma Draconis,5272
Sigma Draconis,5276
Sigma Draconis,5281
Sigma Draconis,5283
Sigma Draconis,5293
Sigma Draconis,5296
Sigma Draconis,5298
Sigma Draconis,5301
Sigma Draconis,5310
Sigma Draconis,5318
Sigma Draconis,5321
Sigma Draconis,5329
Sigma Draconis,5331
Sigma Draconis,5338
Sigma Draconis,5343
Sigma Draconis,5366
Sigma Draconis,5400
Sigma Draconis,5415
Sigma Draconis,5437
Sigma Draconis,5438
Sigma Draconis,5529
TYC 1284-1056-1,3853
TYC 1601-1491-1,4502
TYC 1609-1518-1,4659
TYC 3002-501-1,4092
TYC 4479-446-1,4624
TYC 4687-2279-1,4548
TYC 5127-2055-1,4366
TYC 694-1183-1,3809
U Orionis,3281.33
UCAC2 45858420,6251
UCAC4 437-017603,3236
UW Canis Majoris,31840
UW Canis Majoris,32508
UW Canis Majoris,33215
V* AA Cnc,3299
V* CG Phe,7499
V* CW UMa,3344
V* LX Ori,4352
V* MM Tau,4196
V* PS Tau,3387
V* QW Tau,3233
V* V1076 Ori,3422
V* V2341 Ori,3233
V* V2657 Ori,3174
V* V346 Tau,3905
V* V832 Ori,3558
V* V857 Cen,3399
V* V991 Ori,3418
V1942 Cyg,9931
VB 10,2700
Vega,10080
Vega,7875
Vega,8129
Vega,8542
Vega,9000
Vega,9164
Vega,9397
Vega,9400
Vega,9430
Vega,9450
Vega,9470
Vega,9500
Vega,9505
Vega,9509
Vega,9519
Vega,9549
Vega,9550
Vega,9560
Vega,9692
Vega,9830
WASP-8,5589
Wolf 1494,3281
