Subject,Object
Aalten,31.0
Abdet,630.0
Actopan,2001.0
Aindling,455.0
Aindling,458.0
Akron,306.0
Alafia,275.0
Albalat dels Sorells,10.0
Albina,5.0
Aleksandrów Łódzki,206.0
Alicante,3.0
Alkmaar,1.0
Allendorf Airport,355.0
Allentown,103.0
Alluitsup Paa,27.0
Altenburg,202.0
Altglienicke station,44.0
Altomünster,518.0
Altomünster,519.0
Altoona,273.0
AMiBA,3396.0
Andrés Ibáñez Province,416.0
Annapolis,12.0
Antsiferov Island,761.0
Appleton,241.0
Arad,570.0
Armidale Dumaresq Shire,1011.0
Arnasco,250.0
Aroma Province,3774.0
Arrecife Algerine,51.0
Arrochar Alps,1011.0
Arthur's Seat,251.0
Asenovgrad,269.0
Ashdot Ya'akov Meuhad,-200.0
Ashi-se,15.0
Ashkelon,10.0
Asmara,2325.0
Atlanta,225.0
Aughleam,1.0
Avon Park Air Force Range,49.0
Azor,23.0
Babuganj Upazila,11.0
Baden-Württemberg,327.0
Baguio,853.0
Bahçeli Kayaları,52.0
Bakerganj Upazila,2.0
Balchik,199.0
Bali,3031.0
Baline,9.0
Balinghore,21.0
Balla-Bassène,27.0
Balla-Ougonor,26.0
Ballater,213.0
Balonguine,25.0
Bamba,244.0
Bamna Upazila,6.0
Banaripara Upazila,11.0
Banc Matuhu,15.0
Bandial,4.0
Bandjikaky,17.0
Bankass Cercle,271.0
Bantolinao Point Lighthouse,6.0
Baraf,23.0
Barcelona,12.0
Barcelona,9.0
Bardo,492.0
Bartolomeu de Gusmão Airport,5.0
Bartow Municipal Airport,38.0
Base Primavera,50.0
Bashkia e Fushe-krujes,22.0
Basse Lédan,1.0
Batumi,3.0
Beaverton,58.0
Beinn Achaladair,1038.0
Beinn Achaladair,1038.5
Beinn Ìme,1011.0
Beit Oren,292.0
Belgrade,117.0
Bellen,280.0
Belovodskoye,732.0
Ben Lui,1130.0
Ben Vorlich,943.0
Bend,1104.0
Beniaján,50.0
Berlin,34.0
Berlin-Spandau station,41.0
Bern,542.0
Betagi Upazila,10.0
Bhola Sadar Upazila,10.0
Biel/Bienne,434.0
Biel/Bienne,441.0
Bierutów,148.0
Big Ben,17.0
Bight of Biafra,0.0
Bigi Poika,30.0
Bistrița,356.0
Bitburg Airport,1223.0
Bitola,576.0
Black Ridge Canyons Wilderness,5541.0
Blackford Hill,164.0
Blagoevgrad,410.0
Blansko,276.0
