Subject,Object
1945 Danish Folketing election,2397067
1953 Danish general election,2711093
2005 Danish general election,4077370
2012 Tokyo gubernatorial election,10619652
2014 Tokyo gubernatorial election,10800000
2018 Salford City Council election in Barton,9236
2018 Salford City Council election in Claremont,8270
2018 Salford City Council election in Eccles,9263
2018 Salford City Council election in Irlam,6988
"Belford Roxo mayoral election, 2016 - second round",328777
Eighth Amendment of the Constitution of Ireland,2358651
Municipal elections 2017 in Sastamala in Finland,20269
Municipal elections 2017 in Sysmä in Finland,3442
Municipal elections 2017 in Säkylä in Finland,5767
Municipal elections 2017 in Taivalkoski in Finland,3326
Municipal elections 2017 in Taivassalo in Finland,1362
Municipal elections 2017 in Tammela in Finland,4994
Municipal elections 2017 in Tampere in Finland,190487
Municipal elections 2017 in Tervo in Finland,1411
Municipal elections 2017 in Tervola in Finland,2509
Municipal elections 2017 in Teuva in Finland,4366
Municipal elections 2017 in Vaala in Finland,2534
"Petrópolis mayoral election, 2016 - second round",244648
"Serra mayoral election, 2016 - second round",308139
"State elections in Acre in 2014 for Governor, first round",506520
"State elections in Acre in 2014 for Governor, second round",506522
"Volta Redonda mayoral election, 2016 - first round",223240
"Volta Redonda mayoral election, 2016 - second round",223240
