Subject,Object
Albania,1-1-2
Albania,127
Albania,128
Albania,129
Argentina,1-0-0
Argentina,101
Argentina,9-1-1
Australia,1-1-2
Austria,1-1-2
Azerbaijan,112
Bangladesh,9-9-9
Botswana,9-1-1
Botswana,9-9-9
Botswana,997
Botswana,998
Cameroon,1-1-2
Central African Republic,118
Chad,17
Chad,18
Croatia,112
Czech Republic,1-1-2
Federated States of Micronesia,111
Federated States of Micronesia,9-1-1
France,1-1-2
France,114
France,15
France,17
Georgia,112
Ghana,191
Ghana,192
Ghana,193
Ghana,9-9-9
Ghana,999
Greenland,1-1-2
India,1-0-0
India,1-1-2
India,101
India,102
India,108
Iraq,115
Israel,1-0-0
Israel,101
Israel,102
Italy,1-1-2
Italy,113
Italy,115
Italy,118
Japan,110
Japan,118
Japan,119
Kazakhstan,1-1-2
Kazakhstan,101
Kazakhstan,102
Kazakhstan,103
Kazakhstan,112
Kingdom of the Netherlands,1-1-2
Kyrgyzstan,101
Kyrgyzstan,102
Kyrgyzstan,103
Kyrgyzstan,161
Lesotho,1-1-2
Lesotho,114
Lesotho,115
Libya,191
Libya,193
Mali,1-1-2
Mali,15
Mali,17
Mali,18
Malta,112
Mauritius,1-1-2
Mauritius,114
Mauritius,115
Mauritius,9-9-9
Montenegro,1-1-2
Montenegro,112
Morocco,1-1-2
Morocco,177
Morocco,19
Netherlands,1-1-2
Netherlands,9-1-1
New Zealand,111
North Macedonia,112
Palau,9-1-1
Paraguay,9-1-1
Peru,111
Peru,9-1-1
Poland,1-1-2
Poland,9-9-9
Poland,986
Poland,997
Poland,998
Romania,1-1-2
Romania,112
Slovakia,1-1-2
South Georgia and the South Sandwich Islands,9-9-9
Spain,1-1-2
Sweden,1-1-2
Thailand,1669
Thailand,191
Thailand,199
Turkey,1-1-2
Turkey,177
Turkmenistan,1-1-2
Uganda,1-1-2
Uganda,9-1-1
Uganda,9-9-9
Ukraine,1-1-2
Ukraine,101
Ukraine,102
Ukraine,103
United Kingdom,1-1-2
United Kingdom,9-9-9
Vatican City,1-1-2
Vatican City,112
Vietnam,113
Vietnam,114
Vietnam,115
Zambia,1-1-2
Zambia,9-1-1
Zambia,9-9-9
