Subject,Object
Aarhus University,8028
ABN AMRO,18830
ABS-CBN Corporation,7406
Agrofert,32730
Audi,63839
Audi,79483
Audi,84435
Bayerischer Rundfunk,3402
BNP Paribas,178000
BNP Paribas,180000
BNP Paribas,183000
BNP Paribas,190000
BNP Paribas,192000
BNP Paribas,193000
BNP Paribas,196000
BNP Paribas,199000
BNP Paribas,202000
Bund für Umwelt und Naturschutz Deutschland,118
Bund für Umwelt und Naturschutz Deutschland,146
Bund für Umwelt und Naturschutz Deutschland,166
Chesbro Music Company,75
Citigroup,219000
Citigroup,251000
Cornell University,11062
Deutsche Apotheker- und Ärztebank,2563
Deutsche Apotheker- und Ärztebank,2598
Elsevier,6900
Elsevier,9500
EMI,15000
Fachhochschule Kiel,466
Fiat S.p.A.,193348
Frankfurter Volksbank,1337
Frankfurter Volksbank,1847
Friedrich Loeffler Institute,645
Gazprombank,18858
General Mills,35000
Grästorp Municipality,525
Grästorp Municipality,625
Grästorp Municipality,675
H&M,104634
H&M,114586
H&M,120191
H&M,123283
H&M,177000
H&M,93351
Hewlett-Packard,302000
Hochschule Stralsund,240
Itaú Unibanco,108000
Itaú Unibanco,95702
Itaú Unibanco,96219
Itaú Unibanco,96500
Itaú Unibanco,99600
Komerční banka,11865
Komerční banka,16232
Komerční banka,7388
Komerční banka,7456
Komerční banka,7503
Komerční banka,7551
Komerční banka,7687
Komerční banka,8061
Komerční banka,8167
Komerční banka,8411
Komerční banka,8476
Komerční banka,8492
Komerční banka,8619
Leipzig University of Applied Science,179
Lucas Industries,92000
Lund Municipality,10275
Lund Municipality,10325
Lund Municipality,10375
Merrill Lynch,60000
Microsoft,114000
Microsoft,118000
Microsoft,120849
Microsoft,124000
Microsoft,131300
Microsoft,140768
Microsoft,144000
Microsoft,163000
Microsoft,181000
Microsoft,221000
Microsoft,228000
Monsanto,25500
MUFG Bank,34274
National Park Service,20000
Nintendo,6413
Nintendo,6717
Nintendo,7317
Nippon Steel,52205
Novartis,119418
NPO Mashinostroyeniya,18000
Nykvarn Municipality,825
Nykvarn Municipality,875
Nyköping Municipality,4625
Nyköping Municipality,5025
Nyköping Municipality,5075
Rottenburg University of Applied Forest Sciences,110
Ruthin School,169
Ruthin School,180
Ruthin School,68
Ruthin School,78
Ruthin School,91
Ruthin School,99
S-Bahn Berlin GmbH,3055
Sacred Heart Major Seminary,89
Sberbank of Russia,325000
Schmalkalden University of Applied Sciences,227
Scotiabank,89000
Siemens,293000
Siemens,303000
Siemens,311000
Siemens,320000
Siemens,344400
Siemens,345000
Siemens,348000
Siemens,350500
Siemens,351000
Siemens,357000
Siemens,362400
Siemens,366700
Siemens,370000
Siemens,372000
Siemens,379000
Siemens,385000
Siemens,398000
Siemens,402700
Siemens,405000
Siemens,417000
Siemens,426000
Siemens,427000
Siemens,430000
Siemens,430200
Siemens,437000
Siemens,461000
Siemens,475000
Siemens,477100
Sjöbo Municipality,1375
Sjöbo Municipality,1425
Sony,109700
Sony,112300
Sony,113000
Sony,114400
Spanish National Research Council,11112
Sparda-Bank Baden-Württemberg,699
Sparda-Bank Südwest,779
Sparda-Bank West,852
Staffanstorp Municipality,1225
Staffanstorp Municipality,1275
Statnett,2100
Takata Corporation,35000
Takata Corporation,48775
TNT N.V.,159000
Total S.A.,100000
Trenord,4019
Unilever,168000
University of Applied Sciences Meissen,86
University of Applied Sciences Neu-Ulm,345
University of Missouri,13303
University of Montenegro,1273
Vidin Province,30
Visa Inc.,11300
Visa Inc.,17000
Visa Inc.,20500
Visa Inc.,21500
Visa Inc.,26500
Visa Inc.,31600
Vodafone,105300
Vodafone,107667
Vodafone,108271
Vodafone,96506
Volkswagen Group,513642
Volkswagen Group,655722
Volkswagen Group,665400
Volkswagen Group,672800
Weleda,1900
West Virginia University,9436
Western Illinois University,1280
Western Michigan University,2721
Zurich Insurance Group,53146
Škoda Works,18662
Škoda Works,19000
Škoda Works,20200
Škoda Works,34231
