Subject,Object
Aleksandr Medved,Belarusian State University of Informatics and Radioelectronics
Aleksandr Yevgenyev,Saint Petersburg State University of Aerospace Instrumentation
Anna Konkina,St. Petersburg State Transport University
Ardalion Ignatyev,chuvash state pedagogical institute
Ardalion Ignatyev,Chuvashia State University of pedagogy
Corinna Halke,Bayerischer Rundfunk
Denny Vrandečić,wikimedia foundation
Dimitri Poliakov,National University of Kharkiv
Fedir Bohatyrchuk,ottawa u
Fedir Bohatyrchuk,University of Ottawa
Galina Tsareva,"Lesgaft National State University of Physical Education, Sport and Health"
Guo Jie,Peking University
Harold Wilson,oxf
Inderpal Grewal,collegiate school
Kenneth Macdonald Beaumont,International Air Transport Association
Milka Babović,Croatian Radiotelevision
Pauline Chen Lee,Saint Louis University
Richard Henry Abbatt,East Indian Railway Company
Romuald Klim,belarusian agricultural academy
Romuald Klim,Belarusian State Academy of Agriculture
Rudi Cerne,ZDF
