Subject,Object
Abraham Van Helsing,count dracula
Barry Allen,abra kadabra
Barry Allen,anthony woodward
Barry Allen,axel walker
Barry Allen,black flash
Barry Allen,captain boomerang
Barry Allen,captain cold
Barry Allen,dicky
Barry Allen,golden glider
Barry Allen,gorilla grodd
Barry Allen,hartley rathaway
Barry Allen,heat wave
Barry Allen,hunter zolomon
Barry Allen,marco mardon
Barry Allen,mirror master
Barry Allen,roscoe dillon
Barry Allen,thinker
Faramir,annatar
Granny Goodness,barda
Granny Goodness,mister miracle
Hellboy,baba yaga
Hellboy,grigori efimovich rasputin
Hellboy,gruagach
Hellboy,nimue
Hellboy,ogdru jahad
Kalibak,clark jerome kent
Luke Skywalker,chancellor palpatine
Luke Skywalker,darth caedus
Luke Skywalker,exar kun
Luke Skywalker,grand admiral thrawn
Luke Skywalker,joruus c'baoth
Luke Skywalker,lumiya
Madame Rouge,dick grayson
Madame Rouge,doom patrol
Marcus Wright,Skynet
Metallo,clark jerome kent
Metallo,Superman
Morbius,peter benjamin parker
Princess Leia,chancellor palpatine
Princess Leia,grand admiral thrawn
Princess Leia,joruus c'baoth
Rebel Alliance,anakin skywalker
Rebel Alliance,galactic empire
Thor,jormungand
Yoda,chancellor palpatine
Yuno Gasai,keigo kurusu
Éowyn,annatar
