Subject,Object
HeLa,hpv-related endocervical adenocarcinoma
J-96,human papilloma virus related endocervical adenocarcinoma
JHC,human papilloma virus related endocervical adenocarcinoma
JTC-17,human papilloma virus related endocervical adenocarcinoma
JTC-3,human papilloma virus related endocervical adenocarcinoma
KCC-MS871,human papilloma virus related endocervical adenocarcinoma
KCC-TCM901,human papilloma virus related endocervical adenocarcinoma
KP-P1,human papilloma virus related endocervical adenocarcinoma
KU-7,human papilloma virus related endocervical adenocarcinoma
L-132,human papilloma virus related endocervical adenocarcinoma
Led-T1,human papilloma virus related endocervical adenocarcinoma
LU,human papilloma virus related endocervical adenocarcinoma
Lu 106,human papilloma virus related endocervical adenocarcinoma
M10T,human papilloma virus related endocervical adenocarcinoma
MA-160,human papilloma virus related endocervical adenocarcinoma
