Subject,Object
Abraham,hebrew people
Albania,greek people
Aragorn,Dúnedain
Australia,aboriginal and torres strait islander peoples
Australia,asian indians
Australia,chinese people
Australia,deutsch people
Australia,dutch
Australia,gaels
Australia,greek people
Australia,italian people
Australia,scots
Austria,deutsch people
Canada,First Nations
Czech Republic,Czechs
Democratic Republic of the Congo,Kongo people
Egypt,Egyptians
Erendis,Númenóreans
Jacob,hebrew people
Japan,aino
Japan,chinese people
Japan,korean nation
Kyoko Kirigiri,japanese
Mexico,Mestizos in Mexico
Morocco,arab-amazigh
Nigeria,Hausa
Poland,deutsch people
Sarabi,african
Tar-Ancalimë,Númenóreans
Thailand,hmong people
Thailand,khmer people
Thailand,kinh people
Thailand,siamese
Tunisia,Arabs
Turkey,kurd
Turkey,Kurds
Turkey,turkish people
Uganda,abakiga
Uganda,acholi
Uganda,Acholi people
Uganda,ankole
Uganda,baganda
Uganda,bagisu people
Uganda,bakhonzo
Uganda,basoga
Uganda,iteso people
Uganda,langi people
Uganda,lugbara people
Vietnam,hmong people
Vietnam,hoa people
Vietnam,khmer people
Vietnam,kinh people
Vietnam,muong people
Vietnam,nùng people
Vietnam,siamese
Vietnam,tay people
Yuno Gasai,japanese
Éowyn,eorlingas
Éowyn,Rohirrim
