Subject,Object
A Stop on the Journey,tapestry weaving
Appliqué inv. 733,guipure
Appliqué inv. 734,guipure
Appliqué inv. 739,guipure
Appliqué inv. 848,guipure
Chicken Run,clay animation
Closed Mondays,clay animation
Coin,coinage
"Design drawing from the Jos De Beer collection, ref. obj-0002523",Pen and wash drawing
"Design drawing from the Jos De Beer collection, ref. obj-0002530",Pen and wash drawing
"Design drawing from the Jos De Beer collection, ref. obj-0002690",Ferro-Gallic print
Embroidered Tondo from an Altar Frontal: The Coronation of the Virgin,or nué
Episode from Roman History: Aemilius Paullus Becomes Consul for the Second Time,tapestry weaving
Flushed Away,clay animation
"Fragmentary Icon Panel, Christ in Glory",dovetailing
"Fragmentary Icon Panel, Christ in Glory",slit tapestry weaving
Green damask wall hangings,weaving
Hanging with Christian Images,plain weave
Icon of the Virgin and Child,dovetailing
Icon of the Virgin and Child,slit tapestry weaving
"Musée Saint-Raymond, 26369",slipware
"Musée Saint-Raymond, 26395",slipware
"Musée Saint-Raymond, 26411",highlight
"Musée Saint-Raymond, 26411",slipware
"Musée Saint-Raymond, 26422",highlight
"Musée Saint-Raymond, 26422",slipware
Skyphos,slipware
"Tapestry fragment ""Quand Dieu vouldra""",tapestry weaving
Tapestry fragments on a green ground,textile painting
Tapestry fragments on a red ground,textile painting
Verdure with birds,tapestry weaving
Wallace & Gromit: The Curse of the Were-Rabbit,clay animation
