Subject,Object
Argentina at the 2018 FIFA World Cup,2018 FIFA World Cup
Belgium at the 2018 FIFA World Cup,2018 FIFA World Cup
England at the 2018 FIFA World Cup,2018 FIFA World Cup
Expedition 45,International Space Station
Expedition 46,International Space Station
Expedition 47,International Space Station
Expedition 49,International Space Station
Expedition 52,International Space Station
Expedition 54,International Space Station
Expedition 55,International Space Station
Expedition 56,International Space Station
Expedition 57,International Space Station
Expedition 58,International Space Station
Expedition 59,International Space Station
Expedition 60,International Space Station
Expedition 61,International Space Station
First inauguration of Harry S. Truman,Truman Administration
First inauguration of Richard Nixon,Presidency of Richard Nixon
first inauguration of Theodore Roosevelt,Presidency of Theodore Roosevelt
First inauguration of Thomas Jefferson,Presidency of Thomas Jefferson
First inauguration of Ulysses S. Grant,Presidency of Ulysses S. Grant
France at the 2018 FIFA World Cup,2018 FIFA World Cup
Japan at the 2018 FIFA World Cup,2018 FIFA World Cup
kindness,Christianity
Mexico at the 2018 FIFA World Cup,2018 FIFA World Cup
Nazi Germany,german empire
pessimism,psychology
Russia at the 2018 FIFA World Cup,2018 FIFA World Cup
Second voyage of HMS Beagle,evolutionary thought history
Spain at the 2018 FIFA World Cup,2018 FIFA World Cup
Uruguay at the 2018 FIFA World Cup,2018 FIFA World Cup
World War I,german colonial empire
