Subject,Object
30th Street Station,septa center city fare zone
Bank and Monument stations,london fare zone 1
Baumschulenweg station,berlin b fare zone
Berlin Brandenburger Tor station,berlin a fare zone
Berlin Hackescher Markt station,berlin a fare zone
Berlin Springpfuhl station,berlin b fare zone
Berlin Südkreuz station,berlin a fare zone
Berlin-Grünau station,berlin b fare zone
Berlin-Lichtenberg station,berlin b fare zone
Berlin-Spandau station,berlin b fare zone
Four Lane Ends Interchange,green zone
Four Lane Ends Interchange,metro fare zone b
Four Lane Ends Interchange,Network One zone 2
Hamburg Dammtor station,hvv fare zone 000
Longbenton metro station,Tyne and Wear Metro fare zone B
Parsons Green tube station,london fare zone 2
Regent Centre Interchange,Transfare Green Zone
Regent Centre Interchange,Tyne and Wear Metro fare zone B
Wapping railway station,london fare zone 2
West Ham station,london fare zone 2
West Ham station,london fare zone 3
