Subject,Object
Aaron,Amram
Abraham,terach
Aegina,Asopus
Aeëtes,helios
Ahab,Omri
Almandin,Monsun
Ares,Zeus
Arya Stark,Eddard Stark
Asa of Judah,abijah
Aslaug,Sigurd
Asterodeia,Oceanus
Asterodeia,Phasis
Barry Allen,henry allen
Bart Simpson,Homer Simpson
Bragi,odin
Bram Stoker,abraham coates stoker
Bran Stark,Eddard Stark
Corcyra,Asopus
Curlin,smart strike
Cyrus the Great,Cambyses I
Danny Torrance,Jack Torrance
Dezső Gyarmati,bela gyarmati
Ender Wiggin,John Paul Wiggin
Enyo,dias
Enyo,Zeus
Epimetheus,Iapetos
Faramir,denethor
Forever Unbridled,Unbridled's Song
Good Magic,Curlin
Gormley,Malibu Moon
Gunnevera,Dialed In
Ishmael,abiraham
Jacob,isaac
Jehoshaphat,asa
Jehoshaphat,Asa of Judah
Joaquin de la Vega,Alejandro de la Vega
Jokshan,abiraham
Jotham of Judah,Uzziah
Kalibak,darkseid
Krishna,anekadundubhi
Levi,israel
Levi,Jacob
Lexie Lou,Sligo Bay
Liliána Szilágyi,zoltan szilagyi
Lisa Simpson,Homer Simpson
Luke Skywalker,anakin
Mars,Jupiter
More So,Ballymore
Moses,Amram
Most Happy Fella,Meadow Skipper
Nereus,Pontus
Oceanus,Uranus
Oscar Performance,Kitten's Joy
Princess Leia,anakin
Prometheus,Iapetos
Remus,Mars
Rhea,Uranus
Robert Arryn,Jon Arryn
Romulus,Mars
Roy H,More Than Ready
Saint George,geront
Samitar,Rock of Gibraltar
Tamarkuz,Speightstown
Tethys,Uranus
Thor,odin
Virgin Mary,Joachim
Zedekiah,Josiah
Éowyn,éomund
