Subject,Object
Albalat dels Sorells,2027
Albania,1392115
Albania,1407212
Albania,1418585
Albania,1425364
Alicante,172696
Argentina,22689693
Argentina,22911069
Argentina,23130548
Argentina,23345532
Atchampet mandal,28698
Australia,12877635
Austria,4511982
Austria,4529542
Austria,4548093
Austria,4590312
Babuganj Upazila,72775
Babuganj Upazila,81092
Bakerganj Upazila,164920
Bakerganj Upazila,182958
Bamna Upazila,40126
Bamna Upazila,41561
Banaripara Upazila,75115
Banaripara Upazila,86742
Bangladesh,83347206
Bankura district,1758579
Barcelona,861143
Berlin,1852025
Berlin,1912055
Berlin,1972969
Betagi Upazila,60462
Betagi Upazila,64484
Bhola Sadar Upazila,216308
Bhola Sadar Upazila,227052
Birbhum district,1711484
Bitola,15211
Bitola,18855
Bitola,24527
Bitola,32484
Bitola,35553
Bitola,38195
Bitola,39413
Bitola,39548
Bitola,42291
Bollapalle,2436
Bollapalle,2449
Bordeaux,134712
Botswana,1266499
Botswana,1289694
Botswana,1310688
Botswana,1331489
Boudh district,219537
Breisgau-Hochschwarzwald,133154
Bremen,286732
Bremen,288016
Briançon,5946
Brive-la-Gaillarde,25041
Bry-sur-Marne,8588
Burgos,92108
Burhanuddin Upazila,118827
Cameroon,12926852
Cameroon,13280460
Cameroon,13634397
Cameroon,13992014
Central African Republic,2603472
Central African Republic,2670940
Central African Republic,2728875
Central African Republic,2790791
Chad,8032044
Chad,8289666
Chad,8556210
Chad,8827313
Colunga,1658
Cortina d'Ampezzo,3006
Czech Republic,5331795
Czech Republic,5414896
Czech Republic,5416114
Czech Republic,5428157
Czerniejewo,1289
Debagarh district,154290
Dornala mandal,21683
Dortmund,298600
"Dąbroszyn, Lubusz Voivodeship",331
El Vendrell,18975
Federated States of Micronesia,37839
Federated States of Micronesia,55307
Federated States of Micronesia,55694
Federated States of Micronesia,56233
Federated States of Micronesia,56777
France,34801750
France,34900402
France,35006272
France,35123991
France,35326000
Freiburg im Breisgau,120412
Freiburg im Breisgau,120698
Ghana,15798612
Ghana,16129086
Ghana,16457496
Ghana,16780756
Goalpara district,494891
Gorjansko,132
India,662380000
Iraq,20774818
Iraq,21259406
Iraq,21736184
Iraq,22205751
Iraq,22957189
Israel,4544229
Israel,4622801
Israel,4699259
Israel,4790443
Italy,30198875
Italy,30312143
Italy,30481007
Italy,30638263
Jagannathpur Upazila,129526
Jagannathpur Upazila,135759
Jajpur district,901158
Janakavarampanguluru mandal,22700
Japan,64189000
Juillan,2146
Kandhamal district,373165
Karlsruhe,150707
Kazakhstan,10185836
Kazakhstan,9623458
Kazakhstan,9743042
Kazakhstan,9963421
Kendrapara district,722547
Kerman,265003
Kraków,426754
Kurichedu mandal,19964
Kyrgyzstan,3286075
Kyrgyzstan,3348689
Kyrgyzstan,3447311
Kyrgyzstan,3550345
La Houssaye-en-Brie,791
Lesotho,1127746
Lesotho,1141915
Lesotho,1155756
Lesotho,1168329
Libya,3240076
Libya,3283983
Libya,3325769
Libya,3365279
Madrid,1745973
Main-Kinzig-Kreis,212395
Main-Taunus-Kreis,121403
Mali,10179843
Mali,10505701
Mali,10844239
Mali,11186771
Manpura Upazila,37836
Manpura Upazila,44742
Marburg-Biedenkopf,125234
Martur mandal,36779
Mauritius,639989
Mauritius,640430
Mauritius,640852
Mauritius,641465
Mirzaganj Upazila,62424
Mirzaganj Upazila,66490
Montenegro,316670
Montenegro,317538
Montenegro,318464
Montenegro,318725
Morocco,18022621
Morocco,18213816
Morocco,18410922
Morocco,18605603
Nayagarh district,460153
Netherlands,8729744
Netherlands,8776125
Netherlands,8820968
Netherlands,8903166
New York City,4245512
New Zealand,2517499
New Zealand,2567944
New Zealand,2578073
New Zealand,2580631
North Korea,13047566
North Korea,13089212
North Korea,13127524
North Korea,13164298
Nuzendla,2541
Nuzendla,2813
Offenbach am Main,65045
Orelle,167
Ourense,57538
Palau,8537
Palau,8595
Palau,8643
Palau,8679
Paraguay,3249592
Paraguay,3294711
Paraguay,3338534
Paraguay,3378612
Parchur mandal,28046
Pasłęk,6282
Patharghata Upazila,83383
Patharghata Upazila,92074
Patuakhali Sadar Upazila,161067
Patuakhali Sadar Upazila,181236
Peru,16556679
Peru,16805323
Peru,17020361
Peru,17192503
Philippines,53649400
Poland,18995573
Poland,19418160
Poland,19493868
Poland,19564918
Poland,19595179
Pontevedra,43729
Quimper,33593
Racherla mandal,17621
Romania,9833682
Romania,9876919
Romania,9944933
Romania,9994608
Sainte-Sabine,78
Sant Joan de Moró,1513
Santhamaguluru,4638
Santhamaguluru mandal,29173
Santhanuthala Padu mandal,32040
Slovakia,2777654
Slovakia,2787545
Slovakia,2790976
Slovakia,2793108
South 24 Parganas district,3988183
Spain,24030201
Spain,24152012
Spain,24178936
Spain,24361595
Strasbourg,147549
Strasbourg,153148
Sweden,5110007
Sweden,5142210
Sweden,5169131
Sweden,5201777
Tangutur mandal,31446
Taradell,3251
Thailand,33819860
Thrissur district,1640437
Tours,73025
Tuliszków,1618
Turkey,41164975
Turkey,41578108
Turkey,41972288
Turkey,42398537
Turkmenistan,3108189
Turkmenistan,3154282
Turkmenistan,3200126
Turkmenistan,3244911
Uganda,21707475
Uganda,22431520
Uganda,23153140
Uganda,23848253
Ukraine,20550751
Ukraine,23554678
Ukraine,23737604
Ukraine,23871817
United Kingdom,33835792
United Kingdom,33913559
United Kingdom,33948108
United Kingdom,34291141
Valenciennes,22511
Veligandla mandal,17265
Venkatachalam mandal,30491
Vietnam,49409110
Vougeot,86
Warsaw,1002277
Yerragondapalem mandal,30903
Zambia,10140033
Zambia,9314079
Zambia,9589102
Zambia,9864121
Zimella,2381
