Subject,Object
American Hustle,alan baumgarten
American Hustle,crispin struthers
American Hustle,jay cassidy
American Hustle,kevin tent
Incident on a Dark Street,rita roland
Miracle of the White Stallions,alfred srp
Miracle of the White Stallions,cotton warburton
Peter Pan,Donald Halliday
Pulp Fiction,sally joanne menke
Saving Mr. Banks,mark livolsi
Son of Saul,matthieu taponier
Song of the South,william m. morgan
The Emperor's New Groove,Pam Ziegenhagen
The Hunchback of Notre Dame,James Melton
The Three Caballeros,don halliday
Treasure Planet,Michael Kelly
