Subject,Object
2025,Yavne
A Wrinkle in Time,Los Angeles
A Wrinkle in Time,New Zealand
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Los Angeles
Alien Autopsy,Pinewood Studios
American Hustle,big apple
Beauty and the Beast,Shepperton Studios
Black Widow,Norway
Captain America: The Winter Soldier,city of angels
Cinderella,England
Cinderella,Hampton Court Palace
Civil Courage,Berlin
Der Sommer der Gaukler,Bavarian Forest Museum Village
Eretz Nehederet,Herzliya Studios
Family Feud,La Plaine Saint-Denis
Godzilla vs. Kong,Australia
Grave Decisions,Bavaria
Halloween,California
Ich heirate eine Familie,berlin
Ich heirate eine Familie,vienna
Incident on a Dark Street,city of angels
Into the Woods,London
Jaws,Australia
Kim Novak Never Swam in Genesaret's Lake,Trollhättan
Meet the Press,"city of washington, d.c."
Morbius,Atlanta
Night of the Living Dead,Pittsburgh
Ocean's Twelve,Florida
Patterns of Force,desilu stage 11
Patterns of Force,desilu stage 9
Patterns of Force,European Town
Patterns of Force,Paramount Stage 19
Patterns of Force,Paramount Stage 31
Pretty Little Liars,city of angels
Raging Bull,city of angels
Reprise,Paris
Rocky,Philadelphia
Rocky,Santa Monica
Saturday Night Live,NBC
Saving Mr. Banks,Los Angeles
Smallville,b.c.
Son of Saul,alt-ofen
Song of the South,ariz.
Song of the South,ca
Star Wars: Episode I – The Phantom Menace,republic of tunisia
"Suddenly, Last Summer",Spain
Tatort: Gestern war kein Tag,Munich
The BFG,Vancouver
The City on the Edge of Forever,40 Acres
The City on the Edge of Forever,desilu stage 10
The City on the Edge of Forever,desilu stage 11
The City on the Edge of Forever,desilu stage 9
The City on the Edge of Forever,mayberry set
The City on the Edge of Forever,Paramount Stage 19
The City on the Edge of Forever,Paramount Stage 31
The Exorcist,big apple
The Exorcist,Mosul
The Galileo Seven,desilu stage 10
The Galileo Seven,desilu stage 9
The Galileo Seven,Paramount Stage 31
The Galileo Seven,Paramount Stage 32
The Godfather,garden state
The Godfather,Long Island
The Godfather,New Jersey
The Godfather,sicilia
The Godfather Part II,big apple
The Godfather Part II,city of miami
The Godfather Part II,fl
The Godfather Part II,Florida
The Godfather Part II,las vegas metropolitan area
The Godfather Part II,sicilia
The Godfather Part II,Sicily
The Mummy,California
The Neon Demon,Canfield-Moreno Estate
Tomorrowland,Florida
Tomorrowland,Paris
Tomorrowland,Spain
Wonder Woman 1984,"city of washington, d.c."
Wonder Woman 1984,g b
Wonder Woman 1984,kingdom of spain
Wonder Woman 1984,Spain
