Subject,Object
Alberta,alberta flag
Argentina,argentina flag
Austria,austria flag
Cameroon,cameroon flag
Cumberland,flag of Cumberland
Czechoslovakia,czechoslovakia flag
Flintshire,flag of Flintshire
India,flag of india
Italy,flag of italy
Japan,flag of japan
Merionethshire,flag of Merionethshire
Middlesex,flag of Middlesex
Montenegro,flag of montenegro
Morocco,flag of morocco
Orkney Islands,flag of Orkney
Quebec,flag of quebec
Shetland Islands,flag of Shetland
Sussex,flag of Sussex
Turkmenistan,flag of turkmenistan
Vatican City,flag of the holy see
Westmorland,flag of Westmorland
Yorkshire,flag of Yorkshire
Zambia,flag of zambia
