Subject,Object
0s,10s
1,2
1120s,1130s
1201,1202
12th century,13. century
1873 FA Cup Final,1874 FA Cup Final
1884,1885
1893 European Rowing Championships,1894 European Rowing Championships
1894 European Rowing Championships,1895 European Rowing Championships
1896 European Rowing Championships,1897 European Rowing Championships
1897 European Rowing Championships,1898 European Rowing Championships
1898 European Rowing Championships,1899 European Rowing Championships
1901 FA Cup Final,1902 FA Cup Final
1907 Giro del Piemonte,1908 Giro del Piemonte
1909 FA Cup Final,1910 FA Cup Final
1910 Giro del Piemonte,1911 Giro del Piemonte
1911 Giro del Piemonte,1912 Giro del Piemonte
1912 European Rowing Championships,1913 European Rowing Championships
1912 Giro del Piemonte,1913 Giro del Piemonte
1913 European Rowing Championships,1920 European Rowing Championships
1913 Giro del Piemonte,1914 Giro del Piemonte
1914 Giro del Piemonte,1915 Giro del Piemonte
1915 Giro del Piemonte,1916 Giro del Piemonte
1916 Giro del Piemonte,1917 Giro del Piemonte
1917 Giro del Piemonte,1918 Giro del Piemonte
1918 Giro del Piemonte,1919 Giro del Piemonte
1920 European Rowing Championships,1921 European Rowing Championships
1922 European Rowing Championships,1923 European Rowing Championships
1924 European Rowing Championships,1925 European Rowing Championships
1927 Irish Open Badminton Championships,1928 Irish Open Badminton Championships
1928 3-cushion world championship,1929 3-cushion world championship
1929 3-cushion world championship,1930 3-Cushion World Championship
1930 European Rowing Championships,1931 European Rowing Championships
1931 European Rowing Championships,1932 european rowing championships
1932 European Rowing Championships,1933 European Rowing Championships
1935 European Rowing Championships,1937 European Rowing Championships
1944,1945
1947,1948
1948,1949
1949 European Rowing Championships,1950 European Rowing Championships
1949 Liège–Bastogne–Liège,1950 Liège–Bastogne–Liège
1950 Paris-Tours,1951 Paris-Tours
1951,1952
1951 Liège–Bastogne–Liège,1952 Liège–Bastogne–Liège
1952,1953
1952 FA Cup Final,1953 FA Cup Final
1952 Liège–Bastogne–Liège,1953 Liège–Bastogne–Liège
1952 Paris-Tours,1953 Paris-Tours
1953 European Rowing Championships,1954 European Rowing Championships
1953 Liège–Bastogne–Liège,1954 Liège–Bastogne–Liège
1953 Paris-Tours,1954 Paris-Tours
1954 European Rowing Championships,1955 European Rowing Championships
1954 Liège–Bastogne–Liège,1955 Liège–Bastogne–Liège
1954 Prueba Villafranca de Ordizia,1955 Prueba Villafranca de Ordizia
1955 Icelandic Badminton Championships,1956 Icelandic Badminton Championships
1955 Paris-Tours,1956 Paris-Tours
1955 Prueba Villafranca de Ordizia,1956 Prueba Villafranca de Ordizia
1956,1957
1956 Icelandic Badminton Championships,1957 Icelandic Badminton Championships
1956 Paris-Tours,1957 Paris-Tours
1956 Prueba Villafranca de Ordizia,1957 Prueba Villafranca de Ordizia
1957 European Rowing Championships,1958 European Rowing Championships
1957 FA Cup Final,1958 FA Cup Final
1957 Icelandic Badminton Championships,1958 Icelandic Badminton Championships
1957 Prueba Villafranca de Ordizia,1958 Prueba Villafranca de Ordizia
1958 Belgian Badminton Championships,1959 Belgian Badminton Championships
1958 European Rowing Championships,1959 European Rowing Championships
1958 Icelandic Badminton Championships,1959 Icelandic Badminton Championships
1958 Milan–San Remo,1959 Milan–San Remo
1958 Swedish Open Badminton Championships,1959 Swedish Open Badminton Championships
1959 Belgian Badminton Championships,1960 Belgian Badminton Championships
1959 Hokkaido gubernatorial election,1963 Hokkaido gubernatorial election
1959 Icelandic Badminton Championships,1960 Icelandic Badminton Championships
1960 Belgian Badminton Championships,1961 Belgian Badminton Championships
1960 Icelandic Badminton Championships,1961 Icelandic Badminton Championships
1961 Belgian Badminton Championships,1962 Belgian Badminton Championships
1961 Icelandic Badminton Championships,1962 Icelandic Badminton Championships
1962 Belgian Badminton Championships,1963 Belgian Badminton Championships
1962 European Athletics Championships,1966 European Athletics Championships
