Subject,Object
'Night Fishing Is Good' Tour 2008 in Sapporo,Night Fishing
04092001,The Thing Which Solomon Overlooked
1,additive identity
10th Chess Olympiad,9th Chess Olympiad
1120s,1110s
1159,1158
1201,1200
12th century,11th century
14th Chess Olympiad,13th Chess Olympiad
1796 United States presidential election,1792 United States presidential election
1800 United States presidential election,1796 United States presidential election
1804 United States presidential election,1800 United States presidential election
1808 United States presidential election,1804 United States presidential election
1812 United States presidential election,1808 United States presidential election
1873 FA Cup Final,1872 FA Cup Final
1884,1883
1896 United States presidential election in Arkansas,1892 United States presidential election in Arkansas
1898 World Allround Speed Skating Championships for men,1897 World Allround Speed Skating Championships for men
1900 World Allround Speed Skating Championships for men,1899 World Allround Speed Skating Championships for men
1901 FA Cup Final,1900 FA Cup Final
1907 Giro del Piemonte,1906 Giro del Piemonte
1909 European Rowing Championships,1908 European Rowing Championships
1909 FA Cup Final,1908 FA Cup Final
1910 Giro del Piemonte,1908 Giro del Piemonte
1911 Giro del Piemonte,1910 Giro del Piemonte
1911 Swedish general election,1908 Swedish general election
1912 Giro del Piemonte,1911 Giro del Piemonte
1913 Giro del Piemonte,1912 Giro del Piemonte
1914 Giro del Piemonte,1913 Giro del Piemonte
1914 World Allround Speed Skating Championships for men,1913 World Allround Speed Skating Championships for men
1915 Giro del Piemonte,1914 Giro del Piemonte
1916 Giro del Piemonte,1915 Giro del Piemonte
1917 Giro del Piemonte,1916 Giro del Piemonte
1918 Giro del Piemonte,1917 Giro del Piemonte
1926 European Rowing Championships,1925 European Rowing Championships
1927 European Rowing Championships,1926 European Rowing Championships
1927 Irish Open Badminton Championships,1926 Irish Open Badminton Championships
1927 World All-Round Speed Skating Championships for men,1926 World All-Round Speed Skating Championships for Men
1930 European Rowing Championships,1929 european rowing championships
1931 European Rowing Championships,1930 european rowing championships
1939 World All-Round Speed Skating Championships for Men,1938 World All-Round Speed Skating Championships for Men
1940 United States presidential election,1936 United States presidential election
1944,1943
1945 Danish Folketing election,1943 Danish Folketing election
1947,1946
1947 Danish Folketing election,1945 Danish Folketing election
1947 World All-Round Speed Skating Championships for Men,1939 World All-Round Speed Skating Championships for Men
1948,1947
1949 Paris–Brussels,1948 Paris–Brussels
1950 Danish Folketing election,1947 Danish Folketing election
1950 Paris–Brussels,1949 Paris–Brussels
1951,1950
1951 Paris–Brussels,1950 Paris–Brussels
1952,1951
1952 FA Cup Final,1951 FA Cup Final
1952 Paris–Brussels,1951 Paris–Brussels
1953 Danish Folketing election,1950 Danish Folketing election
1953 Danish general election,1953 Danish Folketing election
1953 European Rowing Championships,1951 european rowing championships
1954 European Rowing Championships,1953 european rowing championships
1954 Prueba Villafranca de Ordizia,1953 Prueba Villafranca de Ordizia
1955 Prueba Villafranca de Ordizia,1954 Prueba Villafranca de Ordizia
1956,1955
1956 European Rowing Championships,1955 European Rowing Championships
1956 Prueba Villafranca de Ordizia,1955 Prueba Villafranca de Ordizia
1957 FA Cup Final,1956 FA Cup Final
1957 Prueba Villafranca de Ordizia,1956 Prueba Villafranca de Ordizia
1957 World All-Round Speed Skating Championships for Men,1956 World All-Round Speed Skating Championships for Men
1958 Belgian Badminton Championships,1957 Belgian Badminton Championships
1959 Belgian Badminton Championships,1958 Belgian Badminton Championships
1959 Scottish Open Badminton Championships,1958 Scottish Open Badminton Championships
1960 Belgian Badminton Championships,1959 Belgian Badminton Championships
1960 Danish general election,1957 Danish general election
1960 Scottish Open Badminton Championships,1959 Scottish Open Badminton Championships
1961 Belgian Badminton Championships,1960 Belgian Badminton Championships
1961 Scottish Open Badminton Championships,1960 Scottish Open Badminton Championships
1961 World All-Round Speed Skating Championships for Men,1960 World All-Round Speed Skating Championships for Men
1962 Belgian Badminton Championships,1961 Belgian Badminton Championships
1962 European Athletics Championships,1958 European Athletics Championships
1962 European Rowing Championships,1961 European Rowing Championships
1962 FA Cup Final,1961 FA Cup Final
1962 Malaysia Open Badminton Championships,1961 Malaysia Open Badminton Championships
1962 US Open Badminton Championships,1961 US Open Badminton Championships
1962–1966,Let It Be
1963 Belgian Badminton Championships,1962 Belgian Badminton Championships
1964 Belgian Badminton Championships,1963 Belgian Badminton Championships
1964 Danish general election,1960 Danish general election
1964 European Rowing Championships,1963 European Rowing Championships
1964 Scottish Open Badminton Championships,1963 Scottish Open Badminton Championships
1965 Belgian Badminton Championships,1964 Belgian Badminton Championships
1965 Scottish Open Badminton Championships,1964 Scottish Open Badminton Championships
1966 Belgian Badminton Championships,1965 Belgian Badminton Championships
1966 Danish general election,1964 Danish general election
1966 FIFA World Cup Final,1962 FIFA World Cup Final
1966 Scottish Open Badminton Championships,1965 Scottish Open Badminton Championships
1967 Belgian Badminton Championships,1966 Belgian Badminton Championships
1967 Scottish Open Badminton Championships,1966 Scottish Open Badminton Championships
1967 World All-Round Speed Skating Championships for Men,1966 World All-Round Speed Skating Championships for Men
1968 Belgian Badminton Championships,1967 Belgian Badminton Championships
1968 Irish Open Badminton Championships,1967 Irish Open Badminton Championships
1968 Scottish Open Badminton Championships,1967 Scottish Open Badminton Championships
1968 Welsh International Badminton Championships,1967 Welsh International Badminton Championships
1968 World All-Round Speed Skating Championships for Men,1967 World All-Round Speed Skating Championships for Men
1969 European Athletics Championships,1966 European Athletics Championships
1969 German Open Badminton Championships,1968 German Open Badminton Championships
1969 Scottish Open Badminton Championships,1968 Scottish Open Badminton Championships
1969 Welsh International Badminton Championships,1968 Welsh International Badminton Championships
1970 FA Cup Final,1969 FA Cup Final
1971 Danish general election,1968 Danish general election
1971 European Athletics Championships,1969 European Athletics Championships
