Subject,Object
"(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA",Homo sapiens
"(E)-2,3-didehydropristanoyl-CoA",Homo sapiens
3-hydroxydocosanoyl-CoA,Homo sapiens
3-hydroxyicosanoyl-CoA,Homo sapiens
3-hydroxytetracosanoyl-CoA,Homo sapiens
3-oxodocosanoyl-CoA,Homo sapiens
3-oxoicosanoyl-CoA,Homo sapiens
3-oxotetracosanoyl-CoA,Homo sapiens
30S ribosomal protein S7 Rv0683,Mycobacterium tuberculosis H37Rv
50S ribosomal protein L1 Rv0641,Mycobacterium tuberculosis H37Rv
antibacterial peptide LL-37,Homo sapiens
cation transporter ATPase J Rv3743c,Mycobacterium tuberculosis H37Rv
CDKN2A,homo sapiens
chaperone protein DnaJ Rv2373c,Mycobacterium tuberculosis H37Rv
CLPTM1L,homo sapiens
ghrelin,Homo sapiens
phosphoglycerate kinase Rv1437,Mycobacterium tuberculosis H37Rv
potassium-transporting ATPase subunit B Rv1030,Mycobacterium tuberculosis H37Rv
thioredoxin reductase Rv3913,Mycobacterium tuberculosis H37Rv
UDP-N-acetylglucosamine--N-acetylmuramyl-,Mycobacterium tuberculosis H37Rv
urease accessory protein UreF Rv1851,Mycobacterium tuberculosis H37Rv
