Subject,Object
1st Ukrainian Front,Nikolai Vatutin
2nd Ukrainian Front,Ivan Konev
Adventure Line Productions,Jacques Antoine
Advisory Council for the National Transition,generalitat
Altes Museum,frederick william iii
Arutz Sheva,Zalman Baruch Melamed
Association for the Taxation of Financial Transactions and for Citizens' Action,bernard cassen
Association for the Taxation of Financial Transactions and for Citizens' Action,ignacio ramonet
Audi,august horch
Basilica of Saint Anthony of Padua,conventual franciscans
Blender Foundation,ton roosendaal
Boston,john winthrop
Bryansk Front,Stavka
Bund für Umwelt und Naturschutz Deutschland,Bernhard Grzimek
Bund für Umwelt und Naturschutz Deutschland,bodo manstein
Bund für Umwelt und Naturschutz Deutschland,enoch zu guttenberg
Bund für Umwelt und Naturschutz Deutschland,gerhard thielcke
Bund für Umwelt und Naturschutz Deutschland,herbert gruhl
Bund für Umwelt und Naturschutz Deutschland,horst stern
Bund für Umwelt und Naturschutz Deutschland,hubert weiger
Bund für Umwelt und Naturschutz Deutschland,hubert weinzierl
Carnival Films,Brian Eastman
Carpentries,Greg Wilson
CBS Films,les moonves
Cornell University,a. d. white
Deutsche Kinemathek,gerhard lamprecht
Doubravská hora,Ústí nad Labem Region
Drummondville,Frederick Heriot
Escola de Mitjans Audiovisuals de Barcelona,Josep Serra i Estruch
Faculdade Cásper Líbero,cásper líbero
Fedotov Test Pilot School,Mikhail Mikhaylovich Gromov
Fightmag,Stephane Cabrera
Institut industriel du Nord,adolphe matrot
Institut industriel du Nord,charles frederic kuhlmann
Institut industriel du Nord,conseil departemental du nord
Institut industriel du Nord,henri masquelez
Institut industriel du Nord,lile
KEDGE Business School,bem management school
KEDGE Business School,euromed management – school of management and business
La Paz,alonso de mendoza
Longueuil,Charles le Moyne de Longueuil et de Châteauguay
Lévis,Joseph-David Déziel
Microsoft,bill gates
Microsoft,paul allen
Montreal,Jeanne Mance
Montreal,"Paul de Chomedey, Sieur de Maisonneuve"
Nintendo,fusajiro yamauchi
North Caucasian Front,Stavka
Northrop Grumman,Leroy Grumman
Orchestre de la Suisse Romande,ernest alexandre ansermet
Orchestre de la Suisse Romande,paul lachenal
Pro Ecclesia et Pontifice,gioacchino vincenzo pecci
Quebec City,Samuel de Champlain
Rimouski,René Lepage de Sainte-Claire
Rome,remus
Rome,romulus
Rouyn-Noranda,Edmond Henry Horne
Sainte-Thérèse,Louis Marteau
Sherbrooke,Gilbert Hyatt
Siemens,ernst werner siemens
Siemens,Ernst Werner von Siemens
Sony,akio morita
Sony,ibuka masaru
Soviet Union,communist ukraine
Studio Bagel,Lorenzo Benedetti
Tandem Productions,"alan david ""bud"" yorkin"
Tandem Productions,Bud Yorkin
Tandem Productions,norman lear
Telepizza,leopoldo fernández pujals
The New York Times,George Jones
The New York Times,Henry Jarvis Raymond
Transbaikal Front,Stavka
Trois-Rivières,laviolette
Trois-Rivières,Sieur de Laviolette
Tůně u Špačků,Ministry of Culture
UNIT Factory,Vasyl Khmelnytsky
United States Department of Education,39th president of the united states
United States Environmental Protection Agency,Richard Nixon
Valletta,jean de valette
Volkhov Front,Kirill Meretskov
Volkswagen Group,german labor front
Wikidata,denny vrandecic
Wikidata,markus kroetzsch
Říp Mountain,Ústí nad Labem Region
