Subject,Object
Apokolips,dc
Ares,DC Universe
Argelius II,Star Trek multiverse
Axanar,Star Trek multiverse
Azelf,Pokémon universe
Barry Allen,dc
Bisharp,Pokémon universe
Bronzong,Pokémon universe
Butch O'Really,Teenage Mutant Ninja Turtles universe
Cable,Marvel universe
Capella IV,Star Trek multiverse
Clyde,Teenage Mutant Ninja Turtles universe
Cyborg,DC Universe
Deneva,Star Trek multiverse
Devilance,dc
Devilance,DC Universe
Doctor Bedlam,dc
Doctor Bedlam,DC Universe
Durant,Pokémon universe
Escavalier,Pokémon universe
Eternals,Marvel universe
Gallade,Pokémon universe
Girafarig,pokemon universe
Glorious Godfrey,dc
Glorious Godfrey,DC Universe
Granny Goodness,dc
Granny Goodness,DC Universe
Judicator Caste,StarCraft universe
Kalibak,dc
Kalibak,DC Universe
Kanto,DC Universe
Luke Skywalker,fictional universe of star wars
Madame Rouge,dc
Madame Rouge,DC Universe
Magnemite,pokemon universe
Magnemite,Pokémon universe
Magnezone,pokemon universe
Magnezone,Pokémon universe
Metallo,dc
Metang,Pokémon universe
Monroe Flem,Teenage Mutant Ninja Turtles universe
Mr. Freeze,dc
Patty Spivot,dc
Princess Leia,fictional universe of star wars
Princess Leia,star wars eu
Probopass,Pokémon universe
Professor Hamilton,DC Universe
Rebel Alliance,fictional universe of star wars
Rigel Ⅹ,Star Trek multiverse
Rodney,Teenage Mutant Ninja Turtles universe
Russian,Marvel universe
Sarabi,the lion king universe
Seymour Gutz,Teenage Mutant Ninja Turtles universe
Sigma Draconis VI,Star Trek multiverse
Slowpoke,Pokémon universe
Smoochum,Pokémon universe
Solrock,Pokémon universe
Starmie,Pokémon universe
Steppenwolf,DC Universe
Suicide Squad,dc
Superman,DC Universe
Terra Nova,Star Trek multiverse
Trigon,DC Universe
Virman Vundabar,dc
Virman Vundabar,DC Universe
Wonder Woman,DC Universe
Wynaut,Pokémon universe
Xatu,pokemon universe
Yoda,fictional universe of star wars
