Subject,Object
1949 Liège–Bastogne–Liège,Jacques Geus
1949 Liège–Bastogne–Liège,Maurice Meersman
1950 Paris-Tours,Jean Bogaerts
1950 Paris-Tours,Émile Idée
1951 Liège–Bastogne–Liège,alberic schotte
1951 Liège–Bastogne–Liège,alex close
1951 Liège–Bastogne–Liège,andre rosseel
1951 Liège–Bastogne–Liège,ernest sterckx
1951 Liège–Bastogne–Liège,franco franchi
1951 Liège–Bastogne–Liège,gino bartali
1951 Liège–Bastogne–Liège,hans brun
1951 Liège–Bastogne–Liège,jan engels
1951 Liège–Bastogne–Liège,Jean Brun
1951 Liège–Bastogne–Liège,jean robic
1951 Liège–Bastogne–Liège,lode anthonis
1951 Liège–Bastogne–Liège,louison bobet
1951 Liège–Bastogne–Liège,lucien mathys
1951 Liège–Bastogne–Liège,marcel ernzer
1951 Liège–Bastogne–Liège,marcel kint
1951 Liège–Bastogne–Liège,nello sforacchi
1951 Liège–Bastogne–Liège,noel lajoie
1951 Liège–Bastogne–Liège,pierre barbotin
1951 Liège–Bastogne–Liège,raymond impanis
1951 Liège–Bastogne–Liège,rené janssens
1951 Liège–Bastogne–Liège,rik evens
1951 Liège–Bastogne–Liège,stan ockers
1951 Liège–Bastogne–Liège,valeer ollivier
1952 Liège–Bastogne–Liège,gottfried weilenmann
1952 Liège–Bastogne–Liège,Henri Van Kerckhove
1952 Liège–Bastogne–Liège,jan zagers
1952 Liège–Bastogne–Liège,jean de gribaldy
1952 Liège–Bastogne–Liège,louison bobet
1952 Liège–Bastogne–Liège,maurice quentin
1952 Liège–Bastogne–Liège,roger decock
1952 Liège–Bastogne–Liège,wim van est
1952 Paris-Tours,André Darrigade
1952 Paris-Tours,Louison Bobet
1953 Liège–Bastogne–Liège,Jan Storms
1953 Liège–Bastogne–Liège,Raoul Rémy
1953 Liège–Bastogne–Liège,Robert Vanderstockt
1953 Paris-Tours,Amand Audaire
1953 Paris-Tours,Jan De Valck
1953 Paris-Tours,Pierre Molinéris
1954 Liège–Bastogne–Liège,Henri Van Kerckhove
1954 Liège–Bastogne–Liège,Raoul Rémy
1955 Paris-Tours,Jozef Sneyers
1955 Paris-Tours,Martin Van Geneugden
1956 Paris-Tours,Albert Dolhats
1956 Paris-Tours,Henri Denys
1958 Milan–San Remo,alfons van den brande
1958 Milan–San Remo,alfred de bruyne
1958 Milan–San Remo,angelo conterno
1958 Milan–San Remo,gilbert bauvin
1958 Milan–San Remo,giorgio albani
1958 Milan–San Remo,pierino baffi
1969 Tirreno–Adriatico,aldo moser
1969 Tirreno–Adriatico,arturo pecchielan
1969 Tirreno–Adriatico,ernesto donghi
1969 Tirreno–Adriatico,franco mori
1969 Tirreno–Adriatico,italo zilioli
1969 Tirreno–Adriatico,luigi sgarbozza
1969 Tirreno–Adriatico,roberto ballini
1972 Tirreno–Adriatico,antoine houbrechts
1972 Tirreno–Adriatico,davide boifava
