Subject,Object
4TEEN,Romance novels
5.0,contemporary r&b
5.0,pop
60 Minutes,documentary television
AKB48,J-pop
Al Seckel: Visual illusions that show how we,educational film
Alien Autopsy,comedy film
American Hustle,crime film
American Hustle,drama
Angerme,J-pop
Aria the Scarlet Ammo,novel
Arms of Ailmer de Valence,religious art
Arms of De Grey of Ruthin,religious art
"Arms of De Quincy, Earls of Winchester",religious art
Arms of the Astley family,religious art
Arms of the Harrington family,religious art
Arms of the Hastings family,religious art
Arms of the Woodville family,religious art
Babymetal,pop music
Back in Time,science
Bagito,teen drama
Berryz Kobo,J-pop
Bert och bacillerna,children's novel
Bert och Boysen,children's novel
Bert och brorsorna,children's novel
Berts bekymmer,children's novel
Berts bekännelser,children's novel
Berts bravader,children's novel
Berts bryderier,children's novel
Berts dagbok,children's novel
Berts första betraktelser,children's novel
Berts vidare betraktelser,children's novel
Bill Gross: A solar energy system that tracks the sun,educational film
BZFlag,doom clone
call boy,romance novel
Capitoline Wolf,public art
Captain America: The Winter Soldier,action
Captain America: The Winter Soldier,adventure
Captain America: The Winter Soldier,sci fi film
Captain America: The Winter Soldier,superhero film
Cars 3,adventure
Cars 3,fantasy film
Chicken Run,children's film
Chicken Run,fantasy film
Chris Anderson: Technology's long tail,educational film
Christ flanked by two thieves,religious art
Cinderella,akụkọ ifo
Civil Courage,drama film
Civil Service Rifles War Memorial,public art
"Clarinet Concerto No. 1 in F Minor, Op. 73: I. Allegro",concerto
"Clarinet Concerto No. 1 in F Minor, Op. 73: II. Adagio ma non troppo",concerto
"Clarinet Concerto No. 1 in F Minor, Op. 73: III. Rondo. Allegretto",concerto
Closed Mondays,fantasy film
Crucifix,religious painting
Crucifix no. 434,religious painting
Crucifix with stories of the Passion and Redemption,religious painting
Cute,J-pop
D.I.C.E.,mecha
De Grey Hours folio 13r,religious art
Dead Island: Definitive Edition,survival horror
December- slaughtering a pig; Capricorn,religious art
Der Sommer der Gaukler,comedy film
Der Sommer der Gaukler,historical film
Destination Moon,adventure comic
Destination Moon,science fiction comic
Dinner for One,television comedy
Don Norman: 3 ways good design makes you happy,educational film
Dream Dad,comedic drama
Eddie Murphy Raw,documentary film
Embroidered Tondo from an Altar Frontal: The Coronation of the Virgin,religious art
Epistle of James,epistle
Epistle to the Colossians,epistle
Epistle to the Galatians,epistle
Essential Mixes,pop music
Eve Ensler: Happiness in body and soul,educational film
"Eve Ensler: Suddenly, my body",educational film
Explorers on the Moon,adventure comic
Explorers on the Moon,science fiction comic
Family Guy: Live in Vegas,jas
Family Guy: Live in Vegas,jazz
February - pruning trees; Pisces,religious art
First Epistle of John,epistle
First Epistle of Peter,epistle
First Epistle to the Thessalonians,epistle
First Epistle to Timothy,epistle
Flushed Away,adventure
Flushed Away,comedic drama
Flushed Away,comedy film
Flushed Away,drama
"Fragmentary Icon Panel, Christ in Glory",Christian art
Frosty the Snowman,fantasy film
Golan Levin: Software,educational film
Grave Decisions,comedy film
Greatest Remix Hits 1,pop music
Gregory Stock: To upgrade is human,educational film
Hanging with Christian Images,Christian art
Hello! Project,J-pop
Hinatazaka46,J-pop
Hofstede de Groot catalog raisonné volume 3,art history
Hofstede de Groot catalog raisonné volume 4,art history
Hofstede de Groot catalog raisonné volume 5,art history
Hofstede de Groot catalog raisonné volume 6,art history
Hofstede de Groot catalog raisonné volume 7,art history
Hofstede de Groot catalog raisonné volume 8,art history
How to Train Your Dragon 2,action
How to Train Your Dragon 2,adventure
How to Train Your Dragon 2,fantasy film
Icon of the Virgin and Child,Christian art
In Blue,alt rock
In Blue,celtic music
In Blue,folk rock
In Blue,pop rock
It Might Be Time,art pop
"Jennifer Lin: Improvising on piano, aged 14",educational film
Joan Halifax: Compassion and the true meaning of empathy,educational film
Jul i Svingen,Nordic Christmas calendar
Jul i Valhal,Nordic Christmas calendar
Justice League – Original Motion Picture Soundtrack,stage and screen
Kevin Hart: Laugh at My Pain,documentary film
