Subject,Object
Antarctica,antarctica geography
Argentina,argentina geography
Austria,austria geography
Austria,geography of Austria
Bangladesh,geography of Bangladesh
Bolivia,geography of Bolivia
Cameroon,geography of Cameroon
Central African Republic,geography of the Central African Republic
Chad,chad geography
Chad,geography of Chad
Chile,geography of Chile
Czech Republic,geography of the Czech Republic
Ethiopia,geography of Ethiopia
Ivory Coast,geography of Ivory Coast
Japan,geography (japan)
Kazakhstan,geography of Kazakhstan
Lesotho,geography of lesotho
Mongolia,geography of Mongolia
Montenegro,geography of montenegro
Paraguay,geography of Paraguay
Slovakia,geography of Slovakia
Turkmenistan,geography of turkmenistan
Uzbekistan,geography of Uzbekistan
Zambia,geography of Zambia
