Subject,Object
actinium-215,0.17
actinium-216,440.0
actinium-217,69.0
actinium-218,1.08
antimony-107,4.0
antimony-110,23.0
antimony-118,3.6
antimony-122,2.7238
astatine-216,0.3
astatine-217,32.3
astatine-218,1.5
astatine-219,56.0
astatine-220,3.71
astatine-221,2.3
astatine-222,54.0
astatine-223,50.0
bismuth-195,183.0
bismuth-196,308.0
bismuth-197,9.33
bismuth-201,103.0
bismuth-202,1.71
bismuth-203,11.76
cerium-124,6.0
cerium-125,9.7
cerium-137,9.0
cerium-142,5e+16
francium-221,286.1
francium-222,14.2
francium-224,3.33
francium-225,3.95
francium-226,49.0
francium-227,2.47
francium-228,38.0
francium-229,50.2
francium-231,17.6
lead-180,4.2
lead-181,36.0
lead-182,55.0
lead-183,535.0
lead-196,37.0
lead-197,8.1
lead-198,2.4
lead-199,90.0
lead-200,21.5
lead-201,9.33
osmium-177,3.0
osmium-178,5.0
osmium-179,6.5
osmium-180,21.5
osmium-181,105.0
osmium-182,21.84
osmium-183,13.0
osmium-184,56000000000000.0
osmium-185,93.6
palladium-107,6500000.0
palladium-109,13.7012
palladium-114,2.42
palladium-115,25.0
palladium-116,11.8
palladium-117,4.3
palladium-118,1.9
palladium-119,0.92
palladium-120,0.5
palladium-121,285.0
palladium-122,175.0
palladium-123,174.0
palladium-124,38.0
palladium-125,230.0
palladium-126,230.0
palladium-128,394.0
palladium-91,1.0
palladium-92,0.7
potassium-34,25.0
potassium-35,178.0
potassium-36,342.0
potassium-37,1.226
potassium-38,7.636
potassium-40,1248000000.0
potassium-42,12.321
potassium-43,22.3
potassium-44,22.13
potassium-45,17.81
potassium-46,105.0
praseodymium-129,30.0
praseodymium-131,1.51
praseodymium-133,6.5
praseodymium-144,17.28
protactinium-222,2.9
protactinium-223,5.1
protactinium-224,0.85
protactinium-225,1.7
protactinium-226,1.8
protactinium-227,38.3
protactinium-228,22.4
protactinium-229,1.5
protactinium-230,17.4
protactinium-231,32760.0
protactinium-232,1.32
protactinium-233,26.975
protactinium-234,6.7
radon-210,2.4
radon-211,14.6
radon-212,23.9
radon-213,19.5
