Subject,Object
Ashmolean Museum,accessible toilet
Bowie Mill Park,football pitch
Church Inn,accommodation
Forest Glen station,car lot
Georgian Forest Park,bench
Glenfield Park,tennis court
Hailes Abbey,accessible toilet
Kirkstall Abbey,accessible toilet
Lincoln Castle,accessible toilet
Lord Nelson Inn,beer garden
Parsons Green tube station,atm
Parsons Green tube station,pay phone
Parsons Green tube station,wi-fi
Quebec Terrace Park,playground
Saddlebrook Park,pitch
Strathmore Park,tennis court
Swingate Inn,accommodation
The Romany Inn,accommodation
The Royal Oak Inn,accommodation
The Woolpack Inn,beer garden
Tilbury Fort,accessible toilet
Tintern Abbey,accessible toilet
Tintern Abbey,tintern abbey public conveniences
Warkworth Castle,accessible toilet
