Subject,Object
1994 Winter Olympics,olympic sport event
1995 UCI Road World Championships,race
2006 UCI Road World Championships,race
2011 UCI Road World Championships,race
2012 UCI Road World Championships,race
2018 Winter Olympics,discipline
2018 Winter Olympics,olympic sport event
4 oaks in Bažantnice,tree
AMiBA,telescope mount
Anholt Offshore Wind Farm,offshore wind turbine
Armenian Catholic Archeparchy of Aleppo,parish
Big Ben,bell
Chaldean Catholic Archeparchy of Bagdad,priest
Chaldean Catholic Archeparchy of Kirkuk,priest
Chaldean Catholic Archeparchy of Mosul,priest
Comarcal Council of Baix Camp,comarcal councillor of Baix Camp
Comarcal Council of Baix Penedès,comarcal councillor of Baix Penedès
Comarcal Council of Priorat,comarcal councillor of Priorat
Comarcal Council of Ribera d'Ebre,comarcal councillor of Ribera d'Ebre
Four Lane Ends Interchange,ticket machine
Greater Gabbard wind farm,offshore wind turbine
Group of three oaks,tree
Hatundere railway station,side platform
Koşu railway station,side platform
Libya,district of libya
London Array,offshore wind turbine
Mavişehir railway station,side platform
Menemen railway station,side platform
Naldöken railway station,side platform
Nordsee Ost offshore wind farm,offshore wind turbine
Památné douglasky u Zátiší,tree
Památné jasany u Trnavy,tree
Skupina stromů u tvrze,tree
Skupina šesti dubů,tree
Spain,municipality of spain
Veja Mate Offshore Wind Farm,offshore wind turbine
