Subject,Object
10th arrondissement of Paris,Alexandra Cordebard
11th arrondissement of Paris,François Vauglin
1st arrondissement of Paris,Jean-François Legaret
3rd arrondissement of Paris,Pierre Aidenbaum
4th arrondissement of Paris,Christophe Girard
5th arrondissement of Paris,Florence Berthout
6th arrondissement of Paris,Jean-Pierre Lecoq
Argentina,javier gerardo milei
Austria,Sebastian Kurz
Blansko,Jiří Crha
Bolivia,Evo Morales
Brasschaat,jan jambon
Breisgau-Hochschwarzwald,Dorothea Störr-Ritter
Central African Republic,Firmin Ngrébada
Chad,Albert Pahimi Padacké
Chamberí,jaime gonzález taboada
Court-Saint-Étienne,michael goblet d'alviella
Czech Republic,Andrej Babiš
Drummondville,alexandre cusson
Drummondville,francine ruest-jutras
Emden,Bernd Bornemann
Emmendingen,Hanno Hurth
Ethiopia,Abiy Ahmed
Friuli–Venezia Giulia,Massimiliano Fedriga
Goiás,ronaldo caiado
Greenland,aleqa hammond
Greenland,hans enoksen
Greenland,jakob edvard kuupik kleist
Greenland,jens frederik nielsen
Greenland,jonathan motzfeldt
Greenland,kim kielsen
Greenland,lars emil johansen
Greenland,múte b. egede
Israel,ben-gurion
Italy,adone alvaro ugo natale camillo zoli
Italy,aldo moro
Italy,amintore fanfani
Italy,arnaldo forlani
Italy,benedetto craxi
Italy,berlusconi
Italy,ciriaco de mita
Italy,emilio colombo
Italy,enrico letta
Italy,fernando tambroni
Italy,giorgia de bastian
Italy,giovanni giuseppe goria
Italy,giovanni spadolini
Italy,giuliano amato
Italy,giulio andreotti
Italy,giuseppe conte
Italy,giuseppe pella
Italy,he matteo renzi
Italy,lamberto dini
Italy,mariano rumor
Italy,mario draghi
Italy,mario monti
Italy,mario scelba
Italy,massimo d'alema
Italy,paolo gentiloni
Italy,romano antonio prodi
Jablonec nad Nisou,Jiří Čeřovský
Karlovy Vary,Andrea Pfeffer Ferklová
Kazakhstan,alihan ashanuly smaiylov
Kazakhstan,Askar Mamin
Kazakhstan,askar uzakbaiuly mamin
Kazakhstan,baqytzhan saghyntaev
Kazakhstan,karim kazhimkanovich massimov
Konstanz,Frank Hämmerle
Liguria,Giovanni Toti
Litoměřice,ladislav chlupac
Litoměřice,Ladislav Chlupáč
Litoměřice,radek löwy
London,alexander boris de pfeffel johnson
London,ken livingstone
London,sadiq khan
Lörrach,Marion Dammann
Madrid,josé luis martínez-almeida
Marseille,Jean-Claude Gaudin
Mladá Boleslav,Raduan Nwelati
Molise,Donato Toma
Mongolia,Khurelsukh Ukhnaa
Montenegro,dritan abazovic
Montenegro,duško marković
Montenegro,igor luksic
Montenegro,milojko spajić
Montenegro,zdravko krivokapić
Montenegro,željko šturanović
Náchod,Jan Birke
Offenbach am Main,felix schwenke
Offenbach am Main,gerhard grandke
Offenbach am Main,horst schneider
Olomouc,Antonín Staněk
Ostend,Johan Vande Lanotte
Ostrava,Tomáš Macura
Ourense,agustín fernández gallego
Ourense,gonzalo pérez jácome
Plzeň,Martin Zrzavecký
Prachatice,Martin Malý
Rotterdam,c.j. schouten
Sermersooq,avaaraq s. olsen
Slovakia,Peter Pellegrini
Subprefecture of Campo Limpo,Claudete Pereira Da Silva
Subprefecture of Capela do Socorro,João Batista de Santiago
Subprefecture of Cidade Ademar,Júlio César Carreiro
Subprefecture of Ermelino Matarazzo,Arhtur Xavier
Subprefecture of Itaquera,jamil yatim
Subprefecture of Jabaquara,Maria de Fátima Marques Fernandes
Subprefecture of M'Boi Mirim,Rita de Cassia Correa Madureira
Subprefecture of Parelheiros,Adailson de Oliveira
Subprefecture of Penha,Thiago Della Volpi
Trentino-South Tyrol,Ugo Rossi
Trutnov,Ivan Adamec
Trutnov,michal rosa
Trutnov,stefan kopper
Třebíč,Pavel Pacal
Uganda,maama nabbanja
Uherské Hradiště,johann protzkar
Uherské Hradiště,Stanislav Blaha
United Kingdom,alec douglas-home
United Kingdom,alexander boris de pfeffel johnson
United Kingdom,edward heath
United Kingdom,harold wilson
Uzbekistan,Abdulla Nigmatovich Aripov
Waldshut,Martin Kistler
Zambia,Edgar Lungu
Žďár nad Sázavou,Martin Mrkos
