Subject,Object
Botswana,Mokgweetsi Masisi
Burkina Faso,Roch Marc Christian Kaboré
Central African Republic,Faustin-Archange Touadéra
Ghana,akufo-addo
Italy,alcide amedeo francesco de gasperi
Italy,antonio segni
Italy,carlo azeglio ciampi
Italy,enrico de nicola
Italy,francesco cossiga
Italy,giorgio napolitano
Italy,giovanni gronchi
Italy,giovanni leone
Italy,giuseppe saragat
Italy,luigi einaudi
Italy,oscar luigi scalfaro
Italy,sandro pertini
Italy,sergio mattarella
Kazakhstan,kassym-jomart kemeluly tokayev
Kazakhstan,nursultan a. nazarbayev
Lesotho,Letsie III of Lesotho
Malawi,Peter Mutharika
Montenegro,filip vujanovic
Montenegro,jakov milatovic
Montenegro,milo đukanović
Montenegro,momir bulatović
Niger,Mahamadou Issoufou
Paraguay,president peña
Romania,alexander joan cuza
Romania,carol
Romania,carol ii
Romania,ceaușescu
Romania,chivu stoica
Romania,constantin ion parhon
Romania,emil constantinescu
Romania,ferdinand i
Romania,gheorghe gheorghiu-dej
Romania,ilie bolojan
Romania,ion gheorghe iosif maurer
Romania,ion iliescu
Romania,king michael i
Romania,klaus iohannis
Romania,nicușor dan
Romania,petru groza
Romania,traian băsescu
Socialist Republic of Romania,president of romania
Socialist Republic of Romania,state council of romania
Zambia,bally
Zambia,edgar chagwa lungu
Zambia,frederick chiluba
Zambia,guy lindsay scott
Zambia,kenneth david buchizya kaunda
Zambia,levy mwanawasa
Zambia,michael charles chilufya sata
Zambia,rupiah banda
Zimbabwe,Emmerson Mnangagwa
