Subject,Object
Aarhus University,aarhus
Adventure Line Productions,Paris
AEGEE-Tallinn,Tallinn
AEGEE-Tartu,Tartu
AG Weser,bremen
AG2R La Mondiale,city of light
Allgemeiner Deutscher Fahrrad-Club,berlin
American Samoa House of Representatives,Pago Pago
Argentine National Congress,palace of the argentine national congress
Aris Thessalonikis B.C.,Municipality of Thessaloniki
Armenian Catholic Archeparchy of Aleppo,Aleppo
Artisan Entertainment,america
Artisan Entertainment,santa monica
Artisan Entertainment,United States of America
ASC Pty Ltd,Osborne
ASL Airlines Belgium,liège
Association for the Taxation of Financial Transactions and for Citizens' Action,city of light
Athinaikos women's basketball,Vyronas
Atlantic Entertainment Group,United States of America
Atlético Madrid Femenino,Madrid
Audi,ingolstadt
Autonomy Liberty Participation Ecology,Aosta
BadLand Games,Madrid
Baltrum-Linie,Baltrum
Beijing Mass Transit Railway Operation Corporation Limited,xicheng
Berufsverband Information Bibliothek e. V.,Reutlingen
Blansko,Blansko
Blender Foundation,a'dam
BNP Paribas,city of light
Brazilian Navy,brasília
Bund für Umwelt und Naturschutz Deutschland,Berlin
Bundestag of Germany,Reichstag building
Bundesverband Deutscher Gartenfreunde,Berlin
BURA,Santiago
C.S. Veritas,Utrecht
CA Brive,briva
CA Brive,Brive-la-Gaillarde
California Department of Corrections and Rehabilitation,Sacramento
Canadian Wildlife Service,city of ottawa
Carnival Films,London
CBS Films,city of angels
CBS Films,Los Angeles
Celtic L.F.C.,Glasgow
Centre Union,athenae
Centro Federico García Lorca,Granada
Chaldean Catholic Archeparchy of Bagdad,Baghdad
Chaldean Catholic Archeparchy of Kirkuk,Kirkuk
Chaldean Catholic Archeparchy of Mosul,Mosul
Charlie Hebdo,city of light
Cinémathèque Française,parc de Bercy
Cinémathèque suisse,Lausanne
Citibank,big apple
Citigroup,big apple
Civil Will-Green Party,Ulaanbaatar
Columbia River Shipbuilding Company,Portland
Comarcal Council of Baix Camp,Reus
Comarcal Council of Baix Penedès,El Vendrell
Comarcal Council of Priorat,Falset
Comarcal Council of Ribera d'Ebre,Móra d'Ebre
Comisión Nacional de los Mercados y la Competencia,cnmc headquarters
Comisión Nacional de los Mercados y la Competencia,Palacio Fontagud
Communauté de communes de l'Est de la Somme,Ham
Communauté de communes de la Brie des Rivières et Châteaux,Le Châtelet-en-Brie
Communauté de communes de la Haute Ariège,Luzenac
Communauté de communes du Val Briard,la houssaye
Communauté de communes du Val Briard,La Houssaye-en-Brie
Communauté de communes interrégionale Aumale - Blangy-sur-Bresle,Blangy-sur-Bresle
Communauté de communes Isigny-Omaha Intercom,Le Molay-Littry
communauté de communes Loches Sud Touraine,Loches
Communauté de communes Terroir de Caux,Bacqueville-en-Caux
Communauté de communes Élan Limousin Avenir Nature,Ambazac
Connecticut Department of Correction,Wethersfield
Constitutional Court of Spain,headquarters of the constitutional court
Constitutional Court of Spain,palace of marques de grimaldi
Cornell University,Ithaca
Cosmonaut Games,Sant Cugat del Vallès
Costa Rican Football Federation,san jose
Danish Football Association,Brøndbyvester
Dargaud,city of light
DB Busverkehr Hessen,Gießen
Deportivo de La Coruña,a corunna
Deutsche AIDS-Hilfe e.V.,Berlin
Deutsche Apotheker- und Ärztebank,duesseldorf
Deutsche Gesellschaft für Internationale Zusammenarbeit,bonn
Deutsche Gesellschaft für Internationale Zusammenarbeit,eschborn
Deutsche Kinemathek,Berlin
Deutsche Krebsgesellschaft,Berlin
Deutsche Röntgengesellschaft,Berlin
Deutsches Institut für Menschenrechte,Berlin
Diena,riga
Diputación de Salamanca,Palacio de La Salina (Salamanca)
Diputación Provincial de Palencia,Palacio de la Diputación de Palencia
Diputación Provincial de Segovia,Segovia
Diputación Provincial de Teruel,Teruel
Diputación Provincial de Toledo,Edificio de la Diputación de Toledo
Dravo Corporation,Pittsburgh
Dáil Éireann,Leinster House
Earth Party,lisboa
Earth Party,Lisbon
Ecologist Greens,Athens
"Ecologist Party ""The Greens""",Lisbon
Elsevier,a'dam
EMI,augusta
EMI Records,g b
EnjoyUp Games,Barcelona
Estonian Students' Society,Tartu
FC Barcelona Futsal,b'na
Fendi,city of seven hills
Fendi,Rome
Florida Department of Corrections,Tallahassee
Frankfurter Volksbank,francfort
French Football Federation,city of light
French Football Federation,Paris
Friedrich Loeffler Institute,greifswald
Gazprombank,city of moscow
German Commission for UNESCO,bonn
German Democratic Party,berlin
German Federation of the Deaf,Berlin
German Football Association,Frankfurt am Main
German Immunology Society,Marburg
German People's Party,berlin
German Society for Plant Sciences,Berlin
Gesellschaft für Informatik,Berlin
Glock Software,Munich
Goa Shipyard Limited,Goa
Golf Club of Houston,lone star state
Golf Club of Houston,Texas
Government of Maryland,annapolis
Green Party,Dublin
Green Party,Oslo
Green Party of the United States,"Washington, D.C."
Greens of Serbia,Belgrade
Gromov Flight Research Institute,Zhukovsky
Gulliver Schools,Kendall
Götaverken,gothenburg
Happy Joe's,Bettendorf
Haute-Corrèze Communauté,Ussel
Henson Recording Studios,a & m records studio
Herforder SV Borussia Friedenstal,herford
Hezbollah,Beirut
Holberton School,San Francisco Bay Area
Home Ministry,Chiyoda-ku
House of Commons,Palace of Westminster
Hyundai Steel Red Angels WFC,Incheon
IESEG School of Management,Lille
IFC Films,New York City
Illinois Department of Corrections,calhoun
Illinois Department of Corrections,Springfield
Institución Príncipe de Viana,Pamplona
Institut industriel du Nord,cite scientifique
Institut industriel du Nord,rue du lombard
Institut industriel du Nord,rue jeanne-d'arc
Institut national de l'audiovisuel,Bry-sur-Marne
Institute of Paleobiology,PAS building at Twarda Street in Warsaw
Instituto Leonés de Cultura,León
Inter FS,torrejon de ardoz
Inter Milan,mailand
Italian Parliament,palazzo montecitorio
Itaú Unibanco,sao paulo
Jablonec nad Nisou,Jablonec nad Nisou
Karsten Golf Course,Tempe
KEDGE Business School,Bordeaux
KEDGE Business School,city of marseille
King Chulalongkorn Memorial Hospital,Bangkok
Komerční banka,city of prague
Kurdistan Workers' Party,iraqi kurdistan region
Kurdistan Workers' Party,Kurdistan Region
Kurdistan Workers' Party,silsilat jibāl qandīl
LaRosa's Pizzeria,Cincinnati
Latvian Green Party,Riga
Left-Green Movement,Reykjavík
Legislative Assembly of Amapá,Deputado Nelson Salomão Palace
Legislative Assembly of Espírito Santo,Domingos Martins Palace
Legislative Assembly of Maranhão,Manuel Beckman Palace
Legislative Assembly of Mato Grosso do Sul,Guaicurus Palace
Legislative Assembly of Minas Gerais,Inconfidência Palace
Legislative Assembly of Paraná,19 de Dezembro Palace
Legislative Assembly of Pernambuco,Joaquim Nabuco Palace
Legislative Assembly of Rio Grande do Sul,Farroupilha Palace
Legislative Assembly of Roraima,Antônio Martins Palace
Legislative Assembly of Santa Catarina,Barriga Verde Palace
Legislative Assembly of Sergipe,Governor João Alves Filho Palace
Legislative Assembly of Tocantins,Deputy João d'Abreu Palace
Legislative Chamber of Federal District,Democracy Palace
Leipzig University of Applied Science,Leipzig
Ligue de Football Professionnel,city of light
Linna Golf Club,Hämeenlinna
LSVD,Berlin
Lura IL,lura
Lura IL,"Lura, Norway"
Manga Entertainment,augusta
