Subject,Object
4 Gats,582.0
Albert Van Vlierberghe,160.0
Aleksandr Medved,190.0
Alexey Lutsenko,175.0
Anantanatha,150.0
Appliqué inv. 724,125.0
Appliqué inv. 9472,13.0
Appliqué inv. 9619,116.0
Ardalion Ignatyev,173.0
Attic black-figure votive plate,3.5
attic geometric Neck amphora,67.5
Aureliano Leite,0.65
Beyazıt Tower,85.0
Big Ben,96.0
Bisharp,160.0
Bradley his book,1068.0
Brian Austin Green,183.0
Buk lesní v Třebovicích,22.0
Buk červenolistý v Karviné,20.0
Cardiganshire: near Aberystwith,181.0
Carolina Ribeiro,0.52
Cesnola krater,114.9
Chodovský buk,18.0
Christian Knees,194.0
Christoph Pfingsten,179.0
Clive Allen,178.0
Cocorico,135.0
Corinna Halke,157.0
Crickhowel Castle,110.0
Crucifix,96.5
Crucifix no. 434,247.0
Crucifix with stories of the Passion and Redemption,277.0
Ctiborův dub,9.0
Cycles et Automobiles Legia,952.0
Cycles Perfecta,154.0
David Coulthard,183.0
Denny Vrandečić,1.75
Devich'i Kosy,31.7
Dezső Gyarmati,186.0
Diego Ulissi,175.0
Dimitar Makriev,188.0
Dimitri Poliakov,183.0
Dominique Rollin,188.0
Dorando Pietri,159.0
Drowzee,100.0
Drážní buk,22.0
Dub u Větrova,20.0
Durant,30.0
Dvořákův platan,23.0
"Eastern view of Wrexham church, from Mount street",310.0
Escavalier,100.0
Esch-sur-Sûre Dam,47.0
Evaldas Šiškevičius,183.0
Exeggutor,200.0
Fallingwater Cascades,100.0
Felipe Massa,166.0
Felix Großschartner,184.0
Ferrari F40,1124.0
Ferrari F50,1.12
Ferrari GTC4Lusso,1383.0
"Figure of Varaha, the Boar incarnation of Vishnu",64.8
Fulls de la vida,102.0
Galovački buk,25.0
Gateway Of Carnarvon Castle,104.0
Geordan Murphy,185.0
Girafarig,150.0
Glen Alpine Falls,73.0
Golden Gate Bridge,746.0
Helmut Recknagel,174.0
Hladový buk u Dětřichovce,32.0
Horses Amphora,88.0
Hypno,160.0
INSAT-1C,1.42
Iron Man,6.0833
Isle of Anglesea near the Paris mine,180.0
James Bruce Falls,840.0
Jasper Stuyven,186.0
Jilm habrolistý na Přemilově,30.0
José Augusto César Salgado,0.55
Juan José Lobato,173.0
Kaasův buk,32.0
"Kilgarren castle, Cardiganshire",158.0
Kylix by the Providence Painter,8.2
Kyoko Kirigiri,167.0
Lace sample inv. 851,7.0
Lewis Hamilton,174.0
Liliána Szilágyi,176.0
Llibre d'Horas,545.0
Luke Skywalker,172.0
Lužecký klen,20.0
Lípa v Brtníkách,25.0
Magnemite,30.0
Magnezone,120.0
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 50/15,109.1
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 50/19,109.1
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 50/25,109.1
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 50/3,109.1
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 50/4,109.1
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 50/5,109.1
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 51/14,109.1
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 51/21,109.1
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 51/22,109.1
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 52/3,109.1
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 65/2,109.1
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 65/6,109.1
Marianne Vos,168.0
Marilyn Monroe,165.0
Marilyn Monroe,166.0
Marilyn Monroe,65.5
Mario Abdo Benítez,1.8
Michał Kwiatkowski,176.0
Modern Art,525.0
Mona Lisa,77.0
Montmorency Falls,83.0
Montmorency Falls,85.0
Moselle Viaduct,136.0
Mourner-CA 295,18.5
Murchison Falls,43.0
Neck Amphora by Exekias,40.5
Neminatha,10.0
Neubrügg,6.0
Nico Rosberg,178.0
Nikolas Cruz,67.0
Odalisque with Slave,72.0
Oslí buk,29.0
Painted Cross,277.0
Parshvanatha,4.12
Paulina Falls,24.0
Platan javorolistý na Karlově náměstí,14.0
Platan javorolistý v zahradě Kinských,24.0
Platan u svaté Anny,34.0
"Pont Vell, Santa Eulària des Riu",8.75
Portinari Altarpiece,253.0
Princess Leia,1.5
Probopass,140.0
"Pylle Priory, Pembrokeshire",59.0
Qui-Gon Jinn,1.93
Rajah,785.0
Reichstag building,47.0
Romuald Klim,185.0
Rájovský javor,17.0
"S.W. view Milford town, Pembrokeshire",294.0
Sadový platan,20.0
Saint Isaac's Cathedral,101.5
Salon Pedal,1394.0
Scale model of a coal cargo ship under construction-MnM 2003.29.1,42.0
Scale model of Laurent Schiaffino-MnM 7 MM 63,37.0
Scale model of Loire-MnM 5 MM 9,97.0
Scale model of Louléa-MnM 7 MM 66,38.0
Scale model of Paraguay-MnM 7 MM 3,132.0
Scale model of Pascal-MnM 7 MM 25,34.0
Scale model of Sans Pareil-MnM 13 MG 1,230.0
Sentinel-1B,4.0
Silvan Dillier,183.0
Songezo Jim,176.0
Sonny Colbrelli,176.0
St. Francis in the Desert,124.4
Standing figure of Parvati,62.0
Statue of Adoniran Barbosa,0.6
Stefan van Dijk,183.0
"Stein, Pfadigrüebli",170.0
Sten Stensen,183.0
Stuart O'Grady,176.0
Tahquamenon Falls,15.0
Tepelský dub,24.0
Terracotta amphora,57.5
Terracotta aryballos signed by Nearchos,7.8
The Angelus,55.5
"The Annunciation, with Saint Emidius",207.0
The Daughters of Catulle Mendès,161.9
The Hedges Vishnu,93.0
The Menai Bridge,164.0
The Milkmaid,45.5
The vale of Llangollen,140.0
Throgs Neck Bridge,41.0
Tignes Dam,180.0
Tomas Pettersson,186.0
Tomasz Marczyński,180.0
Tomeškův dub,23.0
Vasupujya,210.0
Veliki slap,78.0
Venus of Urbino,119.0
Venus of Urbino,119.2
Vernal Fall,97.0
Verónica Boquete,1.62
Verónica Boquete,1.63
View near the Usk at Crickhowell,108.0
Vincenzo Nibali,181.0
Vladimir Putin,157.48
Vladimir Putin,170.0
Wynaut,60.0
Xatu,150.0
Yoda,0.66
Yuno Gasai,160.0
Židák u Rožďalovic,30.0
