Subject,Object
"23 Marywood Square, Lamp Standard",category B listed building
30th Street Station,listed on the national register of historic places
"35 Marywood Square, Lamp Standard",category B listed building
"7 Marywood Square, Lamp Standard",category B listed building
Abbaye Blanche,registered historic monument
"Aberdeen, Hazlehead Avenue, Hazelhead Park, K6 Telephone Kiosk",category B listed building
Acquaviva Cathedral,Italian national heritage
Adalaj Stepwell,Monument of National Importance
African Meeting House,contributing property
African Meeting House,listed on the national register of historic places
African Meeting House,National Historic Landmark
Agrasen ki Baoli,Monument of National Importance
Alconétar Bridge,Bien de Interés Cultural
Alcántara Bridge,Bien de Interés Cultural
Altes Museum,architectural heritage monument
Altes Museum,cultural heritage monument in berlin
Altes Museum,patrimonio de la humanidad
Americká 7,cultural monument of the Czech Republic
Amritavarshini Vav,State Protected Monument
Ancient Greek theatre of Aigeira,listed archaeological site in Greece
ancient Greek theatre of Pleuron,listed archaeological site in Greece
ancient Greek theatre of Sicyon,listed archaeological site in Greece
ancient theater of Calydon,listed archaeological site in Greece
Ancient theater of Chaeronea,listed archaeological site in Greece
Ancient theatre of Philippi,listed archaeological site in Greece
Anderson's Hostel,Grade II listed building
Annener Gußstahlwerk concentration camp,bodendenkmal
Ansitz Herzoghof Krems,Denkmalgeschütztes Objekt
Ansitz Sonnenburg,Denkmalgeschütztes Objekt
"Armenian Church, Gheorgheni",historic monument
Army Cottage with return verandah,listed on the Commonwealth Heritage List
Ashmolean Museum,grade 1 listed building
Ashwood School Gymnasium and Auditorium,listed on the national register of historic places
Ashwood School Gymnasium and Auditorium,place listed on the National Register of Historic Places
Atri Cathedral,Italian national heritage
Auckland War Memorial Museum,NZHPT Category I listing
Auschwitz I concentration camp,part of World Heritage Site
Bafing-Source Ramsar Site,Ramsar site
Bargate,grade 1 listed building
Bargate,sam
Bargate,scheduled monument
Barmoor Castle,Grade II* listed building or structure
Barn And Dovecot To Hammonds Farm,Grade II listed building
Basilica of Our Lady of the Pillar,Bien de Interés Cultural
Basilica of Saint Anthony of Padua,inscribed component
Baumschulenweg station,architectural heritage monument
Bayham Old Abbey,grade 1 listed building
Bayham Old Abbey,sam
Bayham Old Abbey,scheduled monument
Bazaar Haj Zaman,Iranian National Heritage
Bazaar of Kermanshah,Iranian National Heritage
Belfry of Béthune,monument selected by the Mission d'Identification du Patrimoine Immobilier en Péril (2019)
Belfry of Comines,part of World Heritage Site
Belfry of Rue,part of World Heritage Site
Belfry of Saint-Riquier,part of World Heritage Site
Belfry of Thuin,part of World Heritage Site
Belfry of Tielt,part of World Heritage Site
Belfry of Veurne,part of World Heritage Site
Bergwerk Käpfnach,class B Swiss cultural property of regional significance
Berlin Brandenburger Tor station,architectural heritage monument
Berlin Hackescher Markt station,architectural heritage monument
Bern,swiss heritage sites
Biblioteca Casanatense,Italian national heritage
Biblioteca di archeologia e storia dell'arte,Italian national heritage
Biblioteca Medicea Laurenziana,Italian national heritage
Biblioteca Nazionale Centrale di Roma,Italian national heritage
Biblioteca nazionale di Cosenza,Italian national heritage
Biblioteca nazionale Sagarriga Visconti-Volpi,Italian national heritage
Biblioteca nazionale Vittorio Emanuele III,Italian national heritage
Biblioteca Palatina di Parma,Italian national heritage
Biblioteca Riccardiana,Italian national heritage
Biel/Bienne,swiss heritage sites
Big Creek Bridge,place listed on the National Register of Historic Places
Bildstock und Wegestein Crostwitz Richtung Neudörfel,Kulturdenkmal
Bodorgan Hall,Grade II* listed building or structure
Borgholm Castle,monument in Fornminnesregistret
Botanická 4,cultural monument of the Czech Republic
Bourg-en-Bresse Cathedral,classified historical monument
Breitenstein Castle,Kulturdenkmal
Bridgewater Town Hall and Jail,place listed on the National Register of Historic Places
"Bristol Mill, Edinburgh Road",category B listed building
Bruderhaus,Kulturdenkmal
Brundby Stubmølle,monument on Kulturstyrelsen register
Buckton Castle,sam
Building 18010-18,Grade C listed building in Acre Israel
Building 18010-91,Grade C listed building in Acre Israel
Building 18011-122,Grade C listed building in Acre Israel
Building 18011-20,Grade B listed building in Acre Israel
Building 18011-85,Grade C listed building in Acre Israel
Building 18110-1,Grade A listed building in Acre Israel
"Buildings VB13, 15, 16 & 17",listed on the Commonwealth Heritage List
Bundeswehrkrankenhaus,Kulturdenkmal
Bunker Battery Den Hoorn,Rijksmonument
Burg Schönweer,Denkmalgeschütztes Objekt
Burnham Westgate Hall,Grade II* listed building or structure
"Bury Castle Camp, Brompton Regis",scheduled monument
Camden Post Office,commonwealth heritage list listing
Camden Post Office,listed on the Commonwealth Heritage List
Canterbury Post Office,listed on the Commonwealth Heritage List
Carbisdale Castle,category B listed building
Carmo Convent,National Monument of Portugal
Casa Pia and College of the Orphans of Saint Joachim,Heritage of Portuguese Influence
Cathedral of Corfinio,Italian national heritage
Cathedral of the Archangel,cultural heritage site in Russia
Chopinova 6,cultural monument of the Czech Republic
Church Inn,Grade II listed building
Church of Saint James the Greater,cultural monument of the Czech Republic
Church of Saint John the Baptist,cultural monument of the Czech Republic
Church of Saint Nicholas,cultural monument of the Czech Republic
Church of Saint Wenceslaus,part of national heritage site in the Czech Republic
Church of Saints Peter and Paul,cultural monument of the Czech Republic
Church of Santa Giulia,Italian national heritage
Church of St. Denis,exceptional heritage of Wallonia
Church of the Assumption of the Virgin Mary,national cultural monument of the Czech Republic
city wall of Montfoort,Rijksmonument
Civil Service Rifles War Memorial,grade ii* listed building
Co-cathedral of San Pedro,Bien de Interés Cultural
Complejo educativo Virgen de la Peana,Bien Inventariado del Patrimonio Cultural Aragonés
Cotter Bridge,place listed on the National Register of Historic Places
Cross,Grade II listed building
Cross Approximately 5 Metres South Of South Porch Of Church Of St Peter And St Paul,Grade II listed building
