Subject,Object
30th Street Station,new jersey transit rail operations
30th Street Station,septa regional rail
Bank and Monument stations,london underground
Berlin Südkreuz station,vbb
Berlin-Lichtenberg station,vbb
Berlin-Spandau station,nahverkehrsservice sachsen-anhalt
BR-319,Federal Roads in Brazil
British Columbia Highway 3,provincial highways in British Columbia
Caofang station,beijing subway
Capital Airport Express,beijing subway
Changying station,beijing subway
District line,london underground
Four Lane Ends Interchange,the metro
Hamburg Dammtor station,hamburg s-bahn
Hamburg Dammtor station,landesweite verkehrsservicegesellschaft schleswig-holstein
Japan National Route 197,national highway of japan
Japan National Route 269,national highway of japan
Japan National Route 295,national highway of japan
Japan National Route 338,national highway of japan
Japan National Route 350,national highway of japan
Japan National Route 390,national highway of japan
Japan National Route 436,national highway of japan
Japan National Route 499,national highway of japan
Japan National Route 57,national highway of japan
Kassel-Wilhelmshöhe station,landesnahverkehrsgesellschaft niedersachsen
Kassel-Wilhelmshöhe station,nahverkehrsservice sachsen-anhalt
Leipzig Hauptbahnhof,central germany s-bahn
Leipzig Hauptbahnhof,mitteldeutscher verkehrsverbund
Menemen railway station,egeray
Ontario Highway 11,king's highway
Ontario Highway 11,route transcanadienne
Ontario Highway 11,Trans-Canada Highway
Ontario Highway 581,Highways in Ontario
Sukhumvit Road,highways in thailand
West Ham station,london underground
