Subject,Object
Antarctica,history of antarctica
Austria,austria history
Brno,timeline of brno
Canada,history of Canada
Chad,chad history
Czech Republic,czech history
Eastern Europe,east european history
Florida,history of Florida
Israel,history of Israel
Japan,history of Japan
Kingdom of the Netherlands,history of the netherlands
Lesotho,history of lesotho
Maine,history of Maine
Massachusetts,history of Massachusetts
Moravia,history of moravia
Netherlands,history of the netherlands
New Hampshire,history of New Hampshire
Philippines,history of the Philippines
Romania,history of romania
Slovakia,history of slovakia
Tunisia,history of Tunisia
Turkey,history of turkey
Turkmenistan,history of turkmenistan
United States of America,history of the United States
