Subject,Object
1969 European Indoor Games,belgrade fair – hall 1
2001 Denmark Open Badminton Championships,Farum Arena
2002 Denmark Open Badminton Championships,Farum Arena
2017 European Athletics Indoor Championships,belgrade arena
2018 European Junior Badminton Championships,kalev sports hall
AGOVV Apeldoorn,Sportpark Berg & Bos
Aris Thessalonikis B.C.,Alexandreio Melathron
AS Béziers Hérault,Stade Raoul-Barrière
Associazione Calcio Milan,San Siro Stadium
Associação Desportiva Jaraguá,Arena Jaraguá
Beijing Great Wall,Shougang Gymnasium
Boavista F.C.,Pavilhão Rosa Mota
Bristol Bears,ashton gate
Bristol Bears,Ashton Gate Stadium
CA Brive,stade amedee-domenech
CA Brive,Stade Amédée-Domenech
Carnicer Torrejón FS,Pabellón Jorge Garbajosa
Club Tijuana,Caliente Stadium
Confluence Queens F.C.,Confluence Stadium
Denmark national football team,parken stadium
Deportivo de La Coruña,estadio de abanca riazor
Derry City F.C.,Brandywell Stadium
El Pozo Murcia FS,Palacio de Deportes de Murcia
Exeter Chiefs,Sandy Park
FC Akhmat Grozny,Akhmat-Arena
FC Barcelona Futsal,Palau Blaugrana
FC Grenoble,Stade des Alpes
FC Vaslui,Stadionul Municipal
Guangdong Dolphins,Dalang Arena
Győri ETO Futsal Club,Magvassy Mihály Sportcsarnok
Gáldar FS,Centro Insular de Deportes
Harlequin F.C.,Twickenham Stoop
Henan Phoenix,Luoyang Stadium
Herforder SV Borussia Friedenstal,Friedrich-Ludwig-Jahn-Stadion
Herforder SV Borussia Friedenstal,friedrich-ludwig-jahn-stadium (herford)
Inter FS,Pabellón Fundación Montemadrid
Inter Milan,g. meazza stadium
Inter Milan,San Siro Stadium
Kopparbergs/Göteborg FC,Valhalla IP
Leicester Tigers,welford road
Leicester Tigers,Welford Road Stadium
Leis 26 Pontevedra FS,Pavillón Municipal dos Deportes de Pontevedra
Liverpool F.C.,Anfield
Luge at the 1994 Winter Olympics,hunderfossen
Nea Salamis Famagusta FC,Ammochostos Stadium
New Zealand Warriors,go media stadium mount smart
Newcastle Knights,mcdonald jones stadium
North Queensland Cowboys,1300smiles stadium
North Queensland Cowboys,north queensland stadium
Olympiacos,Peace and Friendship Stadium
Parramatta Eels,bankwest stadium
Parramatta Eels,parramatta stadium
Pelican Stars F.C.,U. J. Esuene Stadium
Penrith Panthers,bluebet stadium
Portland Thorns FC,Providence Park
RC Toulonnais,Stade Mayol
Rugby Rovigo,Stadio Comunale Mario Battaglini
SC Freiburg,Möslestadion
South Sydney Rabbitohs,accor stadium
Spartans W.F.C.,ainslie park
St. George Illawarra Dragons,jubilee oval
St. George Illawarra Dragons,win stadium
Tiburones Rojos de Veracruz,"Estadio Luis ""Pirata"" Fuente"
Växjö DFF,Myresjöhus Arena
Wests Tigers,accor stadium
Wests Tigers,campbelltown sports stadium
Wests Tigers,leichhardt oval
Worcester Warriors,Sixways Stadium
