Subject,Object
.mil,1985-01-01
.NET Framework,2002-02-13
.us,1985-02-15
11th arrondissement of Paris,1860-01-17
11th U-boat Flotilla,1942-01-01
12th arrondissement of Paris,1860-01-17
1st Ukrainian Front,1943-10-20
26th U-boat Flotilla,1941-01-01
29th U-boat Flotilla,1941-12-01
2nd East Anglian Regiment,1960-01-01
2nd U-boat Flotilla,1936-01-01
2nd Ukrainian Front,1943-10-20
3rd U-boat Flotilla,1937-01-01
3rd U-boat Flotilla,1941-03-01
41st,1719-01-01
4th arrondissement of Paris,1860-01-17
57th,1755-01-01
89th,1793-01-01
A. Gary Anderson Graduate School of Management,1970-01-01
"Aakash Odedra: A dance in a hurricane of paper, wind and light",2014-10-21
Aarhus University,1928-01-01
ABS-CBN Corporation,1946-07-11
ABSA Cargo Airline,1995-01-01
ABX Air,2003-08-15
Achenyo Idachaba: How I turned a deadly plant into a thriving business,2015-05-27
Acta Societatis Botanicorum Poloniae,1923-01-01
Acworth,1840-01-01
Adelaide International,2020-01-01
Adjara,1991-01-01
Adobe AIR,2008-02-25
Adobe AIR,2008-03-01
Advisory Council for the National Transition,2013-02-12
AG Weser,1843-01-01
AG Weser,1848-01-01
AG Weser,1872-01-01
AG2R La Mondiale,1992-01-01
AG2R La Mondiale,2008-01-01
AIP Advances,2011-01-01
AirBridgeCargo Airlines,2004-01-01
Ajax,2012-01-01
Akimiski Island Migratory Bird Sanctuary,1941-01-01
Akpabuyo,1991-01-01
Al Seckel: Visual illusions that show how we,2004-02-26
Alaa Murabit: What my religion really says about women,2015-05-29
Alabama Senate,1818-01-19
Albania,1912-11-28
Alberta,1905-09-01
Alessandra Orofino: It’s our city. Let’s fix it,2014-10-07
Alessandro Acquisti: What will a future without secrets look like?,2013-06-14
Algoma,1834-01-01
Alicante,-0231-01
Allgemeiner Deutscher Fahrrad-Club,1979-09-27
Alliance for the Future,2006-01-01
Alluitsup Paa,1830-01-01
Almagrundet lighthouse,1964-01-01
Altes Museum,1822-01-01
Altes Museum,1830-01-01
Altoona,1881-01-01
American Numismatic Society,1858-04-06
Anambra State,1976-02-03
Andras Forgacs: Leather and meat without killing animals,2013-06-13
Angle Orthodontist,1931-01-01
Animais de Criação,1970-01-01
Anna Maria,1816-01-01
"Annals of Allergy, Asthma & Immunology",1943-01-01
Antônio Pereira,1840-04-03
Aomori Prefecture,1871-09-01
Appliqué inv. 734,1900-01-01
Appliqué inv. 739,1919-01-01
Appliqué inv. 848,1920-01-01
Appliqué inv. 850,1910-01-01
Appliqué inv. 853,1915-01-01
Arc de la casa de Mateu Tort,1900-01-01
