Subject,Object
ABS-CBN Corporation,mass media
Acornsoft,software industry
"Activision Publishing, Inc.",video game industry
AG Weser,vehicle construction
American Numismatic Society,academic learning
Arutz Sheva,media industry
ASC Pty Ltd,shipbuilding
Association of Black Anthropologists,academic learning
Audi,automobile industry and trade
Audi,vehicle construction
Banca Fideuram,Finance
Bayerischer Rundfunk,mass media
Bayerischer Rundfunk,mass media industry
BioWare,video game industry
BNP Paribas,other monetary intermediations
Boeing,Arms industry
Boeing,aviation industry
Bund für Umwelt und Naturschutz Deutschland,environment
CBS,mass media industry
Chesbro Music Company,music business
Citibank,banking
Citibank,finance industry
Citibank,financial services
Citigroup,bank
Citigroup,finance industry
Citigroup,"financial service activities, except insurance and pension funding"
Columbia River Shipbuilding Company,shipbuilding
Cornell University,academic learning
Deutsche Bahn,logistics
Deutsche Gesellschaft für Internationale Zusammenarbeit,aid
Dravo Corporation,shipbuilding
EMI,consumer electronics industry
EMI,mass media industry
EMI,music business
EMI,phonograph industry
EMI Records,music
Faculdade Cásper Líbero,academic learning
Fightmag,journalism
Finavia,aviation
Frankfurter Volksbank,"financial service activities, except insurance and pension funding"
Gaming Minds Studios,video game industry
Gazprombank,finance industry
Gazprombank,financial services
German Society for Plant Sciences,academic learning
Goa Shipyard Limited,shipbuilding
H&M,fast fashion
H&M,retail
Happy Joe's,eateries
Happy Joe's,restaurant
id Software,video game industry
Itaú Unibanco,banking
Itaú Unibanco,finance industry
Itaú Unibanco,financial services
Komerční banka,banking
Komerční banka,finance industry
Komerční banka,financial services
Korail,rail transport
LaRosa's Pizzeria,gastronomy
Microsoft,consumer electronics industry
Monsanto,agriculture
MUFG Bank,finance industry
MUFG Bank,financial services
N M Rothschild & Sons,finance industry
N M Rothschild & Sons,"financial service activities, except insurance and pension funding"
N M Rothschild & Sons,financial services
National Park Service,environment
NEC,electronics
Nederlandse Spoorwegen,rail transport
Northern Devon Healthcare NHS Trust,health care industry
Northrop Grumman,electronics
Northrop Grumman,shipbuilding
Novartis,pharmaceutical industry
Papa Gino's,gastronomy
Papa John's Pizza,gastronomy
Papa Murphy's,fast food restaurant
Pizza Schmizza,fast food
Popular Bank of Milan,financial services
Princess Alexandra Hospital NHS Trust,health care industry
Realmforge Studios,video game industry
Royal Troon Golf Club,sporting activities
Sacred Heart Major Seminary,academic learning
Santander Brasil,banking
Santander Brasil,finance industry
Santander Brasil,financial services
Sbarro,fast food
Scotiabank,banking
Scotiabank,finance industry
SEB Pank,finance industry
SEB Pank,financial services
Siemens,communication industry
Skema Business School,higher education
Telepizza,gastronomy
The Master Trust Bank of Japan,investment bank
The New York Times,publishing
Total S.A.,petroleum industry
Unilever,food industry
University of French Polynesia,higher education
Visa Inc.,finance industry
Visa Inc.,financial services
Vodafone,communication industry
Volkswagen Group,automobile industry and trade
Volkswagen Group,automotive industry
Weleda,pharmaceutical industry
École supérieure de journalisme de Paris,higher education
Škoda Works,industrial manufacturing
Škoda Works,vehicle construction
