Subject,Object
2007 Tirreno–Adriatico,italian
2048,English
4TEEN,Japanese
5.0,english
A Dangerous Game of Hide-and-seek,Japanese
A Person in Need of Rescue,Japanese
A Scandal in Bohemia,english
A Terrible Death,Japanese
A Troublesome and Difficult Case,Japanese
Acta Paediatrica,English
Aemilia gens,latin
Aguirre,Spanish
Ahura Mazda and Ardashir I,Parthian
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",english
An Unearthly Child,english
"Annals of Allergy, Asthma & Immunology",english
Apple Maps,multilanguage
Aria the Scarlet Ammo,Japanese
Arteche,Spanish
Arthur,english
Arthur,french
Arutz Sheva,English
Astrolabe and Astrological Volvelle,Latin
Atalia,Italian
Back in Time,Japanese
Back in Time,Portuguese
Bailyn,English
Bert och bacillerna,svenska
Bert och beundrarinnorna,Swedish
Bert och Boysen,svenska
Bert och brorsorna,svenska
Bert och datadejten,Swedish
Bert och friheten,Swedish
Bert och kalla kriget,Swedish
Bert och ryska invasionen,Swedish
Berts befrielse,Swedish
Berts bekymmer,svenska
Berts bekymmer,Swedish
Berts bekännelser,svenska
Berts bekännelser,Swedish
Berts bokslut,Swedish
Berts bravader,svenska
Berts bravader,Swedish
Berts bryderier,svenska
Berts bryderier,Swedish
Berts dagbok,Swedish
Berts första betraktelser,svenska
Berts första betraktelser,Swedish
Berts vidare betraktelser,svenska
Berts vidare betraktelser,Swedish
Berts ytterligare betraktelser,Swedish
Bitola inscription,Old Church Slavonic
Botulinum Toxin,English
Bound and Gagged: Pornography and the Politics of Fantasy in America,English
Burov,bulgarian
Burov,russian
call boy,Japanese
Calpurnia gens,latin
Cat on the Mat,English
Charlie Hebdo,french
"Cherry Grove, Fire Island: Sixty Years in America’s First Gay and Lesbian Town",English
Chinese Journal of Physics,English
Chinese Journal of Physics,multilanguage
Chinese Wikibooks,Chinese
Chinese Wikinews,Chinese
Chinese Wikisource,Chinese
Chinese Wikivoyage,Chinese
Cisco IOS,english
Claudia gens,latin
"Combining Dictionaries, Wordnets and other Lexical Resources – Advantages and Challenges",English
Communications Code,Japanese
Corrigendum: Genome-wide association of polycystic ovary syndrome implicates alterations in gonadotropin secretion in European ancestry populations.,English
Corrigendum: LSD1 is essential for oocyte meiotic progression by regulating CDC25B expression in mice.,English
Crimean speech of President Putin,Russian
Current Archaeology,english
Damned Damned Damned,english
de Alencar,Spanish
De domo sua,Latin
de Jong,Dutch
de Jonge,Dutch
de la Cruz,Spanish
de la Cueva,Spanish
de la Peña,Spanish
de la Puerta,Spanish
de la Rosa,Spanish
de la Torre,Spanish
de la Vega,Spanish
de las Cuevas,Spanish
de Lima,Portuguese
Desibeli.net,Finnish
Dictionnaire de la civilisation indienne,French
Die Auferstehung und Himmelfahrt Jesu,German
Die letzten Dinge,German
Die Schuldigkeit des ersten Gebots,German
Die Verurteilung des Lukullus,German
Dilemmas of Difference: Indigenous Women and the Limits of Postcolonial Development Policy,English
"Disturbing Attachments: Genet, Modern Pederasty, and Queer History",English
Dokonjō Gaeru,Japanese
Downwardly Global,English
Easter Oratorio,German
Ekonomist,Serbian
Embraceable You,English
Epworth,English
Erratum to: Conformational changes and translocation of tissue-transglutaminase to the plasma membranes: role in cancer cell migration.,English
Erratum to: Modeling the spread of polio in an IPV-vaccinated population: lessons learned from the 2013 silent outbreak in southern Israel.,English
Erratum to: The GOOD life: Study protocol for a social norms intervention to reduce alcohol and other drug use among Danish adolescents.,English
Erratum: Layer-dependent quantum cooperation of electron and hole states in the anomalous semimetal WTe2.,English
Essential Evidence-Based Medicine,English
Esther,English
Ethan Frome,English
Etxaide,Basque
Eurovision Young Musicians 1994,English
Eurovision Young Musicians 1998,English
Eurovision Young Musicians 2000,English
Eurovision Young Musicians 2002,English
"Exile and Pride: Disability, Queerness, and Liberation",English
Fake Feet,Japanese
Families in War and Peace: Chile from Colony to Nation,English
Familjen Anderssons sjuka jul,Swedish
Fightmag,English
Financial Modeling,English
Freeciv,anatolian turkish
Freeciv,arabian
Freeciv,bahasa
Freeciv,Bokmål
Freeciv,bulgarian
Freeciv,castilian
Freeciv,danish
Freeciv,english
Freeciv,esperanto
Freeciv,farsi language
Freeciv,french
Freeciv,german
Freeciv,greek
Freeciv,hebrew
Freeciv,italian
Freeciv,polish
Freeciv,russian
Freeciv,svenska
Freeciv,ukrainian
GNOME Maps,multiple languages
Gravetat Zero,Catalan
Greengard,English
GTK,multilanguage
Hallelujah Chorus,English
"Haydée Santamaría, Cuban Revolutionary: She Led by Transgression",English
Hercules,English
High Tower,Swedish
Hispano-Moorish Astrolabe,Latin
Horsehair Crab from Suwa Lake,Japanese
"House of Slaves and “Door of No Return”: Gold Coast/Ghana Slave Forts, Castles & Dungeons and the Atlantic Slave Trade",English
House Party,English
I2P,castilian
I2P,english
I2P,French
I2P,german
I2P,russian
iGap,English
In Blue,english
Inakappe Taishō,Japanese
Indian Journal of Gastroenterology,English
Inscription of Abercius,Ancient Greek
Inuktitut Wikipedia,Inuktitut
Ion Mobility Spectrometry,English
Jiménez,Spanish
Joaquín,castilian
Johnson-Laird,English
Journal of Clinical Investigation,English
Journal of Physics B,English
Journal of Psychopharmacology,English
Journal of the Iranian Chemical Society,English
Judas Maccabaeus,English
Julia gens,latin
Kazakh Wikibooks,Kazakh
Kiwaka,English
Kiwaka,Portuguese
Kiwaka,Simplified Chinese
Kurdish Wikibooks,Kurdish languages
Lacunza,Spanish
Lascurain,Spanish
Leisure Suit Larry: Reloaded,castilian
Leisure Suit Larry: Reloaded,english
Leisure Suit Larry: Reloaded,french
Leisure Suit Larry: Reloaded,german
Leisure Suit Larry: Reloaded,italian
Leisure Suit Larry: Reloaded,polish
Leisure Suit Larry: Reloaded,russian
Level 7,Japanese
Licinia gens,latin
Loesser,English
