Subject,Object
Alberta,Tsuutʼina
Alberta,Western Ojibwa
Amazonas,Arap
Amazonas,Paumarí
Amazonas,Waimajã language
Amazonas,Yuhup
Australia,Alyawarr
Bacolod,Tagalog
Bosnia and Herzegovina,Croatian
Byzantine Catholic Eparchy of Ruski Krstur,Ruthenian
Cagayan de Oro,Subanon language
Canada,Denetaca
Canada,Dogrib
Canada,French
Eparchy of Bratislava,Slovak
Eparchy of Lungro,Greek
Eparchy of Piana degli Albanesi,Greek
Friuli–Venezia Giulia,Friulian
Ghōr,Aimaq
Hungarian Catholic Eparchy of Miskolc,Hungarian
Israel,English
Japan,Japanese
Japan,Northern Amami Ōshima language
Japan,Tokunoshima language
Jowzjan,Turkmen
Laghman,Kamkata-viri language
Liguria,Ligurian
Macedonian Catholic Eparchy of the Blessed Virgin Mary Assumed in Strumica-Skopje,Albanian
Maidan Wardak,Wasi-wari
Makati,Tagalog
Manila,Tagalog
Mato Grosso,Bororo language
Minas Gerais,Maxakalí
Molise,Slavomolisano
Pará,Anambé
Pará,Aurá
Pará,Sikiana
Philippines,Banao Itneg
Philippines,English
Philippines,Mount Iraya Agta language
Philippines,Romblomanon
Quebec,Western Abnaki
Quezon City,Tagalog
Republic of Cyprus,Turkish
Rio de Janeiro,Cafundó language
Syro-Malabar Catholic Eparchy of Rajkot,Malayalam
Trentino-South Tyrol,German
Tunisia,French
Ukrainian Catholic Eparchy of Kolomyia,Ukrainian
Ukrainian Greek Catholic Eparchy of Buchach,Ukrainian
United Kingdom,Irish
United States of America,Spanish
United States of America,Western Apache
United States of America,Yokutsan languages
World Esperanto Congress 1907,Esperanto
World Esperanto Congress 1921,Esperanto
World Esperanto Congress 1933,Esperanto
World Esperanto Congress 1935,Esperanto
World Esperanto Congress 1950,Esperanto
World Esperanto Congress 1960,Esperanto
World Esperanto Congress 1963,Esperanto
World Esperanto Congress 1974,Esperanto
World Esperanto Congress 1986,Esperanto
World Esperanto Congress 1987,Esperanto
World Esperanto Congress 1996,Esperanto
World Esperanto Congress 2001,Esperanto
World Esperanto Congress 2004,Esperanto
World Esperanto Congress 2009,Esperanto
World Esperanto Congress 2015,Esperanto
