Subject,Object
A Scandal in Bohemia,"And that was how a great scandal threatened to affect the kingdom of Bohemia, and how the best plans of Mr. Sherlock Holmes were beaten by a woman’s wit. He used to make merry over the cleverness of women, but I have not heard him do it of late. And when he speaks of Irene Adler, or when he refers to her photograph, it is always under the honorable title of the woman."
Lolita,"And this is the only immortality you and I may share, my Lolita"
Oliver Twist,"But, if the spirits of the Dead ever come back to earth, to visit spots hallowed by the love—the love beyond the grave—of those whom they knew in life, I believe that the shade of Agnes sometimes hovers round that solemn nook. I believe it none the less because that nook is in a Church, and she was weak and erring."
Sense and Sensibility,"and among the merits and the happiness of Elinor and Marianne, let it not be ranked as the least considerable, that though sisters, and living almost within sight of each other, they could live without disagreement between themselves, or producing coolness between their husbands."
Sonnet 12,"Save breed to brave him, when he takes thee hence."
Sonnet 128,"Give them thy fingers, me thy lips to kiss."
Sonnet 143,If thou turn back and my loud crying still.
Sonnet 152,To swear against the truth so foul a be.
Sonnet 27,"For thee, and for my self, no quiet find."
Sonnet 31,And thou (all they) hast all the all of me.
Sonnet 37,"This wish I have, then ten times happy me."
Sonnet 40,Kill me with spites yet we must not be foes.
Sonnet 60,"Praising thy worth, despite his cruel hand."
Sonnet 67,"In days long since, before these last so bad."
Sonnet 69,"The soil is this, that thou dost common grow."
Sonnet 70,Then thou alone kingdoms of hearts shouldst owe.
Sonnet 80,"The worst was this, my love was my decay."
Sonnet 81,"Where breath most breathes, even in the mouths of men."
Sonnet 85,"Me for my dumb thoughts, speaking in effect."
The Invisible Man,"So he lapses into a dream, the undying wonderful dream of his life. And though Kemp has fished unceasingly, and Adye has questioned closely, no human being save the landlord knows those books are there, with the subtle secret of invisibility and a dozen other strange secrets written therein. And none other will know of them until he dies."
Wuthering Heights,"I lingered round them, under that benign sky: watched the moths fluttering among the heath and harebells, listened to the soft wind breathing through the grass, and wondered how any one could ever imagine unquiet slumbers for the sleepers in that quiet earth."
