Subject,Object
AEP Paphos F.C.,Cypriot First Division
AGOVV Apeldoorn,Tweede Klasse
APOP Kinyras FC,Cypriot Fourth Division
Associação Desportiva Jaraguá,Liga Futsal
Atlético Madrid Femenino,Primera División
Boavista F.C.,Liga Portuguesa de Futsal
Bradford,National League North
Bristol Bears,aviva premiership
CA Brive,french rugby union championship
Carnicer Torrejón FS,Segunda División de Futsal
Catalans Dragons,Super League
Celtic L.F.C.,Scottish Women's Premier League
Deportivo de La Coruña,campeonato nacional de liga de segunda division
Deportivo de La Coruña,primera división rfef 2021-22
Deportivo de La Coruña,segunda division b
El Pozo Murcia FS,Primera División de Futsal
Exeter Chiefs,aviva premiership
FC Akhmat Grozny,Russian Premier League
FC Barcelona Futsal,primera division de futsal
FC Barcelona Futsal,Primera División de Futsal
FC Vaslui,Liga IV
Győri ETO Futsal Club,Nemzeti Bajnokság I
Gáldar FS,Primera División de Futsal
Harlequin F.C.,aviva premiership
Herforder SV Borussia Friedenstal,allianz frauen-bundesliga
Huddersfield Giants,Super League
Hull F.C.,Super League
Hyundai Steel Red Angels WFC,WK-League
Inter FS,primera division de futsal
Inter FS,Primera División de Futsal
Inter Milan,italian football league
Leeds Rhinos,Super League
Leicester Tigers,aviva premiership
Leigh Centurions,Super League
Leis 26 Pontevedra FS,Tercera División de Futsal
Manly-Warringah Sea Eagles,National Rugby League
New Zealand Warriors,National Rugby League
Newcastle Knights,National Rugby League
North Queensland Cowboys,National Rugby League
Parramatta Eels,National Rugby League
Penrith Panthers,National Rugby League
Perth Glory FC W-League,W-League
Piteå IF,Damallsvenskan
Saint-Esteve XIII Catalan,French Rugby League Championship
Salford Red Devils,Super League
South Sydney Rabbitohs,National Rugby League
Spartans W.F.C.,Scottish Women's Premier League
Sporting de Huelva,Primera División
St Helens RLFC,Super League
St. George Illawarra Dragons,National Rugby League
Valencia Féminas CF,Primera División
Vittsjö GIK,Damallsvenskan
Wests Tigers,National Rugby League
Widnes Vikings,Championship
Wigan Warriors,Super League
Worcester Warriors,aviva premiership
