Subject,Object
ABS-CBN Corporation,joint-stock company
ABS-CBN Corporation,listed company
ADAC,registered association
AEGEE-Tallinn,non-profit association
AEGEE-Tartu,non-profit association
AG2R La Mondiale,association déclarée
Allgemeiner Deutscher Fahrrad-Club,e. v.
Allgemeiner Deutscher Fahrrad-Club,registered association
American Humanist Association,501(c)(3) organization
Arbeiterwohlfahrt,association under the French law of 1901
Arbeitsgemeinschaft Literarischer Gesellschaften und Gedenkstätten,registered association
Archives LGBTQI,association under the French law of 1901
Association of the Scientific Medical Societies in Germany,registered association
Association pour la recherche et l'archivage de la mémoire arménienne,association under the French law of 1901
Balmain,société anonyme
Banca Fideuram,S.p.A.
Berufsverband Information Bibliothek e. V.,registered association
Blender Foundation,citizen sector organization
BNP Paribas,plc with a board of directors (n.o.s.)
Boeing,public company
Bristol Bears,liability company partnership
Bund für Umwelt und Naturschutz Deutschland,e. v.
Bundesarbeitsgemeinschaft Kinder- und Jugendschutz,registered association
Bundesverband Deutscher Gartenfreunde,registered association
C.S. Veritas,voluntary association
CBS,child company
Center for Inquiry,501(c)(3) organization
Charles de Gaulle University of humanities arts and social sciences,"public scientific, cultural or professional establishment"
Chesbro Music Company,close corporation
Chesbro Music Company,privately held company
Christian Dior S.A.,joint-stock company
Citibank,n.a.
Citibank,public company
Citigroup,delaware company
Comede,association under the French law of 1901
Conscience et Impact Écologique,association under the French law of 1901
DEHOGA,registered association
Deutsche AIDS-Hilfe e.V.,registered association
Deutsche Apotheker- und Ärztebank,e.g.
Deutsche Apotheker- und Ärztebank,Eingetragene Genossenschaft
Deutsche Gesellschaft für Internationale Zusammenarbeit,liability company partnership
Deutsche Kinemathek,e. v.
Deutsche Krebsgesellschaft,registered association
Deutscher Bibliotheksverband,registered association
Deutscher Sparkassen- und Giroverband e.V.,registered association
Deutsches Institut für Menschenrechte,registered association
Dr Pepper Snapple Group,delaware company
"Dětský domov se školou, SVP a ZŠ",public-benefit corporation
EMI,limited company (uk)
Estonian Students' Society,non-profit association
European University Association,asbl
Evangelical Lutheran Church in Brunswick,Körperschaft des öffentlichen Rechts
Evangelical Lutheran Church in Northern Germany,Körperschaft des öffentlichen Rechts
Evangelical Lutheran Church of Mecklenburg,Körperschaft des öffentlichen Rechts
Fendi,child company
Fendi,joint-stock company
Frankfurter Volksbank,e.g.
Frankfurter Volksbank,Eingetragene Genossenschaft
Freedom From Religion Foundation,501(c)(3) organization
French Football Federation,association déclarée
Frosta Härad heritage association,voluntary association
G&L Musical Instruments,close corporation
G&L Musical Instruments,privately held company
Gazprombank,joint-stock company
German Federation of the Deaf,e. v.
German Federation of the Deaf,registered association
German Immunology Society,registered association
German Mathematical Society,registered association
German Society for Plant Sciences,e. v.
German Society for Plant Sciences,registered association
Gesellschaft Deutscher Chemiker,registered association
Grästorp Municipality,municipality of sweden
Grödinge heritage association,voluntary association
H&M,ab
H&M,aktiebolag
Hämeenlinna,finnish municipality
Illumination,limited liability company
