Subject,Object
Alberta,alberta legislature
Anambra State,Anambra State House Of Assembly
Aomori Prefecture,Aomori Prefectural Assembly
Argentina,Argentine National Congress
Atlanta,atlanta city council
Austria,Austrian Parliament
Azerbaijan,National Assembly of Azerbaijan
Bali,bali regional house of representatives
Bangladesh,bangladesh national parliament
Bolivia,Plurinational Legislative Assembly
Borno State,Borno State House of Assembly
Boston,boston (mass.) city council
Buenos Aires,buenos aires city legislature
canton of Bern,Grand Council of Bern
Canton of Geneva,Grand Council of Geneva
Canton of Vaud,Grand Council of Vaud
Central African Republic,National Assembly
Chad,National Assembly
Commonwealth of the Philippines,national assembly
County Mayo,legislative body of mayo county council
Croatia,Parliament of Croatia
Czech Republic,Parliament of the Czech Republic
Dacorum,council of dacorum borough council
Dumfries and Galloway,dumfries and galloway council
Ebonyi State,Ebonyi State House of Assembly
Enugu State,enugu state house of assembly
Ethiopia,Federal Parliamentary Assembly
Georgia,Parliament of Georgia
Ghana,Parliament of Ghana
Gifu Prefecture,Gifu Prefectural Assembly
Goiás,legislative assembly of goiás
Greenland,inatsisartut
Gunma Prefecture,Gunma Prefectural Assembly
Herefordshire,council of herefordshire council
Hämeenlinna,hämeenlinna city council
Idaho,id legislature
Illinois,il general assembly
India,Parliament of India
Iraq,council of representatives of iraq
Iraq,national assembly of iraq
Israel,israeli parliament
Italy,Italian Parliament
Japan,National Diet
Järvenpää,järvenpää city council
Kanagawa Prefecture,Kanagawa Prefectural Assembly
Kazakhstan,Parliament of Kazakhstan
Kerava,kerava city council
Kokkola,kokkola city council
Legislative Assembly of Tocantins,Tocantins
legislative body of Mayo County Council,County Mayo
Libya,high council of state
Libya,house of representatives
Lillehammer,lillehammer municipal council
Mali,mali depite bulon
Malta,Parliament of Malta
Massachusetts,general court of massachusetts
Mongolia,State Great Khural
Montenegro,Parliament of Montenegro
Morocco,Parliament of Morocco
New Zealand,general assembly of new zealand
North East Lincolnshire,North East Lincolnshire Council
North Macedonia,Assembly of North Macedonia
North Tyneside,council of north tyneside council
Paraguay,Congress of Paraguay
Pennsylvania,general assembly of pennsylvania
Philippines,congress of the philippines
Playford,City of Playford
Port Adelaide Enfield,City of Port Adelaide Enfield
Prospect,City of Prospect
Quebec,legislature of quebec
Redcar and Cleveland,Redcar and Cleveland Borough Council
Romania,Parliament of Romania
Saint Helena,legislative council of saint helena
Saudi Arabia,Prime Minister of Saudi Arabia
Slovakia,National Council of the Slovak Republic
Socialist Republic of Romania,great national assembly
Spain,cortes generales
São Paulo,municipal chamber of são paulo
Tervola,tervola municipal council
Ticino,Grand Council of Ticino
Tocantins,legislative assembly of tocantins
Tokyo,tokyo metropolitan assembly
Turkey,büyük millet meclisi
Turkmenistan,assembly of turkmenistan
Turkmenistan,national council of turkmenistan
Ukraine,parliament of ukraine
Ukraine,Verkhovna Rada
Uzbekistan,Supreme Assembly
Vatican City,pontifical commission for the vatican city state
Vatican City,Pontifical Commission for Vatican City State
Vietnam,national assembly of vietnam
West Virginia,west virginia legislature
Western Australia,parliament of western australia
Windsor and Maidenhead,Windsor and Maidenhead Borough Council
Winnipeg,winnipeg city council
Yekaterinburg,yekaterinburg city duma
Zambia,National Assembly
Zamfara State,Zamfara State House of Assembly
