Subject,Object
Al Lusail,124.0
Albano Lacus,6.2
Alcanada,700.0
Alconétar Bridge,290.0
Alcántara Bridge,194.0
Alte Rheinbrücke,135.0
Amenophis II-E 3176,13.5
Aquarius,92.0
Aquijo,86.0
Aréthuse-class submarine,49.6
Athena,90.0
Atitlán Lacus,13.7
Aureliano Leite,0.33
Australia,3860.0
Azzam,180.0
Baba Mountain,30.0
Baltic Sunrise,333.12
Blue Jade,183.0
Borkener See,1.25
"Boulder Safnern, Büttenberg/ located at: Historical Museum Bern",165.0
"Boulder, Bärletwald",290.0
"Boulder, Büttenberg, Crossing Bartolomäusweg/ Jungholzweg",2.0
"Boulder, Chräjeberg, northern edge of the woods",310.0
"Boulder, Chräjeberg, wayside outside of the forest",310.0
"Boulder, Luterhölzli/ located at: Museum Schwab Biel",270.0
"Boulder, Mahlewagwald I",2.0
"Boulder, Mahlewagwald II",240.0
Bravo Eugenia,109.0
British Columbia Highway 3,849.0
British Explorer,182.0
Bugatti EB110,4400.0
Caiyuanba Bridge,1651.0
Cala Ca's Xirimier,40.0
Cala Dèntol,10.0
Cala Figuera,45.0
Caló de S'Estaca,30.0
Capital Airport Express,28.1
Cardiel Lacus,22.0
Carolina Ribeiro,0.28
Cayuga Lacus,22.7
CCGS Des Groseilliers,98.24
CCGS Terry Fox,88.0
Champion,145.88
Cheetah Hunt,1350.0
Chemical Challenger,134.03
Christina O,99.06
Ciudad de Palma,188.0
Clear Lake,330.0
Cobra,285.0
Como–Brunate funicular,1.084
cour Bérard,43.0
cour Damoye,124.0
cour de la Ferme-Saint-Lazare,162.0
cour des Fabriques,160.0
cour des Petites-Écuries,260.0
cour du Chêne-Vert,72.0
cour du Commerce-Saint-André,120.0
cour du Coq,94.0
cour du Minervois,40.0
cour Jasmin,32.0
cour Saint-Éloi,150.0
cour Saint-Émilion,220.0
Covered Bridge,120.0
Crater Lake,9.6
Cruise Olympia,224.0
Dancing Muse,8.5
Delaware River,579.0
Delta King,87.0
Delta Queen,86.9
Diablo Dam,360.0
District line,64.0
Dodonpa,1244.0
Dukan Dam,345.0
Engelbrekt,21.4
Equanimity,92.0
Erik Dahlbergsallén,204.0
Erik Dahlbergsgatan,860.0
Es Torrent d'Es Morts,10.0
Esashi Line,37.8
Esch-sur-Sûre Dam,168.0
F3,0.75
F4,0.85
Falls of Clyde,81.13
Ferrari F40,4358.0
Ferrari F50,4.48
Ferrari GTC4Lusso,4922.0
Foxtrot-class submarine,91.3
Freeman Lacus,26.0
Furusato Ginga Line,140.0
General Duroc at Castiglione,45.0
George Washington Bridge,1450.0
Gladiator with sword,14.0
Goby Lake,260.0
Golden Gate Bridge,8981.0
HaBesor Stream,80.0
Here Comes The Sun,83.0
High Tatras,26.0
HMCS Protecteur,171.9
HMCS Provider,168.0
HMS Beagle,60.4
Holzbrücke Bad Säckingen,206.5
Holzbrücke Wettingen-Neuenhof,38.0
Hotel-class submarine,114.1
Huckleberry Finn,177.2
INSAT-1C,2.18
Italian battleship Conte di Cavour,176.1
Jaguar XJ220,4930.0
James Webb Space Telescope,21.2
Japan National Route 197,204.3
Japan National Route 197,275.3
Japan National Route 269,149.1
Japan National Route 269,174.9
Japan National Route 295,5.7
Japan National Route 338,241.3
Japan National Route 338,263.3
Japan National Route 350,163.2
Japan National Route 350,51.6
Japan National Route 390,552.2
Japan National Route 390,63.2
Japan National Route 436,30.4
Japan National Route 436,96.6
Japan National Route 499,111.0
Japan National Route 499,29.0
Japan National Route 57,227.5
Japan National Route 57,319.7
José Augusto César Salgado,0.3
Junín Lacus,6.3
Kaigan Line,7.9
Kaufbeuren–Schongau railway,31.1
Kobben-class submarine,47.7
KV10,105.36
KV11,188.11
KV13,71.37
KV15,88.65
KV18,42.68
KV19,38.68
KV42,58.18
KV46,21.31
KV47,124.93
Kūkō Line,13.1
Lacus Aestatis,86.4
Lacus Autumni,196.0
Lacus Bonitatis,122.0
Lacus Doloris,103.0
Lacus Felicitatis,98.5
Lacus Gaudii,88.5
Lacus Hiemalis,48.0
Lacus Lenitatis,78.3
Lacus Luxuriae,50.6
Lacus Mortis,159.0
Lacus Oblivionis,49.0
Lacus Odii,72.7
Lacus Perseverantiae,70.6
Lacus Solitudinis,123.0
Lacus Somniorum,425.0
Lacus Spei,76.7
Lacus Temporis,205.0
Lacus Timoris,154.0
Lady Henen-E 33145,18.2
Laguna Blanca,5.6
Lake Bolsena,13.0
Lake Bracciano,9.3
Lake Constance,63.0
Lake Enriquillo,40.0
Lake Maggiore,66.0
Lake Natron,65.0
Lake Retba,4.2
Lake Shala,28.0
Lake Van,120.0
Lamborghini Diablo,4460.0
Lanao Lacus,34.5
Line 1,40.99
Line 10,57.1
Line 13,40.5
Line 7,38.61
Line 8,26.6
Line 9,16.5
Logtak Lacus,14.3
Long Island Rail Road,1100.0
Los Angeles-class submarine,110.0
Magere Brug,80.0
Maserati MC12,5143.0
Meijō Line,26.4
Mercedes-Benz SLR McLaren,4656.0
Monti Lattari,34.0
Moselle,544.0
Moselle Viaduct,935.0
Mount Carmel,50.0
MS Achille Lauro,196.0
MS Kungsholm,201.23
MS Marco Polo,176.28
MS Mikhail Lermontov,175.77
MS Norman Atlantic,186.5
MS Renaissance,150.09
MS St. Louis,174.9
MV Erika,184.0
MV Prestige,243.49
MV Västan,31.38
Mývatn Lacus,55.0
Nahal Gerar,50.0
Nahal Hemar,37.0
Nahal Sorek,65.0
Naẖal Daliyya,17.0
Naked man or gladiator,10.5
Namboku Line,14.3
Namboku Line,14.8
Napoleon I,30.0
Nayoro Main Line,143.0
Neubrügg,92.2
Norrtelje,44.2
Odengatan,1730.0
Odin,227.5
Ohrid Lacus,17.3
Okayama Rinkoh Railway Line,8.1
Ontario Highway 11,1784.9
Ooty Radio Telescope,530.0
Osaka Metro Chūō Line,17.9
P-800 Oniks,8.9
Paoay Church,110.0
Petřín funicular,510.0
Pont du Gard,275.0
"Pont Vell, Santa Eulària des Riu",87.5
"Ponte Vecchio, Bassano",58.0
Porsche 959,4260.0
Porsche Carrera GT,1601.0
Port de Valldemossa,90.0
Queen Elizabeth 2,293.5
Resolution class submarine,129.5
Return of the prodigal son-Clémence Sophie de Sermezy-MG 4738,26.5
Rhine,1232.7
River Great Ouse,240.0
RMS Queen Mary,310.74
RMS Saxonia,185.38
RMS Transvaal Castle,231.7
RV Derinsu,45.0
RV MTA Turkuaz,86.0
Sa Font Figuera,40.0
Saint Helena,15.0
Saint Isaac's Cathedral,111.2
SAS Protea,79.0
Scale model of a coal cargo ship under construction-MnM 2003.29.1,104.0
Scale model of Laurent Schiaffino-MnM 7 MM 63,120.0
Scale model of Loire-MnM 5 MM 9,170.0
Scale model of Louléa-MnM 7 MM 66,133.0
Scale model of Millenium-MnM 2001.9.1,196.0
Scale model of Paraguay-MnM 7 MM 3,289.0
Scale model of Pascal-MnM 7 MM 25,117.0
Scale model of Sans Pareil-MnM 13 MG 1,285.0
Sebkha el Melah,25.0
Sentinel-1B,2.8
Sevan Lacus,46.9
Sherpa,71.2
"sign stone, Felsenburg Bözingen",45.0
Silja Serenade,203.03
Skibladner,50.3
SKS Douro,249.99
Smithfield Street Bridge,361.0
SMS Ostfriesland,167.2
SMS Thüringen,167.2
SMS Westfalen,146.1
Solar Lake,0.14
Sphinx of king Siamon-E 3914,10.3
SS Andrea Doria,213.4
SS Flandre,182.79
SS Guglielmo Marconi,213.65
SS Huntsend,146.77
SS Princess Alice,219.4
SS Thomée,26.93
"St. Michael's Church, Munich",78.2
Statue of Adoniran Barbosa,0.3
Stavanger Eagle,179.9
"Stein, Pfadigrüebli",335.0
Stena Nautica,134.0
Stickers Gat,16.4
Stolt Ilex,144.0
Sukhumvit Road,488.387
Swabian-Franconian Forest,60.0
Tamsui Line,21.2
Tempoku Line,148.9
The trumpet of Murcie,60.0
Theo T,227.0
Thompson submachine gun,810.0
Throgs Neck Bridge,887.0
Tiger devouring a gazelle,31.0
Tignes Dam,296.0
Top Thrill Dragster,853.4
Towada Lacus,24.0
Trafalgar-class submarine,85.4
Trajan's Bridge,1.0975
Trolleybuses in Biel/Bienne,16.3
