Subject,Object
Afghanistan,63.673
Albania,73.588
Albania,73.955
Albania,74.286
Albania,74.575
Albania,74.82
Albania,75.028
Albania,75.217
Albania,75.418
Albania,75.656
Albania,75.943
Albania,76
Albania,76.281
Albania,76.652
Albania,77
Albania,77.031
Albania,77.389
Albania,77.702
Albania,77.963
Albania,78.174
Albania,78.345
Albania,79
Alberta,81.5
Argentina,73.618
Argentina,73.832
Argentina,74.039
Argentina,74.236
Argentina,74.424
Argentina,74.603
Argentina,74.775
Argentina,74.941
Argentina,75
Argentina,75.105
Argentina,75.268
Argentina,75.431
Argentina,75.595
Argentina,75.761
Argentina,75.926
Argentina,76
Argentina,76.089
Argentina,76.252
Argentina,76.415
Argentina,76.577
Argentina,77
Australia,78.93171
Australia,79.23415
Australia,79.63415
Australia,79.93659
Australia,80.23902
Australia,80.49024
Australia,80.84146
Australia,81.04146
Australia,81.29268
Australia,81.39512
Australia,81.5439
Australia,81.69512
Australia,81.89512
Australia,82.04634
Australia,82.14878
Australia,82.3
Australia,82.4
Australia,82.5
Australia,83
Australia,83.1
Australia,83.2
Austria,77.87561
Austria,78.12683
Austria,78.57561
Austria,78.63171
Austria,78.67805
Austria,79.18049
Austria,79.33171
Austria,79.88049
Austria,80.18049
Austria,80.33171
Austria,80.43171
Austria,80.58049
Austria,80.89024
Austria,80.93659
Austria,80.98293
Austria,81
Austria,81.13659
Austria,81.19024
Austria,81.49024
Austria,82
Bangladesh,64.702
Bangladesh,65.324
Bangladesh,65.903
Bangladesh,66.448
Bangladesh,66.965
Bangladesh,67.46
Bangladesh,67.937
Bangladesh,68.403
Bangladesh,68.861
Bangladesh,69.312
Bangladesh,69.759
Bangladesh,70.198
Bangladesh,70.626
Bangladesh,71.039
Bangladesh,71.431
Bangladesh,71.803
Bangladesh,72
Bangladesh,72.155
Bangladesh,72.489
Bangladesh,73
Bangladesh,74
Bangladesh,74.43
Bhutan,70.197
Botswana,48.838
Botswana,49.03
Botswana,49.108
Botswana,49.712
Botswana,49.788
Botswana,50.832
Botswana,52.165
Botswana,53.695
Botswana,55.312
Botswana,56.919
Botswana,58.45
Botswana,59.868
Botswana,61.179
Botswana,62.425
Botswana,63.63
Botswana,64.78
Botswana,65.846
Botswana,66.797
Burkina Faso,60.361
Cameroon,49.7
Cameroon,50.026
Cameroon,50.495
Cameroon,51.059
Cameroon,51.671
Cameroon,52.301
Cameroon,52.916
Cameroon,53.494
Cameroon,54.033
Cameroon,54.535
Cameroon,54.996
Cameroon,55.424
Cameroon,55.832
Cameroon,56.241
Cameroon,56.665
Cameroon,57.111
Cameroon,57.582
Cameroon,58.073
Central African Republic,43.718
Central African Republic,43.755
Central African Republic,43.827
Central African Republic,43.937
Central African Republic,44.08
Central African Republic,44.254
Central African Republic,44.466
Central African Republic,44.967
Central African Republic,45.552
Central African Republic,46.19
Central African Republic,46.862
Central African Republic,47.56
Central African Republic,48.284
Central African Republic,49.041
Central African Republic,49.825
Central African Republic,50.621
Central African Republic,51.41
Central African Republic,52.171
Chad,47.59
Chad,47.593
Chad,47.603
Chad,47.638
Chad,47.716
Chad,47.848
Chad,48.054
Chad,48.349
Chad,48.729
Chad,49.182
Chad,49.691
Chad,50.233
Chad,50.778
Chad,51.3
Chad,51.778
Chad,52.204
Chad,52.575
Chad,52.903
Chile,79.522
Czech Republic,74.66829
Czech Republic,74.96829
Czech Republic,75.17073
Czech Republic,75.17317
Czech Republic,75.22195
Czech Republic,75.72195
Czech Republic,75.92439
Czech Republic,76.52439
Czech Republic,76.72439
Czech Republic,76.97561
Czech Republic,77
Czech Republic,77.07805
Czech Republic,77.42439
Czech Republic,77.87317
Czech Republic,78
Czech Republic,78.07561
Czech Republic,78.17561
Czech Republic,78.57805
Czech Republic,78.82439
Czech Republic,79
Czech Republic,79.02683
Czech Republic,79.47561
Federated States of Micronesia,67.195
Federated States of Micronesia,67.3
Federated States of Micronesia,67.414
Federated States of Micronesia,67.539
Federated States of Micronesia,67.675
Federated States of Micronesia,67.82
Federated States of Micronesia,67.969
Federated States of Micronesia,68.115
Federated States of Micronesia,68.251
Federated States of Micronesia,68.375
Federated States of Micronesia,68.484
Federated States of Micronesia,68.582
Federated States of Micronesia,68.673
Federated States of Micronesia,68.765
Federated States of Micronesia,68.862
Federated States of Micronesia,68.966
Federated States of Micronesia,69.078
Federated States of Micronesia,69.195
Federated States of Micronesia,71
France,78.7561
France,79.0561
France,79.11463
France,79.15854
France,79.26098
France,80.16341
France,80.8122
France,81.1122
France,81.21463
France,81.41463
France,81.66341
France,81.96829
France,82
France,82.11463
France,82.21951
France,82.27317
France,82.67073
France,83
Ghana,56.962
Ghana,56.994
Ghana,57.147
Ghana,57.41
Ghana,57.761
Ghana,58.187
Ghana,58.666
Ghana,59.167
Ghana,59.663
Ghana,60.128
Ghana,60.55
Ghana,60.924
Ghana,61.254
Ghana,61.561
Ghana,61.86
Ghana,62.154
Ghana,62.448
Ivory Coast,53.582
Mali,57.966
South Sudan,56.811
Tajikistan,71.051
Turkmenistan,67.835
Zambia,61.874
Zimbabwe,61.163
