Subject,Object
Ancient Greek,accusative language
Ancient Greek,fusional language
Ancient Greek,subject-verb-object
Arabic,accentual isochrony language
Arabic,accusative language
Arabic,fusional language
Arabic,noun-adjective
Arabic,pro-drop language
Arabic,subject-verb-object
Arabic,synthesis
Arabic,verb-subject-object
Atlantean,subject–object–verb
Austrian German,fusional language
Black Speech,agglutinate language
Black Speech,agglutinative language
Blissymbols,subject-verb-object
Blissymbols,subject–verb–object
Dothraki language,fusional language
Dothraki language,subject-verb-object
Dothraki language,subject–verb–object
Esperanto,accusative language
Esperanto,agglutinate language
Esperanto,agglutinative language
Esperanto,free word order
Esperanto,subject-verb-object
Ido,subject-verb-object
Ido,subject–verb–object
Lincos,a priori language
Lingua Ignota,agglutinative language
Poliespo,agglutinate language
Poliespo,agglutinative language
Romansh,fusional language
Romansh,subject–verb–object
Romansh,syllabic language
Toki Pona,isolating language
Toki Pona,language of syllabic isochrony
Toki Pona,noun-adjective
Toki Pona,prep
Toki Pona,subject-verb-object
Toki Pona,subject–verb–object
Udmurt,agglutinative language
Udmurt,nominative–accusative language
Udmurt,subject–verb–object
