Subject,Object
Adams County,"National Register of Historic Places listings in Adams County, Pennsylvania"
Alamosa County,"National Register of Historic Places listings in Alamosa County, Colorado"
Allegheny County,"National Register of Historic Places listings in Allegheny County, Pennsylvania"
Altomünster,list of architectural heritage monuments in altomünster
Arapahoe County,"National Register of Historic Places listings in Arapahoe County, Colorado"
Baca County,National Register of Historic Places listings in Colorado
Ballater,"list of listed buildings in Ballater, Aberdeenshire"
Biel/Bienne,list of cultural properties in biel/bienne
Biel/Bienne,list of cultural properties in bienne (new town)
Biel/Bienne,list of cultural properties in bienne (old town)
Biel/Bienne,list of cultural properties in bienne (outer districts)
Blairgowrie and Rattray,"list of listed buildings in Blairgowrie And Rattray, Perth and Kinross"
Bridge of Allan,"list of listed buildings in Bridge Of Allan, Stirling"
Chester County,"National Register of Historic Places listings in Chester County, Pennsylvania"
Cheyenne County,National Register of Historic Places listings in Colorado
Conejos County,"National Register of Historic Places listings in Conejos County, Colorado"
Costilla County,"National Register of Historic Places listings in Costilla County, Colorado"
Delaware County,"National Register of Historic Places listings in Delaware County, Pennsylvania"
Delta County,"National Register of Historic Places listings in Delta County, Colorado"
Dolores County,National Register of Historic Places listings in Colorado
"Ebenthal, Lower Austria","Cultural heritage monuments in Ebenthal, Lower Austria"
Emmerich am Rhein,list of cultural heritage monuments in Emmerich am Rhein
Feldkirch,list of cultural heritage buildings in the city of Feldkirch
Gilmer County,"National Register of Historic Places listings in Gilmer County, West Virginia"
Grant County,"National Register of Historic Places listings in Grant County, West Virginia"
Greenbrier County,"National Register of Historic Places listings in Greenbrier County, West Virginia"
Hardin County,"National Register of Historic Places listings in Hardin County, Texas"
Hidalgo County,"National Register of Historic Places listings in Hidalgo County, Texas"
Hinsdale County,"National Register of Historic Places listings in Hinsdale County, Colorado"
Jackson County,"National Register of Historic Places listings in Jackson County, West Virginia"
Kanawha County,"National Register of Historic Places listings in Kanawha County, West Virginia"
Kempten,list of natural monuments in Kempten (Allgäu)
Kit Carson County,National Register of Historic Places listings in Colorado
La Plata County,"National Register of Historic Places listings in La Plata County, Colorado"
Landeck,"Cultural heritage monuments in Landeck, Tyrol"
Las Animas County,"National Register of Historic Places listings in Las Animas County, Colorado"
Lewis County,"National Register of Historic Places listings in Lewis County, West Virginia"
Logan County,"National Register of Historic Places listings in Logan County, Colorado"
Logan County,"National Register of Historic Places listings in Logan County, West Virginia"
Marion County,"National Register of Historic Places listings in Marion County, West Virginia"
Mason County,"National Register of Historic Places listings in Mason County, West Virginia"
McClain County,"National Register of Historic Places listings in McClain County, Oklahoma"
McCurtain County,"National Register of Historic Places listings in McCurtain County, Oklahoma"
Mercer County,"National Register of Historic Places listings in Mercer County, West Virginia"
Mesa County,"National Register of Historic Places listings in Mesa County, Colorado"
Mineral County,National Register of Historic Places listings in Colorado
Mingo County,"National Register of Historic Places listings in Mingo County, West Virginia"
Montour County,"National Register of Historic Places listings in Montour County, Pennsylvania"
Muskogee County,"National Register of Historic Places listings in Muskogee County, Oklahoma"
Netherlands,list of war memorials in nederland
Offenbach am Main,list of cultural heritage monuments in Offenbach am Main
Okfuskee County,"National Register of Historic Places listings in Okfuskee County, Oklahoma"
Payne County,"National Register of Historic Places listings in Payne County, Oklahoma"
Phillips County,National Register of Historic Places listings in Colorado
Pleasants County,"National Register of Historic Places listings in Pleasants County, West Virginia"
Pontotoc County,"National Register of Historic Places listings in Pontotoc County, Oklahoma"
Pram,"Cultural heritage monuments in Pram, Upper Austria"
Přibyslav,Cultural monuments in Přibyslav
Raspenava,Cultural monuments in Raspenava
Real County,"National Register of Historic Places listings in Real County, Texas"
Rimavská Sobota,list of cultural monuments in rimavska sobota
Salzburg,listed objects in Salzburg
Schwaz,Cultural heritage monuments in Schwaz
Schönwald,Cultural heritage monuments in Schönwald
Sedgwick County,National Register of Historic Places listings in Colorado
St Andrews,"list of listed buildings in St Andrews, Fife"
Summit County,"National Register of Historic Places listings in Summit County, Colorado"
Trutnov,Cultural monuments in Trutnov
Tyler County,"National Register of Historic Places listings in Tyler County, Texas"
Uherské Hradiště,Cultural monuments in Uherské Hradiště
Weißenkirchen in der Wachau,Cultural heritage monuments in Weißenkirchen in der Wachau
Windigsteig,Cultural heritage monuments in Windigsteig
Wolfsbach,"Cultural heritage monuments in Wolfsbach, Lower Austria"
