Subject,Object
134-136 Walton Street,134-136 Walton Street 1 Brown Street
"140–142 Cumberland Street, The Rocks","140–142 Cumberland Street, Sydney NSW 2000"
217-221 Stuart Street,"217-221 Stuart Street 217, 219 and 221 Stuart Street"
283 Park Street North,283 Park Street North
285 Park Street North,285 Park Street North
287 Park Street North,287 Park Street North
38 Clergy Street,"38 Clergy Street 38, 40 and 42 Clergy Street"
"3–9 High Street, Millers Point","3–9 High Street, Millers Point NSW 2000"
40 Clergy Street,"40 Clergy Street 38, 40 and 42 Clergy Street"
479 Bolivar Street,479 Bolivar Street
481 Bolivar Street,481 Bolivar Street
483 Bolivar Street,483 Bolivar Street
485 Bolivar Street,485 Bolivar Street
485½ Bolivar Street,485½ Bolivar Street
487 Bolivar Street,487 Bolivar Street
489 Bolivar Street,489 Bolivar Street
567 King Street,567 King Street
568 Charlotte Street,568 Charlotte Street
569 Bolivar Street,569 Bolivar Street
572 Charlotte Street,572 Charlotte Street
573 Bolivar Street,573 Bolivar Street
573 King Street,573 King Street
574 Charlotte Street,574 Charlotte Street
575 King Street,575 King Street
71-75 Mowat Avenue,"71-75 Mowat Avenue (Portsmouth) 71, 73, 75 Mowat Avenue"
97-101 Yonge Street,97-101 Yonge Street (Portsmouth)
African Meeting House,8 Smith Court
AG Weser,"Schiffbauerweg 2, 28237 Bremen, Deutschland"
Allgemeiner Deutscher Fahrrad-Club,"Mohrenstraße 69, 10117 Berlin"
American Numismatic Society,Fulton Street 75 (inglés)
Ashmolean Museum,"Beaumont Street, Oxford OX1 2PH"
Ashwood School Gymnasium and Auditorium,160 Ashwood School Road
Atri Cathedral,Piazza Duomo - Atri
Auckland War Memorial Museum,"The Auckland Domain, Parnell, Auckland 1010"
Bellevue Apartments,10 Patterson Street
Berlin Hackescher Markt station,"Am Zwirngraben, 10178 Berlin"
Berlin-Spandau station,"Seegefelder Straße 1, 13597 Berlin"
Biblioteca Casanatense,Via S. Ignazio 52 - 00186 Roma
Biblioteca Casanatense,"Via S. Ignazio 52, 00186 Roma"
Biblioteca Casanatense,"Via S. Ignazio 52, 00186 Roma Capitale"
Biblioteca Nazionale Centrale di Roma,"Viale Castro Pretorio 105, 00185 Roma"
Biblioteca Nazionale Centrale di Roma,"Viale Castro Pretorio 105, 00185 Roma Capitale"
Biblioteca Nazionale Centrale di Roma,"Viale Castro Pretorio, 105 - 00185 Roma"
Biblioteca Riccardiana,"Via De' Ginori 10, 50123 Firenze"
Biblioteca Riccardiana,"Via Ginori, 10 - 50123 Firenze"
Bistrița,"Piața Centrală nr.6 Bistrița, 420040"
Bristol Bears,"66 Ashton Road, Bristol BS3 2EJ"
Bristol Bears,"Ashton Gate Stadium,BRISTOL,BS3 2EJ"
CA Brive,"116 Ave. 11 Novembre, F-19100 Brive-la-Gaillarde"
Camden Post Office,"135 Argyle St, Camden NSW"
Chesbro Music Company,"327 West Broadway Street, Idaho Falls, Idaho 83402"
Church Inn,"40 Church Lane, Prestwich, Manchester, M25 1AJ"
Cisnădie,"Piața Revoluției nr. 1, Cisnădie, Sibiu"
