Subject,Object
Albalat dels Sorells,mediterranean sea
Albania,adria
Albania,ionian sea
Albania,mediterranean sea
Alicante,mediterranean sea
Anholt Offshore Wind Farm,Kattegat
Australia,eastern ocean
Australia,great australian bight
Australia,timor sea
Austria,danube
Austria,dyja
Austria,lake neusiedl
Austria,marus
Austria,rhine
Avilés,Cantabrian Sea
Baden-Württemberg,rhine
Baix Llobregat,el llobregat
Bantolinao Point Lighthouse,Mactan Channel
Barcelona,el llobregat
Barcelona,mediterranean sea
Batumi,black sea
Beacon of Home cape,Atlantic Ocean
Beacon of Punta Couso,Atlantic Ocean
Beacon of Rúa island,Atlantic Ocean
Beacon of Tampo island,Atlantic Ocean
Belgrade,danube
Bergwiesen Lippe mit Buchheller- und Mischebachtal,Buchheller
Bern,aar
Biel/Bienne,aar
Brackley,great ouse
Bristol,afon hafren
Bruchsal,saalbach
Buckingham,great ouse
Buckingham,River Great Ouse
Butler Hump,Swan River
Buzfuz Rock,Bellingshausen Sea
Böfinger Halde power station,Danube
Cabo San Lucas,Pacific Ocean
Cameroon,atlantic
Cameroon,chad lake
Cameroon,gulf of guinea
Canada,Arctic Ocean
Canada,Atlantic Ocean
Canada,Great Lakes
Canada,Pacific Ocean
Capdepera,Mediterranean Sea
Carreño,Cantabrian Sea
Castrillón,Cantabrian Sea
Castropol,Cantabrian Sea
Catherine Point,Indian Ocean
Chelmsford,river can
Chelmsford,river chelmer
Chidley Point,Swan River
Colunga,cantabrian sea
Corrientes,Paraná River
Cube Rock,Antarctic Sound
Currie Point,Indian Ocean
Czech Republic,dyja
Czech Republic,elba
Czech Republic,iser
Czech Republic,marus
Czech Republic,oder
Czech Republic,olza
Czech Republic,opava
Czech Republic,veltava
Detroit,detroit river
Drum Rock,Bellingshausen Sea
East Stack,Hoseason Glacier
El Vendrell,mediterranean sea
Envoy Rock,Bellingshausen Sea
Es Castell,Mediterranean Sea
Es Mercadal,Mediterranean Sea
Es Migjorn Gran,Mediterranean Sea
Essaouira,atlantic
Estay Rock,Bransfield Strait
Feldkirch,Ill
Ferreries,Mediterranean Sea
Fitton Rock,Bellingshausen Sea
Florida,atlantic
France,atlantic
France,british ocean
France,mediterranean sea
Frankfurt,Oder
Ghana,atlantic
Gijón,Cantabrian Sea
Gornja Radgona,Mur
Gozón,Cantabrian Sea
Greater Gabbard wind farm,North Sea
Groß-Gerau,mühlbach
Görlitz,Lusatian Neisse
Hirschaid power station,Rhine-Main-Danube Canal
Hradec Králové,Elbe
Hällgrund,Bothnian Sea
Illinois,ohio river
India,eastern ocean
Israel,Dead Sea
Israel,mediterranean sea
Italy,adria
Italy,ionian sea
Italy,ligurian sea
Italy,mediterranean sea
Italy,tyrrhenian sea
Japan,east philippine sea
Japan,east sea
Japan,great southern ocean
Japan,Pacific Ocean
