Subject,Object
Czechoslovakia,czech republic
Czechoslovakia,sk
Ise Province,Mie Prefecture
Izumi Province,Ōsaka Prefecture
Middlesex,greater london
Middlesex,hertfordshire
Middlesex,surrey
Nazi Germany,austria
Nazi Germany,federal republic of germany
Nazi Germany,poland
Soviet Union,armenia
Soviet Union,az
Soviet Union,belarus
Soviet Union,ee
Soviet Union,european georgia
Soviet Union,federation of russia
Soviet Union,kazakhstan
Soviet Union,kg
Soviet Union,latveja
Soviet Union,lithuania
Soviet Union,moldavia
Soviet Union,republic of tajikistan
Soviet Union,republic of uzbekistan
Soviet Union,tkm
Soviet Union,ukr.
Yamato Province,Nara Prefecture
Ōsumi Province,Kagoshima Prefecture
