Subject,Object
Alakaʻi Swamp,Alakai Wilderness Preserve
Baštové sedlo,Tatra National Park
Black Ridge Canyons Wilderness,McInnis Canyons National Conservation Area
Borkener See,Borkener See
Bystré sedlo,Tatra National Park
Capia štrbina,Tatra National Park
Congaree River Swamp,Congaree National Park
Devich'i Kosy,Prielbrusye National Park
Diablo Dam,rola
Dominguez Canyon Wilderness,Dominguez-Escalante National Conservation Area
Dub u Větrova,Jizerské hory Protected Landscape Area
Fallingwater Cascades,George Washington and Jefferson National Forests
Fishing Cone,Yellowstone National Park
Furkotské sedlo,Tatra National Park
Galovački buk,Plitvice Lakes National Park
Glen Alpine Falls,Lake Tahoe Basin Management Unit
Gray Bulger Geyser,Yellowstone National Park
Großer Mewenbruch,Mewenbruch
Haleakalā Wilderness,Haleakalā National Park
Hamakua Marsh,Kawainui and Hamakua Marsh Complex
High Tatras,tatra national park
Hockett Meadow Ranger Station,sequ
James Bruce Falls,Princess Louisa Marine Provincial Park
Jewel Geyser,Yellowstone National Park
Jilm habrolistý na Přemilově,Železné hory Protected Landscape Area
Kläper-Filz,Moore um die Wies
Kopské sedlo,Tatra National Park
Lioness Geyser,Yellowstone National Park
Little Cub Geyser,Yellowstone National Park
Lomnické sedlo,Tatra National Park
Lone Star Geyser,Yellowstone National Park
Lužecký klen,Jizerské hory Protected Landscape Area
Lípa v Brtníkách,Labské pískovce Protected Landscape Area
Menoken Indian Village Site,menoken indian village state historic site
Montmorency Falls,Parc de la Chute-Montmorency
Murchison Falls,Murchison Falls National Park
Mürmes,Muermes
Old Faithful,Yellowstone National Park
Paulina Falls,Newberry National Volcanic Monument
Penta Geyser,Yellowstone National Park
Pink Cone Geyser,Yellowstone National Park
Porážky,Bílé Karpaty Protected Landscape Area
Rašeliniště Jizery,Jizerské hory Protected Landscape Area
Redwood Meadow Ranger Station,sequ
Russian Bishop's House,sitk
Rájovský javor,Slavkovský les Protected Landscape Area
Sangre de Cristo Wilderness,great sand dunes national park
Sangre de Cristo Wilderness,Great Sand Dunes National Park and Preserve
Sangre de Cristo Wilderness,rio grande national forest
Sangre de Cristo Wilderness,san isabel national forest
Schwarzes Venn,"VSG 'Heubachniederung, Lavesumer Bruch und Borkenberge'"
Sedlo,České středohoří Protected Landscape Area
Sedlo pod Svišťovkou,Tatra National Park
Steady Geyser,Yellowstone National Park
Sulphur Spring,Yellowstone National Park
Tahquamenon Falls,Tahquamenon Falls State Park
Tepelský dub,Slavkovský les Protected Landscape Area
Veliki slap,Plitvice Lakes National Park
Vernal Fall,Yosemite Wilderness
Vůznice,Křivoklátsko Protected Landscape Area
Warner Valley Ranger Station,lassen volcanic national park
West Triplet Geyser,Yellowstone National Park
Wild Basin Ranger Station,rmnp
Witte Venn,Witte Veen
Ľaliové sedlo,Tatra National Park
