Subject,Object
11th arrondissement of Paris,city of light
12th arrondissement of Paris,city of light
134-136 Walton Street,Port Hope
"140–142 Cumberland Street, The Rocks",City of Sydney
1953 European Rowing Championships,copenhagen
1954 European Rowing Championships,a'dam
1962 European Athletics Championships,people's republic of setrbia
1975 NBA Draft,New York City
1979 ABN World Tennis Tournament,Rotterdam
1980 NHL Entry Draft,Montreal
1982 NHL Entry Draft,Montreal
1983 NHL Entry Draft,Montreal
1988 NHL Entry Draft,Montreal
1988 Spanish Open,b'na
1989 Spanish Open,b'na
1992 Internationaux de Strasbourg,schdroosburi
1993 Internationaux de Strasbourg,schdroosburi
1997 NBA Draft,Charlotte
1998 Páginas Amarillas Open,madrid
2000 Energis Dutch Open,amsterdam
2000 NBA Draft,Minneapolis
2003 NHL Entry Draft,Nashville
2006 ABN AMRO World Tennis Tournament,Rotterdam
2006 Australian Grand Prix,au-vic
2007 ABN AMRO World Tennis Tournament,Rotterdam
2008 Australian Grand Prix,au-vic
2009 Copa Sony Ericsson Colsanitas,bogota
2009 NBA Draft,New York City
2009 NHL Entry Draft,Montreal
2011 ABN AMRO World Tennis Tournament,Rotterdam
2012 NHL Entry Draft,Pittsburgh
2012 Toray Pan Pacific Open,edo
2016 MercedesCup,stuttgart
2016 New York and New Jersey bombings,Elizabeth
2016 New York and New Jersey bombings,seaside park
2016 Toray Pan Pacific Open,edo
2017 Las Vegas shooting,Paradise
2017 Port Authority Bus Terminal explosion,New York City
2017 Toray Pan Pacific Open,edo
2018 European Rowing Championships,glasgow
2018 Magnitogorsk building collapse,Magnitogorsk Urban Okrug
2019 Internazionali Femminili di Palermo,Palermo
2020 Tarragona explosion,La Canonja
217-221 Stuart Street,Kingston
283 Park Street North,Peterborough
285 Park Street North,Peterborough
287 Park Street North,Peterborough
30th Street Station,Philadelphia
38 Clergy Street,Kingston
"3–9 High Street, Millers Point",New South Wales
4 oaks in Bažantnice,Třebíč
40 Clergy Street,Kingston
479 Bolivar Street,Peterborough
481 Bolivar Street,Peterborough
483 Bolivar Street,Peterborough
485 Bolivar Street,Peterborough
485½ Bolivar Street,Peterborough
487 Bolivar Street,Peterborough
489 Bolivar Street,Peterborough
4th arrondissement of Paris,city of light
4th arrondissement of Paris,paris centre
4th arrondissement of Paris,Saint-Merri
567 King Street,Peterborough
568 Charlotte Street,Peterborough
569 Bolivar Street,Peterborough
572 Charlotte Street,Peterborough
573 Bolivar Street,Peterborough
573 King Street,Peterborough
574 Charlotte Street,Peterborough
575 King Street,Peterborough
71-75 Mowat Avenue,Kingston
97-101 Yonge Street,Kingston
