Subject,Object
2017 Har Adar shooting,arabia standard time
30th Street Station,d.c. time
Aalten,cet
Abdulinsky District,UTC+05:00
"Abramov, Volgograd Oblast",arabia standard time
"Abramov, Volgograd Oblast",UTC+03:00
Acworth,UTC−05:00
Adachi-ku,UTC+09:00
Agia Sofia,UTC+02:00
Agios Ioannis,UTC+02:00
Aindling,central africa time
Aindling,cet
Akciabrski,UTC+03:00
Akita,UTC+09:00
Albalat dels Sorells,central africa time
Albalat dels Sorells,cet
Albania,central africa time
Albania,central european standard time
Albania,cet
Albany,UTC−05:00
Albion Township,Eastern Time Zone
Alcona Township,Eastern Time Zone
Aleksandriyskaya,UTC+03:00
Alexandrovsk-Sakhalinsky District,UTC+11:00
"Alexeyevskaya, Volgograd Oblast",UTC+03:00
Algansee Township,Eastern Time Zone
Algoma,UTC−06:00
Algoma Township,Eastern Time Zone
Alicante,central africa time
Alicante,cet
Alkmaar,cet
Allegan Township,Eastern Time Zone
Allen Township,Eastern Time Zone
Allis Township,Eastern Time Zone
Allouez Township,Eastern Time Zone
Alluitsup Paa,adt
Almena Township,Eastern Time Zone
Almira Township,Eastern Time Zone
Almont Township,Eastern Time Zone
Aloha Township,Eastern Time Zone
Altenburg,central africa time
Altenburg,cet
Alto Bío Bío,UTC−04:00
Alto del Carmen,UTC−04:00
Altoona,UTC−06:00
Amanda Township,Eastern Time Zone
Amazonas,UTC−04:00
Amazonas,UTC−05:00
Ambatomainty,UTC+03:00
Ambilobe,UTC+03:00
Amsterdam Centraal,Central European Time
Anambra State,cet
Anderson Township,Eastern Time Zone
Andramasina,UTC+03:00
Antarctica,adt
Antarctica,arabia standard time
Antarctica,atlantic standard time
Antarctica,central indonesian time
Antarctica,gmt (utc±00:00)
Antuco,UTC−04:00
Aomori Prefecture,asia/tokyo
Aomori Prefecture,east timor standard time
Arad,UTC+02:00
Arakawa-ku,UTC+09:00
Arauco,UTC−04:00
Arivonimamo,UTC+03:00
Arovo,UTC+05:00
Asaka District,UTC+05:00
Asenovgrad,Eastern European Time
Ashkelon,arabia standard time
Ashkelon,central africa time
Asmara,arabia standard time
At-Bashi District,UTC+06:00
Athens,UTC−05:00
Atlanta,atlantic standard time
Atlanta,central daylight time
Atlanta,d.c. time
