Subject,Object
138 East 50th Street,50th Street
161 Maiden Lane,Maiden Lane
Americká 7,Americká
Amsterdam Centraal,"Stationsplein, Amsterdam"
Ashmolean Museum,beaumont street
Berlin Hackescher Markt station,henriette-herz-platz
Berlin Südkreuz station,general-pape-strasse
Botanická 4,Botanická
Bridgewater Town Hall and Jail,U.S. Route 1
Chafariz do Terreiro de Jesus,Praça Terreiro de Jesus
Chopinova 6,Chopinova
Dordrecht railway station,Stationsplein
Eindhoven Central railway station,Stationsplein
Font d'Hèrcules,passeig de Sant Joan
fontaine des Innocents,rue Saint-Denis
Fort of Saint Antony Além‐do‐Carmo,Largo de Santo Antonio Além do Carmo
Franziskusbrunnen,Josephsplatz
Gunetzrhainerhaus,Promenadeplatz
Harlingen railway station,Stationsweg
Heinrichova 32,Heinrichova
Heinrichova 9,Heinrichova
Hybernská 42,Hybernská
International Telecommunication Union Monument,Helvetiaplatz
Jiříkovského 6,Jiříkovského
Kaaswaag,Kaasmarkt
Kampelíkova 2,Kampelíkova
Mediterranean Conference Centre,mediterranean street
Middelburg railway station,Kanaalweg
monument to Octave Gréard,square Paul-Painlevé
Na Kocandě,Kaprova
Palackého 1,Palackého
Palais Garnier,place de l'opéra
Palais Garnier,place jacques-rouche
Palais Garnier,rue scribe
Palladium,Náměstí Republiky
Palác na Kopečku,Třída Míru
Palácio do Planalto,praça dos três poderes
Presidency Jail,Thackeray Road
Přívozská 22,Přívozská
Reichstag building,paul-löbe-allee
Reichstag building,platz der republik
Reichstag building,scheidemannstrasse
Salvador Shopping,Tancredo Neves Avenue
Shopping Center 3,Paulista Avenue
Somerset House,strand
The Dorchester,park lane
Valdice Charterhouse,nám. Míru
Vista Tower,East Wacker Drive
Vlissingen railway station,Stationsplein
Waag,Dam
Waag,Voorstraat
Waag,Waagplein
White Flint Mall,Maryland Route 355
Willow Tearooms,sauchiehall street
