Subject,Object
AKB48,Akihabara
Allgemeiner Deutscher Fahrrad-Club,Bremen
Angerme,Tokyo
Audi,zwickau
Babymetal,Tokyo
Berryz Kobo,Tokyo
CBS,big apple
Chesbro Music Company,Idaho Falls
Cute,Tokyo
Esperanto,warsaw
Hello! Project,Tokyo
Hinatazaka46,Tokyo
Keyakizaka46,Tokyo
Kurdistan Workers' Party,ziyaret
La Paz,laja
Morning Musume,Tokyo
NGT48,Niigata
Nintendo,iapan
NMB48,Ōsaka
Nogizaka46,Tokyo
Orchestre de la Suisse Romande,canton de geneve
Order of St. Sylvester,city of seven hills
Premier Rides,america
Shiritsu Ebisu Chugaku,Tokyo
Super Girls,Tokyo
Team Syachihoko,Nagoya
Telepizza,madrid
Volkswagen Group,berlin
